orf_name,lfc,p-value
YPL274W,1.300,0.000
YOL020W,1.250,0.000
YDL038C,3.990,0.000
YOR222W,-0.510,0.000
YPR083W,0.560,0.000
YBR294W,-3.840,0.000
YOL155C,2.540,0.000
YCL009C,-0.298,0.000
YFR026C,0.605,0.000
YIL160C,2.280,0.000
YPL177C,0.951,0.000
YCR089W,1.910,0.000
YDL037C,4.040,0.000
YOL158C,0.768,0.000
YGR213C,2.120,0.000
YHR177W,2.260,0.000
YPL088W,1.060,0.000
YGR088W,2.160,0.000
YOR120W,1.400,0.000
YLR414C,0.667,0.000
YDL049C,-1.310,0.000
YER119C,-0.757,0.000
YGR043C,2.120,0.000
YJR109C,-1.160,0.000
YER158C,1.370,0.000
YPL265W,1.690,0.000
YIL099W,1.940,0.000
YNR058W,0.639,0.000
YDR451C,-0.611,0.000
YGR138C,2.160,0.000
YHR071W,-1.350,0.000
YDR090C,-0.488,0.000
YHR018C,-0.870,0.000
YKL187C,1.750,0.000
YKL161C,1.290,0.000
YBR068C,2.090,0.000
YMR102C,0.575,0.000
YJL103C,1.190,0.000
YDR085C,1.400,0.000
YKR039W,-0.631,0.000
YML119W,0.439,0.000
YJR094C,-1.490,0.000
YGR248W,2.120,0.000
YJL107C,1.210,0.000
YDR009W,0.577,0.000
YKL163W,1.460,0.000
YGL140C,-0.210,0.000
YCL018W,-0.430,0.000
YOR011W,-0.874,0.000
YGL053W,0.921,0.000
YMR008C,0.602,0.000
YMR154C,-0.404,0.000
YDR127W,-0.695,0.000
YOL152W,1.230,0.000
YEL006W,-1.470,0.000
YDL017W,0.473,0.000
YHL047C,0.714,0.000
YLL056C,0.987,0.000
YCR073C,0.310,0.000
YPL014W,0.865,0.000
YDR019C,-0.413,0.000
YFL004W,-0.573,0.000
YBR072W,2.510,0.000
YHL040C,0.882,0.000
YAL063C-A,1.920,0.000
YPR058W,-0.556,0.000
YKL215C,-0.371,0.000
YBR067C,1.050,0.000
YBR249C,-0.404,0.000
YCR010C,0.882,0.000
YGL251C,0.914,0.000
YPL240C,0.935,0.000
YDL243C,1.720,0.000
YML042W,0.827,0.000
YMR232W,1.660,0.000
YPR157W,1.860,0.000
YDL039C,3.400,0.000
YDL215C,0.450,0.000
YHR119W,0.340,0.000
YKL071W,1.140,0.000
YIR039C,1.280,0.000
YNL269W,1.770,0.000
YPR009W,0.560,0.000
YNR072W,0.827,0.000
YHR097C,0.741,0.000
YOR033C,0.453,0.000
YLR293C,0.104,0.000
YMR090W,0.707,0.000
YIL011W,0.745,0.000
YBL064C,0.561,0.000
YMR034C,0.609,0.000
YIL136W,1.220,0.000
YFL053W,2.610,0.000
YAL064C-A,1.130,0.000
YMR272C,-0.221,0.000
YDR295C,0.561,0.000
YJR080C,0.321,0.000
YAL065C,2.180,0.000
YER073W,-0.810,0.000
YER052C,-0.657,0.000
YKR101W,0.285,0.000
YML006C,0.465,0.000
YCL025C,2.790,0.000
YGR121C,-0.511,0.000
YNL331C,0.628,0.000
YOR110W,0.421,0.000
YEL007W,-6.760,0.000
YNL191W,0.555,0.000
YNL252C,0.389,0.000
YFL055W,1.000,0.000
YJR148W,-0.223,0.000
YDR186C,0.413,0.000
YJL042W,-0.644,0.000
YOR315W,-1.090,0.000
YLR231C,-0.444,0.000
YGR127W,0.587,0.000
YHL035C,0.985,0.000
YDR035W,-0.752,0.000
YLR057W,0.472,0.000
YNL307C,-0.313,0.000
YIL101C,1.790,0.000
YPL214C,0.205,0.000
YHR029C,-1.070,0.000
YFR023W,1.270,0.000
YHR216W,-0.555,0.000
YOR173W,1.130,0.000
YOL043C,0.385,0.000
YGR287C,2.600,0.000
YIR035C,1.500,0.000
YGR289C,1.240,0.000
YHR028C,-0.375,0.000
YKL221W,0.584,0.000
YHR213W,2.440,0.000
YBR301W,1.040,0.000
YLR267W,1.150,0.000
YIL037C,3.040,0.000
YIL169C,2.860,0.000
YDR384C,-1.160,0.000
YGR122W,-0.183,0.000
YNL317W,0.242,0.000
YBR284W,1.390,0.000
YNL274C,1.100,0.000
YJR046W,0.659,0.000
YLL061W,0.518,0.000
YBL032W,-0.276,0.000
YMR265C,-0.479,0.000
YNL220W,-0.252,0.000
YPL188W,0.293,0.000
YOL062C,0.452,0.000
YHL028W,-0.430,0.000
YJL108C,1.130,0.000
YLL053C,1.370,0.000
YDR533C,1.100,0.000
YFR033C,0.735,0.000
YGL011C,0.331,0.000
YBR177C,-0.440,0.000
YDR298C,0.341,0.000
YJR096W,1.100,0.000
YML120C,0.509,0.000
YOR107W,1.370,0.000
YER054C,1.110,0.000
YOR040W,1.040,0.000
YJR008W,0.769,0.000
YGL257C,-0.273,0.000
YMR062C,-0.963,0.000
YGR249W,2.260,0.000
YBR044C,0.404,0.000
YIL034C,0.147,0.000
YDR003W-A,0.340,0.000
YNL008C,0.619,0.000
YJR155W,0.656,0.000
YDR104C,0.341,0.000
YJR006W,0.562,0.000
YKL043W,-0.922,0.000
YPR004C,-0.260,0.000
YFR044C,-0.103,0.000
YBR092C,1.060,0.000
YOR242C,0.745,0.000
YAR073W,-0.857,0.000
YGL255W,0.400,0.001
YBL049W,1.070,0.001
YDR148C,0.331,0.001
YOL072W,0.408,0.001
YER033C,1.300,0.001
YDR077W,0.499,0.001
YLR216C,0.471,0.001
YCL030C,-0.527,0.001
YGR110W,0.519,0.001
YPR196W,0.736,0.001
YFR052W,0.299,0.001
YML015C,0.223,0.001
YHR096C,2.410,0.001
YNL158W,0.422,0.001
YLR178C,0.831,0.001
YMR134W,0.323,0.001
YHR179W,-0.430,0.001
YPL092W,-0.747,0.001
YBL016W,0.722,0.001
YBL108C-A,0.581,0.001
YGL151W,0.453,0.001
YDR001C,0.521,0.001
YDL111C,0.169,0.001
YPL230W,1.100,0.001
YOR128C,-0.232,0.001
YKL150W,0.622,0.001
YFL050C,0.539,0.001
YOR220W,0.755,0.001
YHL004W,0.266,0.001
YGL164C,0.424,0.001
YDL004W,0.487,0.001
YMR206W,1.830,0.001
YML075C,0.422,0.001
YOR137C,0.194,0.001
YLR228C,0.425,0.001
YBR235W,-0.202,0.001
YLL062C,0.892,0.001
YPL072W,0.273,0.001
YIL113W,1.510,0.001
YOR090C,-0.327,0.001
YGL186C,-0.378,0.001
YPR191W,0.479,0.001
YGL096W,2.050,0.001
YLR225C,0.424,0.001
YLR183C,-0.317,0.001
YDR130C,-0.260,0.001
YEL063C,-0.479,0.001
YOR031W,0.453,0.001
YJL016W,0.404,0.001
YGR055W,1.880,0.001
YKR050W,0.373,0.001
YER089C,-0.325,0.001
YPR005C,1.310,0.001
YGR152C,0.338,0.001
YLR142W,-0.978,0.001
YHR202W,-0.563,0.001
YNL055C,0.267,0.001
YER103W,1.660,0.001
YMR319C,-2.260,0.001
YLR285W,0.231,0.001
YIL043C,0.154,0.001
YDR503C,0.547,0.001
YDL024C,0.528,0.001
YNL101W,-0.739,0.001
YDR394W,0.209,0.001
YKL121W,0.395,0.001
YEL052W,-0.357,0.001
YDR223W,0.994,0.001
YCR098C,1.030,0.001
YER081W,-0.638,0.001
YDL234C,0.497,0.001
YLR361C,0.297,0.001
YKR058W,0.703,0.001
YGR239C,-0.728,0.001
YGR256W,2.190,0.001
YFR018C,0.204,0.001
YPR190C,0.299,0.001
YNL323W,-0.339,0.001
YNL160W,3.730,0.001
YDR523C,1.210,0.001
YDR338C,-0.359,0.001
YPR032W,0.175,0.001
YMR133W,0.691,0.001
YNR014W,1.650,0.001
YOR185C,0.710,0.001
YDR539W,-0.330,0.001
YOL113W,0.473,0.001
YER040W,-0.224,0.001
YOL064C,-0.426,0.001
YOR317W,-0.666,0.001
YGL179C,0.595,0.001
YCR066W,0.339,0.001
YMR305C,0.436,0.001
YPR138C,0.369,0.001
YJL153C,1.240,0.001
YBR299W,1.760,0.001
YGR250C,0.501,0.001
YNL062C,0.604,0.001
YLL057C,1.830,0.001
YDL020C,0.813,0.001
YNR032W,0.389,0.001
YDR240C,0.318,0.001
YBL085W,-0.310,0.001
YNL157W,0.605,0.001
YDL247W,0.654,0.001
YDR072C,0.249,0.001
YDR089W,-0.144,0.001
YCR100C,0.406,0.001
YIL117C,0.701,0.001
YCR099C,0.561,0.001
YHR199C,0.437,0.001
YBR234C,0.218,0.001
YDR334W,0.283,0.001
YDR222W,0.515,0.001
YGR108W,-0.526,0.001
YOL019W,-0.344,0.001
YMR191W,0.379,0.001
YNL066W,-0.362,0.001
YDR171W,2.130,0.001
YDR439W,0.306,0.001
