!
!Date: 11/09/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
ZAP1	YJL056C	ADE17	YMR120C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ADH4	YGL256W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ATG41	YPL250C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	BAG7	YOR134W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS1	YNL336W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS2	YBR302C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS3	YML132W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS4	YFL062W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS6	YGR295C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS8	YHL048W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	DPP1	YDR284C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	DPP1	YDR284C	positive	transcription		transcription factor	positive	transcription		manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	ETR1	YBR026C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	ETR1	YBR026C	positive	transcription		transcription factor	positive	transcription		manually curated	beta-galactosidase reporter gene assay evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	ETR1	YBR026C		transcription		transcription factor		transcription		manually curated	electrophoretic mobility shift assay evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	FET4	YMR319C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	FET4	YMR319C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	S288C	Waters BM and Eide DJ (2002) PMID:12095998
ZAP1	YJL056C	GPG1	YGL121C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	GRE2	YOL151W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	HNT1	YDL125C	positive	transcription	response to zinc ion starvation	transcription factor	positive	transcription	response to zinc ion starvation	manually curated	northern blot evidence	S288C	Tatip S, et al. (2020) PMID:31692084
ZAP1	YJL056C	HNT1	YDL125C	negative	translation	response to zinc ion starvation	RNA modifier	negative	translation	response to zinc ion starvation	manually curated	quantitative western immunoblotting evidence	S288C	Tatip S, et al. (2020) PMID:31692084
ZAP1	YJL056C	IZH1	YDR492W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	IZH2	YOL002C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MCD4	YKL165C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MNN14	YJR061W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MNT2	YGL257C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MOH1	YBL049W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	NRG2	YBR066C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PAH1	YMR165C		transcription	cellular response to zinc ion starvation	transcription factor		transcription	cellular response to zinc ion starvation	manually curated	electrophoretic mobility shift assay evidence	W303	Soto-Cardalda A, et al. (2012) PMID:22128164
ZAP1	YJL056C	PAH1	YMR165C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	W303	Soto-Cardalda A, et al. (2012) PMID:22128164
ZAP1	YJL056C	PEP4	YPL154C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PGC1	YPL206C	positive	transcription		transcription factor	positive	transcription		manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	PHM7	YOL084W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	POX1	YGL205W	positive	transcription		transcription factor	positive	transcription		manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	PRC1	YMR297W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PST1	YDR055W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
