Background,ProteinAmount,Sample
WT,12.24,YBR196C-A-mNG
WT,8.119,YBR196C-A-mNG
WT,19.622,YBR196C-A-mNG
WT,12.235,YBR196C-A-mNG
WT,10.405,YBR196C-A-mNG
*hrd1D*,12.7782321,YBR196C-A-mNG
*hrd1D*,8.64907842,YBR196C-A-mNG
*hrd1D*,17.6564791,YBR196C-A-mNG
*hrd1D*,7.37479268,YBR196C-A-mNG
*hrd1D*,13.6623333,YBR196C-A-mNG
*doa10D*,55.3124949,YBR196C-A-mNG
*doa10D*,40.0910314,YBR196C-A-mNG
*doa10D*,25.1262686,YBR196C-A-mNG
*doa10D*,22.4060426,YBR196C-A-mNG
*doa10D*,25.414627,YBR196C-A-mNG
*doa10D hrd1D*,30.6437911,YBR196C-A-mNG
*doa10D hrd1D*,8.20078625,YBR196C-A-mNG
*doa10D hrd1D*,37.7594402,YBR196C-A-mNG
*doa10D hrd1D*,25.5387735,YBR196C-A-mNG
*doa10D hrd1D*,28.5241143,YBR196C-A-mNG
WT,1,mNG
WT,1,mNG
WT,1,mNG
*hrd1D*,1.13089782,mNG
*hrd1D*,1.26537185,mNG
*hrd1D*,1.31323438,mNG
*hrd1D*,1.01711948,mNG
*doa10D*,0.58495273,mNG
*doa10D*,0.78001949,mNG
*doa10D*,0.3200694,mNG
*doa10D*,0.75543279,mNG
*doa10D hrd1D*,0.30986671,mNG
*doa10D hrd1D*,0.86082166,mNG
*doa10D hrd1D*,0.31112271,mNG
*doa10D hrd1D*,0.85736949,mNG
