Background,Minutes,ProteinAmount,Sample,Media
*pdr5D*,0,1,YBR196C-A-mNG,DMSO
*pdr5D*,5,0.35226344,YBR196C-A-mNG,DMSO
*pdr5D*,10,0.30290876,YBR196C-A-mNG,DMSO
*pdr5D*,15,0.00281621,YBR196C-A-mNG,DMSO
*pdr5D*,30,0,YBR196C-A-mNG,DMSO
*pdr5D*,0,1,YBR196C-A-mNG,DMSO
*pdr5D*,5,0.53411375,YBR196C-A-mNG,DMSO
*pdr5D*,10,0.19545663,YBR196C-A-mNG,DMSO
*pdr5D*,15,0.03293087,YBR196C-A-mNG,DMSO
*pdr5D*,30,0,YBR196C-A-mNG,DMSO
*pdr5D*,0,1,YBR196C-A-mNG,DMSO
*pdr5D*,5,0.47735697,YBR196C-A-mNG,DMSO
*pdr5D*,10,0.12659643,YBR196C-A-mNG,DMSO
*pdr5D*,15,0.02293142,YBR196C-A-mNG,DMSO
*pdr5D*,30,0,YBR196C-A-mNG,DMSO
*pdr5D*,0,1,YBR196C-A-mNG,DMSO
*pdr5D*,5,0.66134807,YBR196C-A-mNG,DMSO
*pdr5D*,10,0.54015568,YBR196C-A-mNG,DMSO
*pdr5D*,15,0.41808451,YBR196C-A-mNG,DMSO
*pdr5D*,30,0.02117191,YBR196C-A-mNG,DMSO
*pdr5D*,0,1,YBR196C-A-mNG,MG132
*pdr5D*,5,1.07435339,YBR196C-A-mNG,MG132
*pdr5D*,10,1.14037585,YBR196C-A-mNG,MG132
*pdr5D*,15,,YBR196C-A-mNG,MG132
*pdr5D*,30,,YBR196C-A-mNG,MG132
*pdr5D*,0,1,YBR196C-A-mNG,MG132
*pdr5D*,5,0.9313972,YBR196C-A-mNG,MG132
*pdr5D*,10,1.03961061,YBR196C-A-mNG,MG132
*pdr5D*,15,1.14267099,YBR196C-A-mNG,MG132
*pdr5D*,30,0.8462722,YBR196C-A-mNG,MG132
*pdr5D*,0,1,YBR196C-A-mNG,MG132
*pdr5D*,5,0.93566526,YBR196C-A-mNG,MG132
*pdr5D*,10,0.82595495,YBR196C-A-mNG,MG132
*pdr5D*,15,0.74468118,YBR196C-A-mNG,MG132
*pdr5D*,30,0.5480993,YBR196C-A-mNG,MG132
*pdr5D*,0,1,YBR196C-A-mNG,MG132
*pdr5D*,5,0.69476613,YBR196C-A-mNG,MG132
*pdr5D*,10,0.48392613,YBR196C-A-mNG,MG132
*pdr5D*,15,0.65577674,YBR196C-A-mNG,MG132
*pdr5D*,30,0.73972304,YBR196C-A-mNG,MG132
