Entity 1,Entity 2,Weight,Network group,Network
LCB1,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
ERG5,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
ERG5,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
SEC61,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
SEC61,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
SEC61,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
YBR287W,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
YBR287W,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
YBR287W,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
YBR287W,SEC61,0.004048583,Co-localization,Huh-O'Shea-2003
PHO91,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
PHO91,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
PHO91,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
PHO91,SEC61,0.004048583,Co-localization,Huh-O'Shea-2003
PHO91,YBR287W,0.004048583,Co-localization,Huh-O'Shea-2003
FTR1,TPO3,0.01923077,Co-localization,Huh-O'Shea-2003
SEY1,MNN5,0.011094388,Co-localization,Huh-O'Shea-2003
MON2,MNN5,0.007094019,Co-localization,Huh-O'Shea-2003
MON2,SEY1,0.007094019,Co-localization,Huh-O'Shea-2003
SPF1,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
SPF1,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
SPF1,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
SPF1,SEC61,0.004048583,Co-localization,Huh-O'Shea-2003
SPF1,YBR287W,0.004048583,Co-localization,Huh-O'Shea-2003
SPF1,PHO91,0.004048583,Co-localization,Huh-O'Shea-2003
HIP1,GNP1,0.045128178,Co-localization,Huh-O'Shea-2003
ERG9,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
ERG9,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
ERG9,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
ERG9,SEC61,0.004048583,Co-localization,Huh-O'Shea-2003
ERG9,YBR287W,0.004048583,Co-localization,Huh-O'Shea-2003
ERG9,PHO91,0.004048583,Co-localization,Huh-O'Shea-2003
ERG9,SPF1,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,SEC61,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,YBR287W,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,PHO91,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,SPF1,0.004048583,Co-localization,Huh-O'Shea-2003
LCB2,ERG9,0.004048583,Co-localization,Huh-O'Shea-2003
TAT1,HIP1,0.013498978,Co-localization,Huh-O'Shea-2003
NDI1,MDL1,0.002141328,Co-localization,Huh-O'Shea-2003
GDE1,ARO2,0.001261034,Co-localization,Huh-O'Shea-2003
ILV2,MDL1,0.002141328,Co-localization,Huh-O'Shea-2003
ILV2,NDI1,0.002141328,Co-localization,Huh-O'Shea-2003
VTC4,ERG3,0.004048583,Co-localization,Huh-O'Shea-2003
VTC4,LCB1,0.004048583,Co-localization,Huh-O'Shea-2003
VTC4,ERG5,0.004048583,Co-localization,Huh-O'Shea-2003
