Entity 1	Entity 2	Weight	Network group	Network
ERG9	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
SPF1	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
SPF1	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
PHO91	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
PHO91	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
PHO91	SPF1	0.004048583	Co-localization	Huh-O'Shea-2003
LCB1	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
LCB1	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
LCB1	SPF1	0.004048583	Co-localization	Huh-O'Shea-2003
LCB1	PHO91	0.004048583	Co-localization	Huh-O'Shea-2003
ERG5	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
ERG5	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
ERG5	SPF1	0.004048583	Co-localization	Huh-O'Shea-2003
ERG5	PHO91	0.004048583	Co-localization	Huh-O'Shea-2003
ERG5	LCB1	0.004048583	Co-localization	Huh-O'Shea-2003
ERG3	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
ERG3	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
ERG3	SPF1	0.004048583	Co-localization	Huh-O'Shea-2003
ERG3	PHO91	0.004048583	Co-localization	Huh-O'Shea-2003
ERG3	LCB1	0.004048583	Co-localization	Huh-O'Shea-2003
ERG3	ERG5	0.004048583	Co-localization	Huh-O'Shea-2003
MON2	MNN5	0.007094019	Co-localization	Huh-O'Shea-2003
LCB2	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
LCB2	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
LCB2	SPF1	0.004048583	Co-localization	Huh-O'Shea-2003
LCB2	PHO91	0.004048583	Co-localization	Huh-O'Shea-2003
LCB2	LCB1	0.004048583	Co-localization	Huh-O'Shea-2003
LCB2	ERG5	0.004048583	Co-localization	Huh-O'Shea-2003
LCB2	ERG3	0.004048583	Co-localization	Huh-O'Shea-2003
TPO3	FTR1	0.01923077	Co-localization	Huh-O'Shea-2003
SEY1	MNN5	0.011094388	Co-localization	Huh-O'Shea-2003
SEY1	MON2	0.007094019	Co-localization	Huh-O'Shea-2003
SEC61	YBR287W	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	ERG9	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	SPF1	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	PHO91	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	LCB1	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	ERG5	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	ERG3	0.004048583	Co-localization	Huh-O'Shea-2003
SEC61	LCB2	0.004048583	Co-localization	Huh-O'Shea-2003
PRO3	ARO2	0.001261034	Co-localization	Huh-O'Shea-2003
SER1	ARO2	0.001261034	Co-localization	Huh-O'Shea-2003
SER1	PRO3	0.001261034	Co-localization	Huh-O'Shea-2003
NDI1	MDL1	0.0021413276	Co-localization	Huh-O'Shea-2003
HIP1	GNP1	0.045128178	Co-localization	Huh-O'Shea-2003
DOP1	MNN5	0.007094019	Co-localization	Huh-O'Shea-2003
DOP1	MON2	0.0117204925	Co-localization	Huh-O'Shea-2003
DOP1	SEY1	0.007094019	Co-localization	Huh-O'Shea-2003
TAT1	HIP1	0.013498978	Co-localization	Huh-O'Shea-2003
