"","transcript","ybr_rho","ybr_rho_percentile","pgi1_rho","pgi1_rho_percentile","ybr7_rho","ybr7_rho_percentile"
"1","YJL186W",0.3746,0.879869587025581,0.5655,0.945912054840328,0.5142,0.740177227888313
"2","YJL138C",0.4356,0.966393579668952,0.6041,0.966477177729477,0.5477,0.787911720448086
"3","YJL130C",0.2925,0.671125229894666,0.5547,0.938053837150978,0.4047,0.59839491723792
"4","YJL039C",0.3577,0.842250459789333,0.6819,0.987961879284401,0.4651,0.673883965891991
"5","YJL026W",0.3693,0.868918241096807,0.7043,0.992726968734325,0.3964,0.587025581006521
"6","YJL012C",0.3226,0.754054505935462,0.6027,0.965390402942652,0.3018,0.471660257482026
"7","YJR045C",0.2957,0.679903026249791,0.5249,0.917655910382879,0.5743,0.828540377863234
"8","YJR064W",0.3967,0.919662263835479,0.6665,0.985704731650226,0.4045,0.59772613275372
"9","YJR065C",0.3646,0.858384885470657,0.6597,0.984450760742351,0.5107,0.736415315164688
"10","YJR072C",0.2292,0.496906871760575,0.3798,0.754388898177562,0.5354,0.769854539374687
"11","YJR109C",0.242,0.530262497910049,0.275,0.597308142451095,0.4957,0.714512623307139
"12","YJR121W",0.3656,0.860892827286407,0.4328,0.830045142952684,0.3944,0.585186423674971
"13","YKL182W",0.3449,0.810316000668785,0.6314,0.976090954689851,0.2553,0.419244273532854
"14","YKL181W",0.4094,0.939140611937803,0.5802,0.953770272529677,0.4738,0.685002507941816
"15","YKL126W",0.4241,0.955776625982277,0.5703,0.948503594716603,0.6072,0.874184918909881
"16","YKL100C",0.3557,0.837067380036783,0.4894,0.888898177562281,0.4352,0.635512456111018
"17","YKL010C",0.3374,0.79133924092961,0.4407,0.838154154823608,0.5596,0.804631332553085
"18","YKR059W",0.2907,0.666778130747367,0.6236,0.973583012874101,0.3718,0.557431867580672
"19","YKR082W",0.3152,0.732820598562113,0.5942,0.961043303795352,0.5597,0.80488212673466
"20","YLR044C",0.2414,0.528506938639024,0.7838,0.998913225213175,0.3256,0.49882962715265
"21","YLR056W",0.3479,0.816920247450259,0.4408,0.838237752884133,0.3474,0.524243437552249
"22","YLR106C",0.1722,0.373683330546731,0.4589,0.858301287410132,0.3644,0.548236080922923
"23","YLR153C",0.4545,0.979351279050326,0.5175,0.912556428690854,0.4091,0.60474836983782
"24","YLR188W",0.3943,0.915816753051329,0.4971,0.89491723792008,0.3235,0.49648888145795
