well_ID,sample,background,rep_ID,condition,smudge,control
A1,BLANK,,,YPDA (pH 6.8),,
B1,empty,BY4742,1,YPDA (pH 6.8),,
C1,empty,BY4742,2,YPDA (pH 6.8),,
D1,empty,BY4742,3,YPDA (pH 6.8),,
E1,empty,BY4742,4,YPDA (pH 6.8),,
F1,empty,BY4742,5,YPDA (pH 6.8),,
G1,YBROE,BY4742,1,YPDA (pH 6.8),,
H1,YBROE,BY4742,2,YPDA (pH 6.8),,
A2,YBROE,BY4742,3,YPDA (pH 6.8),,
B2,YBROE,BY4742,4,YPDA (pH 6.8),,
C2,YBROE,BY4742,5,YPDA (pH 6.8),,
D2,YBROE,BY4742,6,YPDA (pH 6.8),,
E2,YBRDel_empty,BY4742,1,YPDA (pH 6.8),,
F2,YBRDel_empty,BY4742,2,YPDA (pH 6.8),,
G2,YBRDel_empty,BY4742,3,YPDA (pH 6.8),,
H2,YBRDel_empty,BY4742,4,YPDA (pH 6.8),,
A3,YBRDel_empty,BY4742,5,YPDA (pH 6.8),,
B3,YBRDel_empty,BY4742,6,YPDA (pH 6.8),,
C3,YBRDel_YBROE,BY4742,1,YPDA (pH 6.8),,
D3,YBRDel_YBROE,BY4742,2,YPDA (pH 6.8),,
E3,YBRDel_YBROE,BY4742,3,YPDA (pH 6.8),,
F3,YBRDel_YBROE,BY4742,4,YPDA (pH 6.8),,
G3,YBRDel_YBROE,BY4742,5,YPDA (pH 6.8),,
H3,YBRDel_YBROE,BY4742,6,YPDA (pH 6.8),,
A4,BLANK,,,1M NaCl (pH 6.8),,
B4,empty,BY4742,1,1M NaCl (pH 6.8),,
C4,empty,BY4742,2,1M NaCl (pH 6.8),,
D4,empty,BY4742,3,1M NaCl (pH 6.8),,
E4,empty,BY4742,4,1M NaCl (pH 6.8),,
F4,empty,BY4742,5,1M NaCl (pH 6.8),,
G4,YBROE,BY4742,1,1M NaCl (pH 6.8),,
H4,YBROE,BY4742,2,1M NaCl (pH 6.8),,
A5,YBROE,BY4742,3,1M NaCl (pH 6.8),yes,
B5,YBROE,BY4742,4,1M NaCl (pH 6.8),,
C5,YBROE,BY4742,5,1M NaCl (pH 6.8),,
D5,YBROE,BY4742,6,1M NaCl (pH 6.8),,
E5,YBRDel_empty,BY4742,1,1M NaCl (pH 6.8),,
F5,YBRDel_empty,BY4742,2,1M NaCl (pH 6.8),,
G5,YBRDel_empty,BY4742,3,1M NaCl (pH 6.8),,
H5,YBRDel_empty,BY4742,4,1M NaCl (pH 6.8),,
A6,YBRDel_empty,BY4742,5,1M NaCl (pH 6.8),,
B6,YBRDel_empty,BY4742,6,1M NaCl (pH 6.8),,
C6,YBRDel_YBROE,BY4742,1,1M NaCl (pH 6.8),,
D6,YBRDel_YBROE,BY4742,2,1M NaCl (pH 6.8),,
E6,YBRDel_YBROE,BY4742,3,1M NaCl (pH 6.8),,
F6,YBRDel_YBROE,BY4742,4,1M NaCl (pH 6.8),,
G6,YBRDel_YBROE,BY4742,5,1M NaCl (pH 6.8),,
H6,YBRDel_YBROE,BY4742,6,1M NaCl (pH 6.8),,
A7,BLANK,,,1M NaCl + 5mM CaCl2 (pH 6.8),,
