Time,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
15,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.098,0.097,0.108,0.091,0.132,0.121,0.09,0.109,0.105,0.101,0.105,0.09,0.111,0.108,0.09,0.105,0.109,0.097,0.099,0.09,0.098,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.099,0.09,0.101,0.101,0.104,0.113,0.089,0.108,0.112,0.089,0.108,0.103,0.109,0.106,0.089,0.103,0.113,0.089,0.103,0.107,0.103,0.106,0.09,0.114,0.107,0.089,0.106,0.106,0.105,0.1,0.089,0.113,0.111,0.09,0.104,0.104,0.102,0.101,0.089,0.108,0.12,0.091,0.106,0.105,0.102,0.103,0.089,0.112,0.111,0.091,0.106,0.113,0.102,0.106,0.09,0.107,0.106,0.091,0.105,0.107
30,0.096,0.096,0.091,0.097,0.096,0.089,0.096,0.098,0.097,0.112,0.091,0.135,0.127,0.09,0.111,0.105,0.101,0.107,0.09,0.114,0.112,0.091,0.106,0.108,0.097,0.099,0.09,0.098,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.099,0.091,0.102,0.101,0.104,0.108,0.089,0.112,0.115,0.089,0.109,0.105,0.109,0.107,0.089,0.107,0.115,0.089,0.104,0.108,0.104,0.109,0.09,0.118,0.111,0.089,0.108,0.106,0.106,0.103,0.089,0.115,0.113,0.09,0.106,0.106,0.103,0.103,0.089,0.113,0.125,0.091,0.108,0.106,0.103,0.103,0.089,0.114,0.115,0.091,0.107,0.115,0.103,0.106,0.089,0.109,0.108,0.091,0.106,0.108
45,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.098,0.098,0.116,0.091,0.14,0.133,0.09,0.114,0.105,0.102,0.11,0.09,0.118,0.116,0.09,0.108,0.111,0.097,0.099,0.09,0.098,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.102,0.101,0.105,0.117,0.089,0.116,0.119,0.089,0.112,0.108,0.112,0.111,0.089,0.109,0.118,0.089,0.106,0.11,0.104,0.113,0.09,0.121,0.115,0.089,0.11,0.108,0.11,0.105,0.089,0.12,0.119,0.09,0.109,0.108,0.107,0.106,0.089,0.118,0.132,0.091,0.111,0.11,0.104,0.106,0.089,0.117,0.119,0.09,0.109,0.117,0.104,0.108,0.089,0.111,0.111,0.09,0.107,0.111
60,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.098,0.099,0.12,0.091,0.143,0.139,0.09,0.117,0.107,0.103,0.113,0.09,0.123,0.12,0.091,0.109,0.112,0.097,0.099,0.09,0.098,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.103,0.101,0.108,0.122,0.089,0.121,0.124,0.089,0.115,0.111,0.114,0.113,0.089,0.112,0.119,0.089,0.108,0.113,0.106,0.118,0.09,0.123,0.118,0.09,0.112,0.108,0.112,0.107,0.089,0.124,0.124,0.09,0.111,0.11,0.111,0.108,0.089,0.124,0.139,0.091,0.114,0.113,0.106,0.108,0.089,0.121,0.124,0.091,0.111,0.12,0.106,0.11,0.089,0.113,0.113,0.091,0.109,0.112
75,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.098,0.1,0.127,0.091,0.152,0.147,0.09,0.122,0.11,0.105,0.118,0.09,0.133,0.129,0.09,0.111,0.116,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.103,0.101,0.113,0.133,0.089,0.128,0.131,0.089,0.119,0.12,0.117,0.117,0.089,0.117,0.122,0.089,0.111,0.116,0.11,0.126,0.09,0.127,0.125,0.09,0.116,0.112,0.118,0.113,0.089,0.13,0.132,0.09,0.114,0.114,0.118,0.115,0.089,0.134,0.151,0.091,0.119,0.117,0.11,0.111,0.089,0.127,0.133,0.091,0.114,0.124,0.109,0.114,0.089,0.115,0.115,0.091,0.112,0.115
90,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.099,0.101,0.132,0.091,0.158,0.154,0.09,0.127,0.112,0.107,0.123,0.09,0.141,0.135,0.09,0.113,0.118,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.103,0.101,0.117,0.14,0.089,0.134,0.136,0.089,0.123,0.125,0.119,0.12,0.089,0.119,0.124,0.089,0.113,0.118,0.112,0.131,0.09,0.13,0.129,0.089,0.118,0.115,0.122,0.116,0.089,0.134,0.139,0.09,0.116,0.115,0.123,0.12,0.089,0.142,0.158,0.091,0.121,0.12,0.112,0.114,0.089,0.132,0.138,0.091,0.116,0.127,0.111,0.118,0.089,0.118,0.118,0.091,0.113,0.117
105,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.099,0.103,0.139,0.091,0.166,0.163,0.09,0.131,0.115,0.11,0.129,0.09,0.151,0.143,0.09,0.115,0.121,0.097,0.099,0.09,0.098,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.103,0.101,0.123,0.147,0.089,0.14,0.143,0.089,0.129,0.133,0.123,0.125,0.089,0.122,0.126,0.089,0.116,0.121,0.116,0.137,0.09,0.134,0.134,0.089,0.122,0.119,0.13,0.122,0.089,0.14,0.148,0.09,0.118,0.117,0.131,0.127,0.089,0.151,0.165,0.091,0.125,0.123,0.114,0.117,0.089,0.138,0.144,0.091,0.119,0.13,0.114,0.122,0.089,0.121,0.121,0.091,0.116,0.12
120,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.099,0.105,0.143,0.091,0.174,0.173,0.09,0.135,0.117,0.114,0.137,0.09,0.161,0.152,0.09,0.118,0.124,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.103,0.101,0.13,0.153,0.089,0.147,0.151,0.089,0.135,0.141,0.126,0.13,0.089,0.126,0.129,0.089,0.12,0.125,0.119,0.144,0.09,0.138,0.139,0.09,0.126,0.123,0.137,0.127,0.089,0.145,0.158,0.09,0.121,0.12,0.14,0.135,0.089,0.159,0.171,0.091,0.129,0.127,0.117,0.12,0.089,0.143,0.151,0.091,0.122,0.133,0.117,0.128,0.089,0.124,0.124,0.091,0.119,0.123
135,0.096,0.096,0.091,0.097,0.097,0.089,0.097,0.099,0.107,0.148,0.091,0.184,0.184,0.09,0.139,0.119,0.119,0.145,0.09,0.171,0.163,0.09,0.12,0.128,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.102,0.101,0.139,0.164,0.089,0.154,0.159,0.088,0.142,0.149,0.13,0.136,0.089,0.131,0.132,0.089,0.123,0.129,0.123,0.15,0.09,0.142,0.144,0.09,0.129,0.127,0.149,0.134,0.089,0.151,0.167,0.09,0.124,0.123,0.15,0.145,0.089,0.169,0.178,0.091,0.133,0.131,0.121,0.123,0.089,0.149,0.158,0.091,0.126,0.136,0.121,0.135,0.089,0.128,0.129,0.09,0.122,0.127
150,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.099,0.111,0.156,0.091,0.194,0.194,0.09,0.144,0.123,0.125,0.155,0.09,0.184,0.175,0.091,0.124,0.133,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.102,0.101,0.151,0.177,0.089,0.162,0.167,0.089,0.15,0.16,0.136,0.143,0.089,0.137,0.136,0.089,0.129,0.134,0.129,0.159,0.09,0.147,0.15,0.09,0.134,0.132,0.159,0.141,0.089,0.157,0.178,0.09,0.128,0.127,0.162,0.157,0.089,0.179,0.186,0.091,0.138,0.137,0.126,0.128,0.089,0.157,0.165,0.091,0.129,0.14,0.127,0.143,0.089,0.133,0.134,0.091,0.127,0.131
165,0.096,0.096,0.091,0.097,0.096,0.089,0.097,0.099,0.119,0.167,0.091,0.206,0.207,0.09,0.15,0.133,0.139,0.168,0.09,0.203,0.197,0.09,0.13,0.143,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.102,0.101,0.174,0.202,0.089,0.177,0.18,0.089,0.165,0.187,0.146,0.152,0.089,0.149,0.144,0.089,0.138,0.142,0.138,0.174,0.09,0.156,0.159,0.09,0.141,0.143,0.174,0.156,0.089,0.165,0.195,0.09,0.134,0.133,0.178,0.174,0.089,0.197,0.187,0.091,0.147,0.145,0.134,0.135,0.089,0.167,0.177,0.09,0.134,0.146,0.135,0.153,0.089,0.141,0.143,0.091,0.134,0.138
180,0.096,0.096,0.091,0.097,0.097,0.089,0.097,0.099,0.131,0.186,0.091,0.218,0.221,0.09,0.157,0.146,0.156,0.184,0.09,0.227,0.224,0.09,0.138,0.157,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.102,0.101,0.203,0.23,0.089,0.195,0.194,0.088,0.184,0.229,0.158,0.164,0.089,0.166,0.154,0.089,0.151,0.152,0.149,0.188,0.09,0.167,0.17,0.09,0.148,0.157,0.192,0.173,0.089,0.175,0.213,0.09,0.14,0.141,0.198,0.197,0.089,0.216,0.191,0.091,0.159,0.156,0.142,0.143,0.089,0.177,0.189,0.091,0.141,0.152,0.145,0.166,0.089,0.15,0.153,0.09,0.143,0.146
195,0.096,0.096,0.091,0.098,0.097,0.089,0.097,0.099,0.138,0.196,0.091,0.226,0.233,0.09,0.16,0.15,0.17,0.196,0.09,0.242,0.236,0.09,0.143,0.164,0.097,0.099,0.09,0.099,0.099,0.091,0.098,0.098,0.097,0.097,0.09,0.096,0.098,0.091,0.101,0.101,0.221,0.25,0.089,0.206,0.204,0.089,0.197,0.248,0.167,0.174,0.089,0.176,0.161,0.089,0.159,0.16,0.155,0.199,0.09,0.174,0.176,0.09,0.153,0.163,0.206,0.185,0.089,0.181,0.228,0.09,0.146,0.145,0.213,0.213,0.089,0.228,0.2,0.091,0.167,0.163,0.148,0.148,0.089,0.184,0.198,0.09,0.146,0.156,0.154,0.176,0.089,0.158,0.16,0.091,0.15,0.152
210,0.096,0.096,0.091,0.097,0.097,0.089,0.097,0.099,0.149,0.205,0.091,0.234,0.245,0.09,0.165,0.155,0.188,0.21,0.09,0.255,0.248,0.09,0.151,0.177,0.097,0.099,0.09,0.099,0.099,0.09,0.098,0.097,0.097,0.097,0.09,0.096,0.098,0.09,0.101,0.101,0.242,0.27,0.089,0.219,0.215,0.088,0.213,0.275,0.178,0.185,0.089,0.187,0.169,0.089,0.17,0.169,0.165,0.214,0.09,0.182,0.185,0.09,0.159,0.174,0.222,0.199,0.089,0.19,0.241,0.09,0.153,0.152,0.23,0.231,0.089,0.241,0.202,0.091,0.177,0.173,0.155,0.156,0.089,0.192,0.207,0.09,0.151,0.163,0.164,0.189,0.089,0.167,0.169,0.09,0.158,0.161
225,0.096,0.096,0.091,0.097,0.097,0.089,0.097,0.099,0.158,0.217,0.091,0.241,0.258,0.09,0.169,0.159,0.203,0.224,0.09,0.268,0.261,0.09,0.158,0.187,0.097,0.099,0.09,0.098,0.099,0.09,0.098,0.098,0.097,0.097,0.09,0.096,0.098,0.09,0.101,0.101,0.262,0.292,0.089,0.231,0.225,0.088,0.228,0.302,0.189,0.197,0.089,0.197,0.177,0.089,0.18,0.179,0.173,0.228,0.09,0.191,0.193,0.09,0.166,0.182,0.238,0.213,0.089,0.197,0.253,0.09,0.16,0.16,0.248,0.248,0.089,0.253,0.208,0.091,0.187,0.183,0.162,0.164,0.089,0.2,0.217,0.09,0.157,0.169,0.175,0.202,0.089,0.176,0.178,0.09,0.167,0.169
