well_ID,sample,background,rep_ID,condition,smudge,control
A1,BLANK,,,YPD (pH 5.0),no,
A2,BY4741,BY4741,,YPD (pH 5.0),no,
A3,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
A4,BY4741,BY4741,,YPD (pH 5.0),no,
A5,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
A6,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
A7,BLANK,,,60mM CaCl2 (pH 7.5),no,
A8,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
A9,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
A10,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
A11,*vma3Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
A12,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),yes,
B1,BY4741,BY4741,,YPD (pH 5.0),no,
B2,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
B3,BY4741,BY4741,,YPD (pH 5.0),no,
B4,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
B5,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
B6,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
B7,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
B8,*vma3Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
B9,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
B10,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
B11,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
B12,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
C1,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
C2,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
C3,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
C4,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
C5,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
C6,BY4741,BY4741,,YPD (pH 5.0),no,
C7,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
C8,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
C9,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
C10,*vma3Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
C11,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
C12,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
D1,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
D2,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
D3,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
D4,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
D5,BY4741,BY4741,,YPD (pH 5.0),no,
D6,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
D7,*vma3Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
D8,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
D9,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
D10,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
D11,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
D12,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
