Interactor,Interactor Systematic Name,Interactor,Interactor Systematic Name,Assay,Annotation,Action,Modification,Source,Reference,Note
GCN1,YGL195W,ACT1,YFL039C,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Sattlegger E, et al. (2011) PMID:21239490",
GCN1,YGL195W,AHA1,YDR214W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,AHA1,YDR214W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,BRE5,YNR051C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ossareh-Nazari B, et al. (2010) PMID:20508643",protein A-tagged Bre5
GCN1,YGL195W,CAF20,YOR276W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gay S, et al. (2018) PMID:29775579",
GCN1,YGL195W,CCR4,YAL021C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,CDC14,YFR028C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Bloom J, et al. (2011) PMID:21127052",
GCN1,YGL195W,CDC19,YAL038W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Babu M, et al. (2012) PMID:22940862","Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1."
GCN1,YGL195W,COF1,YLL050C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ho Y, et al. (2002) PMID:11805837",
GCN1,YGL195W,CRM1,YGR218W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,CSE4,YKL049C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ranjitkar P, et al. (2010) PMID:21070971",
GCN1,YGL195W,DED1,YOR204W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Babu M, et al. (2012) PMID:22940862","Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1."
GCN1,YGL195W,DED81,YHR019C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,DHH1,YDL160C,Affinity Capture-RNA,high-throughput,Hit,No Modification,BioGRID,"Mitchell SF, et al. (2013) PMID:23222640",UV cross-linking followed by immunoprecipitation
GCN1,YGL195W,DHH1,YDL160C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Cary GA, et al. (2015) PMID:26392412",
GCN1,YGL195W,DHH1,YDL160C,Affinity Capture-RNA,high-throughput,Hit,No Modification,BioGRID,"Jungfleisch J, et al. (2017) PMID:27821408",CRAC
GCN1,YGL195W,ECM1,YAL059W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,ECM16,YMR128W,Affinity Capture-MS,manually curated,Hit,No Modification,BioGRID,"Sturm M, et al. (2017) PMID:29263326",
GCN1,YGL195W,ESA1,YOR244W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Mitchell L, et al. (2013) PMID:23572591","identified by mChIP-KAT-MS assay, which consists of three steps: isolation of a lysine acetyltransferase (KAT) and its associated protein network from cells, enrichment of acetylated lysine residues within the network by an in vitro KAT reaction; and identification of the interacting proteins and acetylation sites by LC-MS/MS"
GCN1,YGL195W,ESP1,YGR098C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ho KL, et al. (2015) PMID:25822502",
GCN1,YGL195W,FAA4,YMR246W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,GCN2,YDR283C,Affinity Capture-Western,manually curated,Hit,No Modification,BioGRID,"Garcia-Barrio M, et al. (2000) PMID:10775272",
GCN1,YGL195W,GCN2,YDR283C,Reconstituted Complex,manually curated,Hit,No Modification,BioGRID,"Kubota H, et al. (2000) PMID:10801780",
GCN1,YGL195W,GCN2,YDR283C,Reconstituted Complex,manually curated,Hit,No Modification,BioGRID,"Garcia-Barrio M, et al. (2000) PMID:10775272",
GCN1,YGL195W,GCN2,YDR283C,Two-hybrid,manually curated,Bait,No Modification,BioGRID,"Kubota H, et al. (2001) PMID:11350982",
GCN1,YGL195W,GCN2,YDR283C,Two-hybrid,manually curated,Hit,No Modification,BioGRID,"Kubota H, et al. (2001) PMID:11350982",
GCN1,YGL195W,GCN2,YDR283C,Two-hybrid,manually curated,Bait,No Modification,BioGRID,"Kubota H, et al. (2000) PMID:10801780",
GCN1,YGL195W,GCN2,YDR283C,Two-hybrid,manually curated,Hit,No Modification,BioGRID,"Kubota H, et al. (2000) PMID:10801780",
GCN1,YGL195W,GCN2,YDR283C,Two-hybrid,manually curated,Hit,No Modification,BioGRID,"Wout PK, et al. (2009) PMID:19448108",
GCN1,YGL195W,GCN2,YDR283C,Reconstituted Complex,manually curated,Hit,No Modification,BioGRID,"Visweswaraiah J, et al. (2011) PMID:21849502",
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Marton MJ, et al. (1997) PMID:9234705",
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Vazquez de Aldana CR, et al. (1995) PMID:7621831",
GCN1,YGL195W,GCN20,YFR009W,Two-hybrid,manually curated,Bait,No Modification,BioGRID,"Marton MJ, et al. (1997) PMID:9234705",
GCN1,YGL195W,GCN20,YFR009W,Two-hybrid,manually curated,Bait,No Modification,BioGRID,"Vazquez de Aldana CR, et al. (1995) PMID:7621831",
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Krogan NJ, et al. (2006) PMID:16554755",
