"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0000837","Doa10p ubiquitin ligase complex","GO:0012505","endomembrane system"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0000839","Hrd1p ubiquitin ligase ERAD-L complex","GO:0012505","endomembrane system"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0034098","VCP-NPL4-UFD1 AAA ATPase complex","GO:0012505","endomembrane system"
"YDL204W","RTN2","S000002363","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YDL204W","RTN2","S000002363","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YDL204W","RTN2","S000002363","Saccharomyces cerevisiae","GO:0032541","cortical endoplasmic reticulum","GO:0012505","endomembrane system"
"YDL204W","RTN2","S000002363","Saccharomyces cerevisiae","GO:0071782","endoplasmic reticulum tubular network","GO:0012505","endomembrane system"
"YDR141C","DOP1","S000002548","Saccharomyces cerevisiae","GO:0000139","Golgi membrane","GO:0012505","endomembrane system"
"YDR141C","DOP1","S000002548","Saccharomyces cerevisiae","GO:0005768","endosome","GO:0012505","endomembrane system"
"YDR141C","DOP1","S000002548","Saccharomyces cerevisiae","GO:0005794","Golgi apparatus","GO:0012505","endomembrane system"
"YDR141C","DOP1","S000002548","Saccharomyces cerevisiae","GO:0005802","trans-Golgi network","GO:0012505","endomembrane system"
"YDR170C","SEC7","S000002577","Saccharomyces cerevisiae","GO:0005770","late endosome","GO:0012505","endomembrane system"
"YDR170C","SEC7","S000002577","Saccharomyces cerevisiae","GO:0005794","Golgi apparatus","GO:0012505","endomembrane system"
"YDR170C","SEC7","S000002577","Saccharomyces cerevisiae","GO:0005802","trans-Golgi network","GO:0012505","endomembrane system"
"YDR238C","SEC26","S000002646","Saccharomyces cerevisiae","GO:0000139","Golgi membrane","GO:0012505","endomembrane system"
"YDR238C","SEC26","S000002646","Saccharomyces cerevisiae","GO:0005794","Golgi apparatus","GO:0012505","endomembrane system"
"YDR238C","SEC26","S000002646","Saccharomyces cerevisiae","GO:0030126","COPI vesicle coat","GO:0012505","endomembrane system"
"YDR395W","SXM1","S000002803","Saccharomyces cerevisiae","GO:0005635","nuclear envelope","GO:0012505","endomembrane system"
"YDR395W","SXM1","S000002803","Saccharomyces cerevisiae","GO:0005643","nuclear pore","GO:0012505","endomembrane system"
"YDR508C","GNP1","S000002916","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YER110C","KAP123","S000000912","Saccharomyces cerevisiae","GO:0005643","nuclear pore","GO:0012505","endomembrane system"
"YGL016W","KAP122","S000002984","Saccharomyces cerevisiae","GO:0005635","nuclear envelope","GO:0012505","endomembrane system"
"YGL065C","ALG2","S000003033","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YGL065C","ALG2","S000003033","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YGR038W","ORM1","S000003270","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YGR038W","ORM1","S000003270","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YGR038W","ORM1","S000003270","Saccharomyces cerevisiae","GO:0035339","SPOTS complex","GO:0012505","endomembrane system"
"YGR157W","CHO2","S000003389","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YGR157W","CHO2","S000003389","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YGR175C","ERG1","S000003407","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YGR175C","ERG1","S000003407","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YGR284C","ERV29","S000003516","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YGR284C","ERV29","S000003516","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YHR027C","RPN1","S000001069","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YJL207C","LAA1","S000003743","Saccharomyces cerevisiae","GO:0005794","Golgi apparatus","GO:0012505","endomembrane system"
"YJR132W","NMD5","S000003893","Saccharomyces cerevisiae","GO:0005635","nuclear envelope","GO:0012505","endomembrane system"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005635","nuclear envelope","GO:0012505","endomembrane system"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005640","nuclear outer membrane","GO:0012505","endomembrane system"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005643","nuclear pore","GO:0012505","endomembrane system"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YML075C","HMG1","S000004540","Saccharomyces cerevisiae","GO:0005635","nuclear envelope","GO:0012505","endomembrane system"
"YML075C","HMG1","S000004540","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YML075C","HMG1","S000004540","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YNL297C","MON2","S000005241","Saccharomyces cerevisiae","GO:0000139","Golgi membrane","GO:0012505","endomembrane system"
"YNL297C","MON2","S000005241","Saccharomyces cerevisiae","GO:0005768","endosome","GO:0012505","endomembrane system"
"YNL297C","MON2","S000005241","Saccharomyces cerevisiae","GO:0005794","Golgi apparatus","GO:0012505","endomembrane system"
"YNL297C","MON2","S000005241","Saccharomyces cerevisiae","GO:0005802","trans-Golgi network","GO:0012505","endomembrane system"
"YNL297C","MON2","S000005241","Saccharomyces cerevisiae","GO:0031901","early endosome membrane","GO:0012505","endomembrane system"
"YNR019W","ARE2","S000005302","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YNR019W","ARE2","S000005302","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YOL092W","YPQ1","S000005452","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0000139","Golgi membrane","GO:0012505","endomembrane system"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0005783","endoplasmic reticulum","GO:0012505","endomembrane system"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0012505","endomembrane system"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0005794","Golgi apparatus","GO:0012505","endomembrane system"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0012507","ER to Golgi transport vesicle membrane","GO:0012505","endomembrane system"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0030127","COPII vesicle coat","GO:0012505","endomembrane system"
