Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.2291	0.0431	2318	YDR191W	HST4
0.2007	0.0381	4326	YMR031C	EIS1
0.1928	0.0353	4911	YNL278W	CAF120
0.1920	0.0317	91	YBL003C	HTA2
0.1796	0.0378	570	YCR014C	POL4
0.1778	0.0346	1787	YFL007W	BLM10
0.1683	0.0341	1904	YDL025C	RTK1
0.1678	0.0352	4189	YML029W	USA1
0.1646	0.0403	2771	YGL090W	LIF1
0.1634	0.0381	2856	YGL175C	SAE2
0.1624	0.0278	5805	YPL199C	YPL199C
0.1623	0.0365	3157	YGR212W	SLI1
0.1619	0.0348	2033	YDL154W	MSH5
0.1605	0.0368	2157	YDR030C	RAD28
0.1557	0.0283	5785	YPL179W	PPQ1
0.1542	0.0285	5550	YOR338W	YOR338W
0.1529	0.0346	1489	YKL091C	YKL091C
0.1526	0.0369	226	YBR030W	RKM3
0.1515	0.0817	664	YEL009C	GCN4
0.1512	0.0939	1801	YFR009W	GCN20
0.1488	0.0295	2281	YDR155C	CPR1
0.1488	0.0317	4612	YMR306W	FKS3
0.1472	0.0437	4298	YMR003W	AIM34
0.1471	0.0408	640	YCR092C	MSH3
0.1458	0.0485	466	YBR272C	HSM3
0.1456	0.0317	419	YBR225W	YBR225W
0.1425	0.0289	5941	YPR054W	SMK1
0.1407	0.0352	3178	YGR233C	PHO81
0.1391	0.0370	417	YBR223C	TDP1
0.1365	0.0366	395	YBR201W	DER1
0.1308	0.0357	872	YER144C	UBP5
0.1301	0.0386	1601	YKL206C	ADD66
0.1299	0.0363	4067	YLR376C	PSY3
0.1298	0.0335	2686	YGL004C	RPN14
0.1289	0.0350	4135	YLR445W	GMC2
0.1273	0.0316	3952	YLR263W	RED1
0.1272	0.0387	5873	YPL267W	ACM1
0.1271	0.0327	1427	YKL029C	MAE1
0.1251	0.0351	2406	YDR279W	RNH202
0.1243	0.0368	1807	YFR015C	GSY1
0.1222	0.0504	1313	YIL128W	MET18
0.1214	0.0397	1260	YIL073C	SPO22
0.1188	0.0790	2410	YDR283C	GCN2
0.1169	0.0306	3947	YLR258W	GSY2
0.1162	0.0317	25	YAL027W	SAW1
0.1157	0.0461	5255	YOR042W	CUE5
0.1154	0.0367	3597	YJR135C	MCM22
0.1144	0.0331	923	YHL006C	SHU1
0.1135	0.0300	829	YER098W	UBP9
0.1134	0.0307	1815	YFR023W	PES4
0.1129	0.0424	2923	YGL241W	KAP114
0.1126	0.0389	4261	YML101C	CUE4
0.1116	0.0330	1837	YFR046C	CNN1
0.1116	0.0313	380	YBR186W	PCH2
0.1113	0.0354	151	YBL063W	KIP1
0.1108	0.0527	2815	YGL134W	PCL10
0.1105	0.0345	837	YER106W	MAM1
0.1098	0.0302	3446	YJL206C	YJL206C
0.1097	0.0343	2497	YDR370C	DXO1
0.1087	0.0353	2344	YDR217C	RAD9
0.1079	0.0499	5046	YNR074C	AIF1
0.1078	0.0358	1926	YDL048C	STP4
0.1076	0.0289	5771	YPL165C	SET6
0.1071	0.0379	981	YHR014W	SPO13
0.1071	0.0259	2875	YGL194C	HOS2
0.1068	0.0374	6059	YPR173C	VPS4
0.1068	0.0324	4109	YLR419W	YLR419W
0.1065	0.0380	3839	YLR150W	STM1
0.1062	0.0300	2224	YDR097C	MSH6
0.1062	0.0387	2646	YDR520C	URC2
0.1056	0.0433	2711	YGL029W	CGR1
0.1054	0.0364	6217	YOL086W-A	MHF1
0.1051	0.0346	1114	YHR146W	CRP1
0.1024	0.0395	2441	YDR314C	RAD34
0.1023	0.0295	1286	YIL101C	XBP1
0.1023	0.0331	1718	YKR098C	UBP11
0.1016	0.0288	452	YBR258C	SHG1
0.1015	0.0287	2228	YDR101C	ARX1
0.1013	0.0463	2343	YDR216W	ADR1
0.1012	0.0399	2914	YGL232W	TAN1
0.1009	0.0336	176	YBL088C	TEL1
0.1001	0.0332	4705	YNL072W	RNH201
0.0999	0.0305	4775	YNL142W	MEP2
0.0998	0.0651	2911	YGL229C	SAP4
0.0990	0.0333	1125	YHR157W	REC104
0.0988	0.0362	939	YHL022C	SPO11
0.0984	0.0388	2802	YGL121C	GPG1
0.0979	0.0312	2038	YDL159W	STE7
0.0979	0.0290	5960	YPR073C	LTP1
0.0976	0.0334	406	YBR212W	NGR1
0.0975	0.0330	4395	YMR100W	MUB1
0.0975	0.0343	2263	YDR137W	RGP1
0.0975	0.0427	1541	YKL143W	LTV1
0.0973	0.0405	409	YBR215W	HPC2
0.0967	0.0278	5221	YOR007C	SGT2
0.0963	0.0300	4216	YML058W	SML1
0.0962	0.0357	1155	YHR187W	IKI1
