Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.3738	0.0283	4846	YNL213C	RRG9
0.3676	0.0359	4982	YNR010W	CSE2
0.3570	0.0261	4093	YLR403W	SFP1
0.3222	0.0336	3713	YLR024C	UBR2
0.2988	0.0270	524	YCL037C	SRO9
0.2895	0.0220	1968	YDL090C	RAM1
0.2894	0.0391	5197	YOL148C	SPT20
0.2837	0.0243	5417	YOR205C	GEP3
0.2832	0.0277	5648	YPL042C	SSN3
0.2797	0.0309	6196	YDR079C-A	TFB5
0.2765	0.0279	3215	YGR270W	YTA7
0.2715	0.0287	751	YER020W	GPA2
0.2710	0.0249	4259	YML100W	TSL1
0.2659	0.0270	1914	YDL035C	GPR1
0.2640	0.0285	919	YHL002W	HSE1
0.2568	0.0253	4659	YNL025C	SSN8
0.2553	0.0234	2039	YDL160C	DHH1
0.2541	0.0235	2570	YDR443C	SSN2
0.2509	0.0236	1452	YKL054C	DEF1
0.2493	0.0210	1692	YKR072C	SIS2
0.2475	0.0266	3551	YJR090C	GRR1
0.2472	0.0218	1409	YKL011C	CCE1
0.2447	0.0240	3080	YGR135W	PRE9
0.2442	0.0300	2302	YDR176W	NGG1
0.2424	0.0269	62	YAR002W	NUP60
0.2353	0.0289	3418	YJL177W	RPL17B
0.2346	0.0349	3497	YJR035W	RAD26
0.2304	0.0321	2711	YGL029W	CGR1
0.2301	0.0284	292	YBR097W	VPS15
0.2298	0.0268	2622	YDR496C	PUF6
0.2294	0.0290	5104	YOL054W	PSH1
0.2288	0.0232	1400	YKL002W	DID4
0.2283	0.0248	2067	YDL188C	PPH22
0.2269	0.0252	2459	YDR332W	IRC3
0.2239	0.0436	670	YEL015W	EDC3
0.2238	0.0245	3543	YJR082C	EAF6
0.2233	0.0399	3923	YLR234W	TOP3
0.2221	0.0331	115	YBL027W	RPL19B
0.2210	0.0304	1466	YKL068W	NUP100
0.2189	0.0248	4724	YNL091W	NST1
0.2185	0.0243	629	YCR081W	SRB8
0.2182	0.0288	4995	YNR023W	SNF12
0.2170	0.0242	5729	YPL123C	RNY1
0.2155	0.0246	2250	YDR123C	INO2
0.2143	0.0268	4111	YLR421C	RPN13
0.2139	0.0294	2892	YGL211W	NCS6
0.2127	0.0361	3079	YGR134W	CAF130
0.2126	0.0264	1361	YIR005W	IST3
0.2103	0.0393	771	YER040W	GLN3
0.2103	0.0268	4048	YLR357W	RSC2
0.2096	0.0237	5157	YOL108C	INO4
0.2094	0.0252	3626	YLL002W	RTT109
0.2083	0.0241	2	YAL002W	VPS8
0.2064	0.0251	2447	YDR320C	SWA2
0.2053	0.0289	6104	YCR028C-A	RIM1
0.2033	0.0344	951	YHL034C	SBP1
0.2025	0.0236	504	YCL010C	SGF29
0.2012	0.0360	2854	YGL173C	XRN1
0.2012	0.0246	4860	YNL227C	JJJ1
0.1979	0.0287	4883	YNL250W	RAD50
0.1968	0.0318	227	YBR031W	RPL4A
0.1960	0.0289	5524	YOR312C	RPL20B
0.1959	0.0332	3667	YLL045C	RPL8B
0.1956	0.0271	2263	YDR137W	RGP1
0.1948	0.0224	867	YER139C	RTR1
0.1941	0.0460	5630	YPL024W	RMI1
0.1929	0.0278	4771	YNL138W	SRV2
0.1922	0.0240	1033	YHR066W	SSF1
0.1919	0.0286	3197	YGR252W	GCN5
0.1916	0.0224	1223	YIL036W	CST6
0.1900	0.0251	3102	YGR157W	CHO2
0.1897	0.0330	2781	YGL100W	SEH1
0.1892	0.0220	4624	YMR316W	DIA1
0.1890	0.0264	5874	YPL268W	PLC1
0.1890	0.0386	766	YER035W	EDC2
0.1889	0.0244	1225	YIL038C	NOT3
0.1880	0.0270	3151	YGR206W	MVB12
0.1877	0.0384	2757	YGL076C	RPL7A
0.1875	0.0344	4386	YMR091C	NPL6
0.1871	0.0411	2855	YGL174W	BUD13
0.1867	0.0349	1960	YDL082W	RPL13A
0.1865	0.0257	5957	YPR070W	MED1
0.1841	0.0314	5220	YOR006C	TSR3
0.1837	0.0268	2575	YDR448W	ADA2
0.1836	0.0305	4033	YLR342W	FKS1
0.1829	0.0230	4921	YNL288W	CAF40
0.1827	0.0287	277	YBR082C	UBC4
0.1825	0.0269	3584	YJR122W	IBA57
0.1824	0.0279	5653	YPL047W	SGF11
0.1810	0.0328	356	YBR162C	TOS1
0.1809	0.0323	2832	YGL151W	NUT1
0.1804	0.0261	2069	YDL190C	UFD2
0.1800	0.0256	3994	YLR304C	ACO1
0.1799	0.0322	4138	YLR448W	RPL6B
0.1796	0.0247	2054	YDL175C	AIR2
0.1795	0.0323	3093	YGR148C	RPL24B
0.1791	0.0234	4268	YML107C	PML39
0.1767	0.0289	3839	YLR150W	STM1
0.1764	0.0356	3655	YLL033W	IRC19
0.1747	0.0307	2491	YDR364C	CDC40
0.1747	0.0263	4521	YMR219W	ESC1
0.1745	0.0318	2933	YGL251C	HFM1
0.1741	0.0313	4700	YNL067W	RPL9B
0.1740	0.0207	3535	YJR073C	OPI3
0.1739	0.0249	2387	YDR260C	SWM1
0.1733	0.0268	3390	YJL149W	DAS1
0.1732	0.0284	4874	YNL241C	ZWF1
0.1723	0.0380	2828	YGL147C	RPL9A
0.1716	0.0343	2713	YGL031C	RPL24A
0.1713	0.0323	3377	YJL136C	RPS21B
0.1708	0.0252	1488	YKL090W	CUE2
0.1708	0.0277	5860	YPL254W	HFI1
0.1706	0.0379	3477	YJR011C	YJR011C
0.1705	0.0226	937	YHL020C	OPI1
0.1700	0.0315	2070	YDL191W	RPL35A
0.1700	0.0302	1508	YKL110C	KTI12
0.1698	0.0255	4501	YMR199W	CLN1
0.1698	0.0223	4848	YNL215W	IES2
0.1694	0.0237	2759	YGL078C	DBP3
0.1689	0.0285	1563	YKL166C	TPK3
0.1686	0.0321	930	YHL013C	OTU2
0.1686	0.0249	5731	YPL125W	KAP120
0.1674	0.0338	3494	YJR032W	CPR7
0.1665	0.0273	3417	YJL176C	SWI3
0.1661	0.0321	818	YER087W	AIM10
0.1659	0.0251	1259	YIL072W	HOP1
0.1657	0.0332	3097	YGR152C	RSR1
0.1648	0.0351	2474	YDR347W	MRP1
0.1644	0.0232	3910	YLR221C	RSA3
0.1631	0.0284	276	YBR081C	SPT7
0.1627	0.0269	2393	YDR266C	HEL2
0.1625	0.0264	4650	YNL016W	PUB1
0.1623	0.0255	3409	YJL168C	SET2
0.1618	0.0298	5368	YOR156C	NFI1
0.1617	0.0349	3389	YJL148W	RPA34
0.1613	0.0399	4917	YNL284C	MRPL10
0.1613	0.0257	1455	YKL057C	NUP120
0.1610	0.0265	1948	YDL070W	BDF2
0.1608	0.0344	3229	YGR285C	ZUO1
0.1608	0.0329	5502	YOR291W	YPK9
0.1607	0.0309	2457	YDR330W	UBX5
0.1605	0.0284	4286	YML124C	TUB3
0.1602	0.0254	1425	YKL027W	TCD2
0.1600	0.0349	2287	YDR161W	ACL4
0.1599	0.0332	2319	YDR192C	NUP42
0.1596	0.0262	2505	YDR378C	LSM6
0.1592	0.0272	2808	YGL127C	SOH1
0.1589	0.0266	3145	YGR200C	ELP2
0.1589	0.0245	2739	YGL058W	RAD6
0.1587	0.0332	3062	YGR117C	YGR117C
0.1572	0.0261	3522	YJR060W	CBF1
0.1565	0.0231	5832	YPL226W	NEW1
0.1553	0.0235	3951	YLR262C	YPT6
0.1552	0.0265	6180	YAL044W-A	BOL1
0.1542	0.0226	3705	YLR016C	PML1
0.1540	0.0318	4182	YML022W	APT1
0.1540	0.0280	1404	YKL006W	RPL14A
0.1536	0.0280	4752	YNL119W	NCS2
0.1520	0.0234	2170	YDR043C	NRG1
0.1518	0.0248	4011	YLR320W	MMS22
0.1517	0.0310	806	YER075C	PTP3
0.1505	0.0235	1008	YHR041C	SRB2
0.1502	0.0223	4487	YMR186W	HSC82
0.1501	0.0264	1334	YIL149C	MLP2
0.1499	0.0250	3791	YLR102C	APC9
0.1497	0.0246	2382	YDR255C	RMD5
0.1496	0.0233	861	YER132C	PMD1
0.1494	0.0240	1472	YKL074C	MUD2
0.1494	0.0345	1694	YKR074W	AIM29
0.1494	0.0328	884	YER156C	MYG1
0.1491	0.0251	1465	YKL067W	YNK1
0.1489	0.0307	3980	YLR290C	COQ11
0.1488	0.0243	1407	YKL009W	MRT4
0.1487	0.0353	5395	YOR183W	FYV12
0.1483	0.0277	3732	YLR043C	TRX1
0.1479	0.0332	1547	YKL149C	DBR1
0.1479	0.0353	2512	YDR385W	EFT2
0.1472	0.0262	1979	YDL101C	DUN1
0.1470	0.0302	2241	YDR114C	YDR114C
0.1468	0.0242	467	YBR273C	UBX7
0.1464	0.0366	4496	YMR194W	RPL36A
0.1462	0.0345	4689	YNL055C	POR1
0.1460	0.0241	5987	YPR101W	SNT309
0.1459	0.0329	5674	YPL068C	YPL068C
0.1458	0.0225	4311	YMR016C	SOK2
0.1456	0.0290	126	YBL038W	MRPL16
