Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.4294	0.0681	1760	YFL034W	MIL1
0.4156	0.0542	762	YER031C	YPT31
0.4090	0.0479	3445	YJL204C	RCY1
0.3572	0.0569	5327	YOR115C	TRS33
0.3513	0.0598	936	YHL019C	APM2
0.3449	0.0519	4364	YMR071C	TVP18
0.3331	0.0569	5252	YOR039W	CKB2
0.3283	0.0619	2105	YDL226C	GCS1
0.3164	0.0569	3296	YJL053W	PEP8
0.3067	0.0486	5283	YOR070C	GYP1
0.2975	0.0565	3859	YLR170C	APS1
0.2833	0.0542	3395	YJL154C	VPS35
0.2789	0.0573	2701	YGL019W	CKB1
0.2774	0.0488	703	YEL048C	TCA17
0.2716	0.0620	2211	YDR084C	TVP23
0.2703	0.0533	1533	YKL135C	APL2
0.2600	0.0447	642	YCR094W	CDC50
0.2510	0.0683	2879	YGL198W	YIP4
0.2506	0.0523	979	YHR012W	VPS29
0.2445	0.0484	4197	YML037C	YML037C
0.2404	0.0375	24	YAL026C	DRS2
0.2360	0.0437	5916	YPR029C	APL4
0.2360	0.0595	2583	YDR456W	NHX1
0.2358	0.0579	1968	YDL090C	RAM1
0.2351	0.0557	2842	YGL161C	YIP5
0.2344	0.0467	3564	YJR102C	VPS25
0.2311	0.0374	1339	YIL154C	IMP2'
0.2280	0.0428	4107	YLR417W	VPS36
0.2252	0.0401	1607	YKL212W	SAC1
0.2235	0.0510	2499	YDR372C	VPS74
0.2225	0.0516	98	YBL010C	LAA2
0.2224	0.0482	4051	YLR360W	VPS38
0.2209	0.0387	5486	YOR275C	RIM20
0.2201	0.0455	3111	YGR166W	TRS65
0.2180	0.0531	5976	YPR089W	YPR089W
0.2164	0.0421	5608	YPL002C	SNF8
0.2148	0.0477	2735	YGL054C	ERV14
0.2134	0.0451	4371	YMR077C	VPS20
0.2126	0.0465	5671	YPL065W	VPS28
0.2110	0.0473	5569	YOR357C	SNX3
0.2092	0.0449	3714	YLR025W	SNF7
0.2070	0.0345	944	YHL027W	RIM101
0.2053	0.0470	5751	YPL145C	KES1
0.2039	0.0392	4356	YMR063W	RIM9
0.2015	0.0377	502	YCL008C	STP22
0.1993	0.0507	7	YAL009W	SPO7
0.1983	0.0449	2727	YGL045W	RIM8
0.1941	0.0502	4041	YLR350W	ORM2
0.1936	0.0446	1587	YKL190W	CNB1
0.1902	0.0457	2285	YDR159W	SAC3
0.1899	0.0337	5244	YOR030W	DFG16
0.1885	0.0543	3709	YLR020C	YEH2
0.1853	0.0605	1075	YHR108W	GGA2
0.1843	0.0437	3147	YGR202C	PCT1
0.1836	0.0346	997	YHR030C	SLT2
0.1822	0.0399	2829	YGL148W	ARO2
0.1820	0.0439	1290	YIL105C	SLM1
0.1817	0.0415	5122	YOL072W	THP1
0.1815	0.0408	4927	YNL294C	RIM21
0.1800	0.0551	78	YAR042W	SWH1
0.1776	0.0434	440	YBR246W	RRT2
0.1764	0.0421	5865	YPL259C	APM1
0.1746	0.0396	2481	YDR354W	TRP4
0.1744	0.0511	2410	YDR283C	GCN2
0.1732	0.0329	3338	YJL095W	BCK1
0.1729	0.0516	3746	YLR057W	MNL2
0.1729	0.0364	3365	YJL124C	LSM1
0.1725	0.0531	5726	YPL120W	VPS30
0.1711	0.0389	3067	YGR122W	YGR122W
0.1708	0.0367	821	YER090W	TRP2
0.1705	0.0368	1693	YKR073C	YKR073C
0.1692	0.0412	4452	YMR154C	RIM13
0.1684	0.0363	4021	YLR330W	CHS5
0.1671	0.0430	2254	YDR127W	ARO1
0.1665	0.0393	4504	YMR202W	ERG2
0.1664	0.0468	232	YBR036C	CSG2
0.1661	0.0452	134	YBL046W	PSY4
0.1657	0.0506	2340	YDR213W	UPC2
0.1633	0.0443	439	YBR245C	ISW1
0.1625	0.0376	2288	YDR162C	NBP2
0.1619	0.0437	1715	YKR095W	MLP1
0.1613	0.0346	2798	YGL117W	YGL117W
0.1607	0.0318	3447	YJL205C	NCE101
0.1598	0.0322	4267	YML106W	URA5
0.1596	0.0375	49	YAL053W	FLC2
0.1594	0.0374	926	YHL009C	YAP3
0.1583	0.0394	4816	YNL183C	NPR1
0.1582	0.0408	4703	YNL070W	TOM7
0.1582	0.0385	1189	YIL002C	INP51
0.1574	0.0391	2134	YDR007W	TRP1
0.1571	0.0356	1692	YKR072C	SIS2
0.1568	0.0461	971	YHR004C	NEM1
0.1552	0.0390	2717	YGL035C	MIG1
0.1530	0.0298	1713	YKR093W	PTR2
0.1528	0.0342	3174	YGR229C	SMI1
0.1521	0.0433	849	YER120W	SCS2
0.1511	0.0472	1646	YKR026C	GCN3
0.1497	0.0455	1012	YHR045W	YHR045W
0.1492	0.0317	3406	YJL165C	HAL5
0.1491	0.0276	5256	YOR043W	WHI2
0.1479	0.0448	3295	YJL052W	TDH1
0.1416	0.0402	3337	YJL094C	KHA1
0.1388	0.0413	4233	YML075C	HMG1
0.1386	0.0306	2155	YDR028C	REG1
0.1348	0.0397	664	YEL009C	GCN4
0.1346	0.0379	110	YBL022C	PIM1
0.1326	0.0258	904	YER177W	BMH1
0.1322	0.0365	3233	YGR289C	MAL11
0.1319	0.0412	1588	YKL191W	DPH2
0.1302	0.0328	4956	YNL323W	LEM3
0.1302	0.0336	2516	YDR389W	SAC7
0.1296	0.0281	4940	YNL307C	MCK1
0.1294	0.0409	2610	YDR484W	VPS52
0.1289	0.0299	155	YBL067C	UBP13
0.1289	0.0344	2162	YDR035W	ARO3
0.1286	0.0283	1769	YFL025C	BST1
0.1285	0.0404	3861	YLR172C	DPH5
0.1281	0.0314	5050	YOL001W	PHO80
0.1274	0.0393	5138	YOL089C	HAL9
0.1261	0.0318	3370	YJL129C	TRK1
0.1255	0.0393	2725	YGL043W	DST1
0.1255	0.0358	3502	YJR040W	GEF1
0.1249	0.0360	4740	YNL107W	YAF9
0.1230	0.0352	19	YAL021C	CCR4
0.1226	0.0414	2884	YGL203C	KEX1
0.1226	0.0300	170	YBL082C	ALG3
0.1224	0.0409	6115	YDR363W-A	SEM1
0.1200	0.0330	5248	YOR035C	SHE4
0.1196	0.0265	2695	YGL013C	PDR1
0.1188	0.0440	2776	YGL095C	VPS45
0.1183	0.0388	2758	YGL077C	HNM1
0.1182	0.0386	3123	YGR178C	PBP1
0.1171	0.0418	2270	YDR144C	MKC7
0.1166	0.0427	4928	YNL295W	MRX6
0.1165	0.0303	628	YCR077C	PAT1
0.1165	0.0295	4958	YNL325C	FIG4
0.1164	0.0337	1716	YKR096W	ESL2
0.1164	0.0495	2199	YDR072C	IPT1
0.1163	0.0399	4540	YMR238W	DFG5
0.1161	0.0330	4574	YMR272C	SCS7
0.1157	0.0341	1885	YDL006W	PTC1
0.1152	0.0348	3643	YLL021W	SPA2
0.1151	0.0321	1135	YHR167W	THP2
0.1149	0.0397	3662	YLL040C	VPS13
0.1148	0.0339	2420	YDR293C	SSD1
0.1136	0.0369	1475	YKL077W	PSG1
0.1135	0.0340	2	YAL002W	VPS8
0.1133	0.0368	5067	YOL018C	TLG2
0.1123	0.0374	1537	YKL139W	CTK1
0.1119	0.0412	4926	YNL293W	MSB3
0.1115	0.0349	5490	YOR279C	RFM1
0.1111	0.0338	5024	YNR052C	POP2
0.1108	0.0302	564	YCR008W	SAT4
0.1107	0.0361	1231	YIL044C	AGE2
0.1098	0.0382	9	YAL011W	SWC3
0.1082	0.0326	6094	YOR008C-A	YOR008C-A
0.1082	0.0438	5249	YOR036W	PEP12
0.1074	0.0392	3567	YJR105W	ADO1
0.1067	0.0316	3400	YJL159W	HSP150
0.1067	0.0350	490	YBR296C	PHO89
0.1065	0.0281	2006	YDL128W	VCX1
0.1060	0.0419	1771	YFL023W	BUD27
0.1058	0.0429	2618	YDR492W	IZH1
0.1052	0.0440	5776	YPL170W	DAP1
0.1049	0.0297	1046	YHR079C	IRE1
0.1048	0.0310	3206	YGR261C	APL6
0.1045	0.0362	1228	YIL041W	GVP36
0.1044	0.0320	3197	YGR252W	GCN5
0.1044	0.0348	1214	YIL027C	EMC5
0.1039	0.0321	931	YHL014C	YLF2
0.1038	0.0362	1747	YFL048C	EMP47
0.1038	0.0326	4268	YML107C	PML39
