"ORF","SGD","ENTREZID","GENENAME","ENSEMBL"
"YGR122C-A","S000007240",NA,NA,NA
"YOL154W","S000005514","854011","ZPS1","YOL154W"
"YGL256W","S000003225","852636","ADH4","YGL256W"
"YJR162C","S000003923",NA,NA,NA
"YJL222W-B","S000028664",NA,NA,NA
"YGL255W","S000003224","852637","ZRT1","YGL255W"
"YJL222W-A","S000028663",NA,NA,NA
"YGR144W","S000003376","853047","THI4","YGR144W"
"YPR150W","S000006354",NA,NA,NA
"YNL337W","S000005281",NA,NA,NA
"YPR151C","S000006355","856274","SUE1","YPR151C"
"YFR057W","S000001953","850618",NA,"YFR057W"
"YGL138C","S000003106","852739",NA,"YGL138C"
"YGL258W","S000003227","852634","VEL1","YGL258W"
"YBR072W","S000000276","852364","HSP26","YBR072W"
"YJL052C-A","S000007610","853394",NA,"YJL052C-A"
"YNL067W-A","S000007623",NA,NA,NA
"YMR107W","S000004713","855134","SPG4","YMR107W"
"YFL020C","S000001874","850524","PAU5","YFL020C"
"YGR236C","S000003468","853151","SPG1","YGR236C"
"YLR136C","S000004126","850827","TIS11","YLR136C"
"YHR212C","S000001255",NA,NA,NA
"YHL046W-A","S000028775",NA,NA,NA
"YNR001W-A","S000007625",NA,NA,NA
"YMR175W","S000004787","855213","SIP18","YMR175W"
"YOR388C","S000005915","854570","FDH1","YOR388C"
"YKL097C","S000001580","853764",NA,NA
"YJR005C-A","S000028523","1466469","LSO1","YJR005C-A"
"YJL056C","S000003592","853390","ZAP1","YJL056C"
"YNL014W","S000004959","855718","HEF3","YNL014W"
"YNL013C","S000004958",NA,NA,NA
"YIL175W","S000001437","854632",NA,NA
"YOL166C","S000005526",NA,NA,NA
"YMR175W-A","S000028848","1466501",NA,"YMR175W-A"
"YMR118C","S000004724","855145","SHH3","YMR118C"
"YHL047C","S000001039","856338","ARN2","YHL047C"
"YOL055C","S000005416","854099","THI20","YOL055C"
"YFL019C","S000001875","850525",NA,NA
"YJL220W","S000003756",NA,NA,NA
"YEL065W","S000000791","856644","SIT1","YEL065W"
"YPL036W","S000005957","856071","PMA2","YPL036W"
"YPR064W","S000006268","856177",NA,NA
"YFL063W","S000001831",NA,NA,NA
"YLR308W","S000004299","851017","CDA2","YLR308W"
"YBL048W","S000000144","852232","RRT1",NA
"YLR162W","S000004152","850859",NA,"YLR162W"
