"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006633","BP","GO:0006633","fatty acid biosynthetic process",0.0752688172043011,0.00449982692973347,1.14269957884434e-07,9.35870955073514e-05,7.98686863529096e-05,"YGL055W/YPL231W/YNR016C/YKL182W/YDL015C/YLR372W/YCR034W",7
"GO:0051170","BP","GO:0051170","import into nucleus",0.0967741935483871,0.0122879889235029,1.607723646275e-06,0.000453607572591195,0.000387115774308275,"YLR243W/YNR016C/YJR072C/YJR132W/YNL064C/YML103C/YDR395W/YGL016W/YER110C",9
"GO:0006629","BP","GO:0006629","lipid metabolic process",0.204301075268817,0.0597092419522326,1.66156619996775e-06,0.000453607572591195,0.000387115774308275,"YNR019W/YMR110C/YGL055W/YDL052C/YPL231W/YGL065C/YKR003W/YGR038W/YGR157W/YNR016C/YGR175C/YKL182W/YML075C/YML072C/YGL012W/YDL015C/YHR133C/YLR372W/YCR034W",19
"GO:0007029","BP","GO:0007029","endoplasmic reticulum organization",0.0752688172043011,0.00778816199376947,6.14601277567677e-06,0.00115150550336631,0.000982712748840342,"YDL126C/YDR166C/YDL204W/YOR164C/YML072C/YDR233C/YLL023C",7
"GO:0006606","BP","GO:0006606","protein import into nucleus",0.0860215053763441,0.0110764970578055,7.02994812799944e-06,0.00115150550336631,0.000982712748840342,"YLR243W/YNR016C/YJR072C/YJR132W/YML103C/YDR395W/YGL016W/YER110C",8
"GO:0008610","BP","GO:0008610","lipid biosynthetic process",0.150537634408602,0.0382485289027345,9.6144453232247e-06,0.00115464690577866,0.000985393670634313,"YGL055W/YDL052C/YPL231W/YGR038W/YGR157W/YNR016C/YGR175C/YKL182W/YML075C/YGL012W/YDL015C/YHR133C/YLR372W/YCR034W",14
"GO:0034504","BP","GO:0034504","protein localization to nucleus",0.0967741935483871,0.0154032537210107,1.0819621507581e-05,0.00115464690577866,0.000985393670634313,"YDL126C/YLR243W/YNR016C/YJR072C/YJR132W/YML103C/YDR395W/YGL016W/YER110C",9
"GO:0044255","BP","GO:0044255","cellular lipid metabolic process",0.182795698924731,0.0557286258220838,1.12786022542482e-05,0.00115464690577866,0.000985393670634313,"YNR019W/YMR110C/YGL055W/YDL052C/YPL231W/YGL065C/YGR038W/YGR157W/YNR016C/YGR175C/YKL182W/YML075C/YML072C/YGL012W/YDL015C/YLR372W/YCR034W",17
"GO:0006886","BP","GO:0006886","intracellular protein transport",0.21505376344086,0.0766701280719972,1.77157531397928e-05,0.00161213353572114,0.00137581989296169,"YBR302C/YML132W/YDL126C/YNL297C/YLR259C/YJL024C/YOR164C/YLR243W/YNR016C/YGL137W/YDR238C/YPL218W/YJR072C/YJR132W/YNL064C/YML103C/YDR395W/YFL045C/YGL016W/YER110C",20
"GO:0072330","BP","GO:0072330","monocarboxylic acid biosynthetic process",0.0752688172043011,0.00934579439252336,2.1320655326358e-05,0.00174616167122872,0.00149020159333702,"YGL055W/YPL231W/YNR016C/YKL182W/YDL015C/YLR372W/YCR034W",7
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle",0.182795698924731,0.0607476635514019,3.47340261641639e-05,0.00258610612985911,0.00220702328928276,"YBR302C/YML132W/YDL126C/YNL297C/YLR259C/YJL024C/YOR164C/YLR243W/YNR016C/YJR072C/YJR132W/YNL064C/YML103C/YDR395W/YFL045C/YGL016W/YER110C",17
"GO:0006631","BP","GO:0006631","fatty acid metabolic process",0.0752688172043011,0.0110764970578055,6.56197712370787e-05,0.00440953652590782,0.00376316721702049,"YGL055W/YPL231W/YNR016C/YKL182W/YDL015C/YLR372W/YCR034W",7
"GO:0010256","BP","GO:0010256","endomembrane system organization",0.0967741935483871,0.0195569401176878,7.40307820830104e-05,0.00440953652590782,0.00376316721702049,"YDL126C/YDR166C/YDL204W/YOR164C/YOR326W/YPL218W/YML072C/YDR233C/YLL023C",9
"GO:0016192","BP","GO:0016192","vesicle-mediated transport",0.204301075268817,0.0778816199376947,7.5376692750561e-05,0.00440953652590782,0.00376316721702049,"YBR302C/YML132W/YDL126C/YGR284C/YDR166C/YNL297C/YJL024C/YKR003W/YJL207C/YOR164C/YOR326W/YFL005W/YGL137W/YDR238C/YDR170C/YPL218W/YJL117W/YLR372W/YCR034W",19
"GO:0034220","BP","GO:0034220","ion transmembrane transport",0.139784946236559,0.0424022152994116,0.000130590151282152,0.00713022226000552,0.00608504283869117,"YML123C/YLR034C/YLR220W/YPL078C/YKL120W/YPR058W/YKL016C/YBR104W/YBR127C/YOR222W/YJR077C/YBR187W/YDR508C",13
