"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031984","CC","GO:0031984","organelle subcompartment",0.416666666666667,0.0794805194805195,2.97942845517384e-08,3.90305127627773e-06,3.07351566954775e-06,"YNL297C/YDR170C/YDR141C/YGR038W/YNR019W/YGL065C/YGR284C/YDL204W/YPL218W/YML075C/YGR175C/YGR157W/YLL023C/YPL227C/YDL126C",15
"GO:0005789","CC","GO:0005789","endoplasmic reticulum membrane",0.333333333333333,0.0675324675324675,2.15438843734884e-06,0.000102385624395925,8.06250798778677e-05,"YGR038W/YNR019W/YGL065C/YGR284C/YDL204W/YPL218W/YML075C/YGR175C/YGR157W/YLL023C/YPL227C/YDL126C",12
"GO:0098827","CC","GO:0098827","endoplasmic reticulum subcompartment",0.333333333333333,0.0685714285714286,2.5319150960554e-06,0.000102385624395925,8.06250798778677e-05,"YGR038W/YNR019W/YGL065C/YGR284C/YDL204W/YPL218W/YML075C/YGR175C/YGR157W/YLL023C/YPL227C/YDL126C",12
"GO:0042175","CC","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.333333333333333,0.06995670995671,3.12627860750915e-06,0.000102385624395925,8.06250798778677e-05,"YGR038W/YNR019W/YGL065C/YGR284C/YDL204W/YPL218W/YML075C/YGR175C/YGR157W/YLL023C/YPL227C/YDL126C",12
"GO:0005635","CC","GO:0005635","nuclear envelope",0.166666666666667,0.0275324675324675,0.00038928178452894,0.0101991827546582,0.00803149787028129,"YJR132W/YER110C/YGL016W/YDR395W/YML075C/YLL023C",6
"GO:0008540","CC","GO:0008540","proteasome regulatory particle, base subcomplex",0.0555555555555556,0.00173160173160173,0.00164779605705323,0.0351148026404797,0.0276516726297068,"YHR027C/YOR117W",2
"GO:0005802","CC","GO:0005802","trans-Golgi network",0.0833333333333333,0.00692640692640693,0.00187636349987296,0.0351148026404797,0.0276516726297068,"YNL297C/YDR170C/YDR141C",3
"GO:0031410","CC","GO:0031410","cytoplasmic vesicle",0.194444444444444,0.0531601731601732,0.0024621779067526,0.0353098620022714,0.0278052750198682,"YJL207C/YNL297C/YDR170C/YDR141C/YGR284C/YPL218W/YDR238C",7
"GO:0097708","CC","GO:0097708","intracellular vesicle",0.194444444444444,0.0531601731601732,0.0024621779067526,0.0353098620022714,0.0278052750198682,"YJL207C/YNL297C/YDR170C/YDR141C/YGR284C/YPL218W/YDR238C",7
"GO:0031982","CC","GO:0031982","vesicle",0.194444444444444,0.0541991341991342,0.0027478940047264,0.0353098620022714,0.0278052750198682,"YJL207C/YNL297C/YDR170C/YDR141C/YGR284C/YPL218W/YDR238C",7
"GO:0010494","CC","GO:0010494","cytoplasmic stress granule",0.111111111111111,0.0174891774891775,0.00337865278370924,0.0353098620022714,0.0278052750198682,"YER110C/YMR309C/YNL085W/YBR127C",4
"GO:0030135","CC","GO:0030135","coated vesicle",0.111111111111111,0.018008658008658,0.00375484527426293,0.0353098620022714,0.0278052750198682,"YJL207C/YGR284C/YPL218W/YDR238C",4
"GO:0101031","CC","GO:0101031","chaperone complex",0.0555555555555556,0.0025974025974026,0.00377023909993271,0.0353098620022714,0.0278052750198682,"YJL014W/YDR212W",2
"GO:0005643","CC","GO:0005643","nuclear pore",0.0833333333333333,0.00883116883116883,0.00377357303841068,0.0353098620022714,0.0278052750198682,"YER110C/YDR395W/YLL023C",3
"GO:0034399","CC","GO:0034399","nuclear periphery",0.0833333333333333,0.01004329004329,0.00542688191780975,0.0473947687488718,0.0373217142417793,"YJR132W/YNL085W/YML075C",3
"GO:0061608","MF","GO:0061608","nuclear import signal receptor activity",0.117647058823529,0.00208840932822833,4.89271680361928e-07,6.36053184470507e-05,5.56224647148298e-05,"YJR132W/YER110C/YGL016W/YDR395W",4
"GO:0140142","MF","GO:0140142","nucleocytoplasmic carrier activity",0.117647058823529,0.00243647754959972,9.81164526125694e-07,6.37756941981701e-05,5.57714572745131e-05,"YJR132W/YER110C/YGL016W/YDR395W",4
"GO:0140104","MF","GO:0140104","molecular carrier activity",0.117647058823529,0.00365471632439958,5.69696909608321e-06,0.000246868660830272,0.00021588514469368,"YJR132W/YER110C/YGL016W/YDR395W",4
"GO:0009678","MF","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity",0.0882352941176471,0.00400278454577097,0.000309243760048506,0.0100504222015764,0.00878903318032596,"YDR039C/YPL078C/YBR127C",3
"GO:0019829","MF","GO:0019829","ATPase-coupled cation transmembrane transporter activity",0.0882352941176471,0.00469892098851375,0.000502552934008405,0.0130663762842185,0.0114264667100858,"YDR039C/YPL078C/YBR127C",3
