"orf_name","log10p","fdr","lfc","contrast","batch","background","comparison","DE","SGD","ENTREZID","GENENAME","ENSEMBL","DESCRIPTION"
"YBR196C-A",-23.6936748920349,1.03952042192563e-21,-7.95859074324342,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000028534","1466447",NA,"YBR196C-A","Putative protein of unknown function; identified by fungal homology and RT-PCR"
"YEL021W",-9.53592389590631,2.69052424985354e-08,-1.46978470052145,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000000747","856692","URA3","YEL021W","Orotidine-5'-phosphate (OMP) decarboxylase; catalyzes the sixth enzymatic step in the de novo biosynthesis of pyrimidines, converting OMP into uridine monophosphate (UMP); converts 5-FOA into 5-fluorouracil, a toxic compound"
"YGR027W-A",-3.90972550424094,0.00245374712774556,-2.27018748793037,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000007405","852912",NA,NA,"Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"
"YHR185C",-2.27094234825144,0.0447114685779046,-1.50177553169207,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000001228","856591","PFS1","YHR185C","Sporulation protein required for prospore membrane formation; required for prospore membrane formation at selected spindle poles; ensures functionality of all four spindle pole bodies during meiosis II; not required for meiotic recombination or meiotic chromosome segregation"
"YJL153C",-7.00253527858478,5.18448976924278e-06,1.39883568842648,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Up","S000003689","853288","INO1","YJL153C","Inositol-3-phosphate synthase; involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element"
"YJL217W",-183.760971570919,2.89347482301202e-181,-2.20266517876541,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000003753","853238","REE1","YJL217W","Cytoplasmic protein involved in the regulation of enolase (ENO1); mRNA expression is induced by calcium shortage, copper deficiency (via Mac1p) and the presence of galactose (via Gal4p); mRNA expression is also regulated by the cell cycle"
"YJR150C",-8.63414529905704,1.82342139082185e-07,-1.25862649279772,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000003911","853615","DAN1","YJR150C","Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth"
"YLR154C-G",-2.32942315645072,0.0406010615202273,-1.33114000738094,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000028561","1466409",NA,"YLR154C-G","Putative protein of unknown function; identified by fungal homology comparisons and RT-PCR; this ORF is contained within RDN25-2 and RDN37-2"
"YLR154W-C",-2.64172404562567,0.0238729751343689,-1.39485720991382,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000028422","850849","TAR1","YLR154W-C","Protein potentially involved in regulation of respiratory metabolism; located in the mitochondria; interacts genetically with RPO41 and physically with Coq5p; encoded within the 25S rRNA gene on the opposite strand"
"YLR214W",-151.564107382278,3.64228464893943e-149,-1.50246012629596,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000004204","850911","FRE1","YLR214W","Ferric reductase and cupric reductase; reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low copper and iron levels"
