"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","min_peps","min_prob","min_crap_expt","GO"
"BP","GO:0055085","transmembrane transport",0.315789473684211,0.0796521739130435,2.24814079997935e-05,0.00992385566159632,0.00856397216885031,"YLR220W/YER145C/YDL022W/YGR191W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YBR069C/YPR156C/YPR058W",12,1,80,1,"BP_transmembrane transport"
"MF","GO:0022857","transmembrane transporter activity",0.289473684210526,0.0615304165940387,1.09236630113743e-05,0.00163854945170615,0.00132233815400847,"YLR220W/YER145C/YGR191W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YBR069C/YPR156C/YPR058W",11,1,80,1,"MF_transmembrane transporter activity"
"MF","GO:0005215","transporter activity",0.289473684210526,0.0742548370228342,6.36807925910994e-05,0.00477605944433245,0.00385436376209286,"YLR220W/YER145C/YGR191W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YBR069C/YPR156C/YPR058W",11,1,80,1,"MF_transporter activity"
"BP","GO:0006886","intracellular protein transport",0.263157894736842,0.0763478260869565,0.000408907437464073,0.0404489178934062,0.0349061311360831,"YHR108W/YHR005C/YDL022W/YPL249C/YNL297C/YDR335W/YML103C/YBL050W/YLR378C/YDR002W",10,1,80,1,"BP_intracellular protein transport"
"BP","GO:0006812","cation transport",0.210526315789474,0.0346086956521739,3.57616420237705e-05,0.00992385566159632,0.00856397216885031,"YLR220W/YER145C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YPR058W",8,1,80,1,"BP_cation transport"
"MF","GO:0015075","ion transmembrane transporter activity",0.210526315789474,0.0465400034861426,0.00028636529749713,0.0107386986561424,0.00866631821372894,"YLR220W/YER145C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YPR058W",8,1,80,1,"MF_ion transmembrane transporter activity"
"BP","GO:0034220","ion transmembrane transport",0.210526315789474,0.0422608695652174,0.000147251362040138,0.0265958972468804,0.0229514144093515,"YLR220W/YER145C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YPR058W",8,1,80,1,"BP_ion transmembrane transport"
"MF","GO:0008324","cation transmembrane transporter activity",0.184210526315789,0.032595433153216,0.000187064248158591,0.00935321240792956,0.00754820650464491,"YLR220W/YER145C/YGR191W/YEL031W/YBR069C/YPR156C/YPR058W",7,1,80,1,"MF_cation transmembrane transporter activity"
"MF","GO:0015318","inorganic molecular entity transmembrane transporter activity",0.184210526315789,0.0435767822903957,0.00108510794265064,0.0203457739246994,0.0164193965006346,"YLR220W/YER145C/YGR191W/YNR013C/YEL031W/YBR069C/YPR058W",7,1,80,1,"MF_inorganic molecular entity transmembrane transporter activity"
"MF","GO:0022804","active transmembrane transporter activity",0.157894736842105,0.0285863691824996,0.000643515195501928,0.0148589255115378,0.0119914135707148,"YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YPR156C",6,1,80,1,"MF_active transmembrane transporter activity"
"MF","GO:0048037","cofactor binding",0.157894736842105,0.0374760327697403,0.00261040540404521,0.0312034872480927,0.0251817616388116,"YGL148W/YMR015C/YDL022W/YMR296C/YDR062W/YGL055W",6,1,80,1,"MF_cofactor binding"
"BP","GO:0098655","cation transmembrane transport",0.157894736842105,0.0278260869565217,0.000557724748882389,0.0433926503347196,0.0374464787146466,"YLR220W/YER145C/YGR191W/YEL031W/YPR156C/YPR058W",6,1,80,1,"BP_cation transmembrane transport"
"BP","GO:0030001","metal ion transport",0.131578947368421,0.0144347826086957,0.000191682142319858,0.0265958972468804,0.0229514144093515,"YLR220W/YER145C/YGR191W/YNR013C/YEL031W",5,1,80,1,"BP_metal ion transport"
"BP","GO:0098656","anion transmembrane transport",0.131578947368421,0.0172173913043478,0.000437285598847635,0.0404489178934062,0.0349061311360831,"YER145C/YGR191W/YNR013C/YBR069C/YPR058W",5,1,80,1,"BP_anion transmembrane transport"
"BP","GO:0048284","organelle fusion",0.131578947368421,0.0186086956521739,0.000625479644464427,0.0433926503347196,0.0374464787146466,"YHR005C/YPL249C/YBL050W/YOR165W/YEL013W",5,1,80,1,"BP_organelle fusion"
"MF","GO:0015238","drug transmembrane transporter activity",0.105263157894737,0.0108070420080181,0.000693416523871766,0.0148589255115378,0.0119914135707148,"YGR191W/YBR069C/YPR156C/YPR058W",4,1,80,1,"MF_drug transmembrane transporter activity"
"MF","GO:0015399","primary active transmembrane transporter activity",0.105263157894737,0.0132473418162803,0.00149245793306362,0.0223868689959543,0.0180665960318228,"YLR188W/YPL058C/YLR378C/YEL031W",4,1,80,1,"MF_primary active transmembrane transporter activity"
"MF","GO:0015405","P-P-bond-hydrolysis-driven transmembrane transporter activity",0.105263157894737,0.0132473418162803,0.00149245793306362,0.0223868689959543,0.0180665960318228,"YLR188W/YPL058C/YLR378C/YEL031W",4,1,80,1,"MF_P-P-bond-hydrolysis-driven transmembrane transporter activity"
"MF","GO:0005342","organic acid transmembrane transporter activity",0.105263157894737,0.0144674917204114,0.00206801061155053,0.0282001447029618,0.022758011514671,"YGR191W/YPL058C/YBR069C/YPR058W",4,1,80,1,"MF_organic acid transmembrane transporter activity"
"MF","GO:0008514","organic anion transmembrane transporter activity",0.105263157894737,0.0163848701411888,0.00325787328778223,0.0325787328778223,0.0262916089891198,"YGR191W/YNR013C/YBR069C/YPR058W",4,1,80,1,"MF_organic anion transmembrane transporter activity"
"MF","GO:0008509","anion transmembrane transporter activity",0.105263157894737,0.0186508628202894,0.00518482403097186,0.0432068669247655,0.0348686996234949,"YGR191W/YNR013C/YBR069C/YPR058W",4,1,80,1,"MF_anion transmembrane transporter activity"
"MF","GO:0015179","L-amino acid transmembrane transporter activity",0.0789473684210526,0.00435767822903957,0.000557733219477044,0.0148589255115378,0.0119914135707148,"YGR191W/YBR069C/YPR058W",3,1,80,1,"MF_L-amino acid transmembrane transporter activity"
"MF","GO:0015171","amino acid transmembrane transporter activity",0.0789473684210526,0.00766951368310964,0.00294483802665536,0.0315518359998789,0.0254628851928847,"YGR191W/YBR069C/YPR058W",3,1,80,1,"MF_amino acid transmembrane transporter activity"
"MF","GO:0046873","metal ion transmembrane transporter activity",0.0789473684210526,0.0090639707164023,0.00473826272172363,0.0426661341973443,0.034432318825927,"YLR220W/YER145C/YEL031W",3,1,80,1,"MF_metal ion transmembrane transporter activity"
"MF","GO:0016409","palmitoyltransferase activity",0.0526315789473684,0.00209168554993899,0.00270430222816803,0.0312034872480927,0.0251817616388116,"YMR296C/YDR062W",2,1,80,1,"MF_palmitoyltransferase activity"
"MF","GO:1904680","peptide transmembrane transporter activity",0.0526315789473684,0.00278891406658532,0.00483549520903235,0.0426661341973443,0.034432318825927,"YLR188W/YLR378C",2,1,80,1,"MF_peptide transmembrane transporter activity"
"BP","GO:0055085","transmembrane transport",0.231884057971014,0.0793980280228334,7.11284588971874e-05,0.014314602353059,0.0122228641210167,"YBR039W/YLR220W/YER145C/YDR508C/YDL022W/YGR191W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YBR069C/YPR156C/YLR447C/YMR241W/YPR058W",16,1,80,3,"BP_transmembrane transport"
"MF","GO:0022857","transmembrane transporter activity",0.217391304347826,0.061373092926491,1.32207348232834e-05,0.00259126402536355,0.00179523662337217,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YBR069C/YPR156C/YLR447C/YMR241W/YPR058W",15,1,80,3,"MF_transmembrane transporter activity"
"MF","GO:0005215","transporter activity",0.217391304347826,0.0740291262135922,0.000118015433285783,0.00417617401581333,0.00289326771235188,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YBR069C/YPR156C/YLR447C/YMR241W/YPR058W",15,1,80,3,"MF_transporter activity"
