"common","orf_name","min_peps","min_prob","band"
"ATP2","YJR121W",1,80,"AFO01"
"BMH2","YDR099W",1,80,"AFO01"
"GCN1","YGL195W",1,80,"AFO01"
"MCM4","YPR019W",1,80,"AFO01"
"MDN1","YLR106C",1,80,"AFO01"
"PDC1","YLR044C",1,80,"AFO01"
"PMA1","YGL008C",1,80,"AFO01"
"TOM1","YDR457W",1,80,"AFO01"
"GCN1","YGL195W",5,80,"AFO01"
"PMA1","YGL008C",5,80,"AFO01"
"TOM1","YDR457W",5,80,"AFO01"
"ATP2","YJR121W",1,90,"AFO01"
"BMH2","YDR099W",1,90,"AFO01"
"GCN1","YGL195W",1,90,"AFO01"
"MCM4","YPR019W",1,90,"AFO01"
"MDN1","YLR106C",1,90,"AFO01"
"PMA1","YGL008C",1,90,"AFO01"
"TOM1","YDR457W",1,90,"AFO01"
"GCN1","YGL195W",5,90,"AFO01"
"PMA1","YGL008C",5,90,"AFO01"
"TOM1","YDR457W",5,90,"AFO01"
"ARO1","YDR127W",1,80,"AFO02"
"BBC1","YJL020C",1,80,"AFO02"
"CDC39","YCR093W",1,80,"AFO02"
"CHC1","YGL206C",1,80,"AFO02"
"COX15","YER141W",1,80,"AFO02"
"DOP1","YDR141C",1,80,"AFO02"
"ECM33","YBR078W",1,80,"AFO02"
"FAS1","YKL182W",1,80,"AFO02"
"FKS1","YLR342W",1,80,"AFO02"
"GCN1","YGL195W",1,80,"AFO02"
"GEA2","YEL022W",1,80,"AFO02"
"MON2","YNL297C",1,80,"AFO02"
"NUP188","YML103C",1,80,"AFO02"
"NUP192","YJL039C",1,80,"AFO02"
"PDR5","YOR153W",1,80,"AFO02"
"PMA1","YGL008C",1,80,"AFO02"
"REG1","YDR028C",1,80,"AFO02"
"RPS31","YLR167W",1,80,"AFO02"
"SEC7","YDR170C",1,80,"AFO02"
"SPF1","YEL031W",1,80,"AFO02"
"TCB3","YML072C",1,80,"AFO02"
"UFD4","YKL010C",1,80,"AFO02"
"URA2","YJL130C",1,80,"AFO02"
"BBC1","YJL020C",5,80,"AFO02"
"CHC1","YGL206C",5,80,"AFO02"
"GCN1","YGL195W",5,80,"AFO02"
"GEA2","YEL022W",5,80,"AFO02"
"NUP188","YML103C",5,80,"AFO02"
"PDR5","YOR153W",5,80,"AFO02"
"PMA1","YGL008C",5,80,"AFO02"
"SEC7","YDR170C",5,80,"AFO02"
"UFD4","YKL010C",5,80,"AFO02"
"URA2","YJL130C",5,80,"AFO02"
"ARO1","YDR127W",1,90,"AFO02"
"BBC1","YJL020C",1,90,"AFO02"
"CDC39","YCR093W",1,90,"AFO02"
"CHC1","YGL206C",1,90,"AFO02"
"DOP1","YDR141C",1,90,"AFO02"
"ECM33","YBR078W",1,90,"AFO02"
"FAS1","YKL182W",1,90,"AFO02"
"FKS1","YLR342W",1,90,"AFO02"
"GCN1","YGL195W",1,90,"AFO02"
"GEA2","YEL022W",1,90,"AFO02"
"MON2","YNL297C",1,90,"AFO02"
"NUP188","YML103C",1,90,"AFO02"
