"","gene","variable","value"
"1","ACS2","YBR",3
"2","ACT1","YBR",3
"3","ADE12","YBR",12
"4","ADE5,7","YBR",6
"5","ADH1","YBR",8
"6","ALA1","YBR",0
"7","ALG9","YBR",3
"8","ALR1","YBR",0
"9","APL6","YBR",6
"10","APM3","YBR",3
"11","ARO1","YBR",2
"12","ARO2","YBR",3
"13","ARP3","YBR",2
"14","ASP1","YBR",5
"15","ATP1","YBR",3
"16","ATP2","YBR",7
"17","ATP3","YBR",3
"18","BBC1","YBR",7
"19","BMH2","YBR",7
"20","CCC1","YBR",2
"21","CCT2","YBR",3
"22","CCT3","YBR",5
"23","CCT5","YBR",7
"24","CCT6","YBR",3
"25","CCT7","YBR",10
"26","CCT8","YBR",8
"27","CDC19","YBR",36
"28","CDC39","YBR",3
"29","CDC48","YBR",0
"30","CDC60","YBR",2
"31","CHC1","YBR",12
"32","CHO2","YBR",5
"33","COX15","YBR",4
"34","CPA2","YBR",2
"35","CRM1","YBR",0
"36","CSE1","YBR",0
"37","DBP6","YBR",3
"38","DED81","YBR",9
"39","DHH1","YBR",8
"40","DOP1","YBR",2
"41","ECM33","YBR",1
"42","EFT1","YBR",10
"43","ELO3","YBR",2
"44","EMP47","YBR",4
"45","EMW1","YBR",0
"46","ENA5","YBR",3
"47","ENO2","YBR",9
"48","ERG1","YBR",2
"49","ERG13","YBR",8
"50","ERG3","YBR",2
"51","ERG5","YBR",3
"52","ERG9","YBR",3
"53","FAS1","YBR",3
"54","FKS1","YBR",4
"55","FTR1","YBR",2
"56","GCD1","YBR",2
"57","GCD6","YBR",3
"58","GCN1","YBR",39
"59","GDE1","YBR",5
"60","GEA2","YBR",5
"61","GET3","YBR",5
"62","GFA1","YBR",5
"63","GGA2","YBR",2
"64","GND1","YBR",10
"65","GNP1","YBR",3
"66","GPA1","YBR",2
"67","GPD1","YBR",2
"68","GSF2","YBR",4
"69","GUA1","YBR",10
"70","GYP5","YBR",2
"71","HIP1","YBR",2
"72","HMG1","YBR",0
"73","HRK1","YBR",0
"74","HSC82","YBR",6
"75","HSP60","YBR",7
"76","HXT3","YBR",6
"77","IDH2","YBR",2
"78","ILS1","YBR",7
"79","ILV1","YBR",2
"80","ILV2","YBR",2
"81","IST2","YBR",2
"82","KAP104","YBR",0
"83","KAP120","YBR",0
"84","KAP122","YBR",0
"85","KAP123","YBR",14
"86","KAP95","YBR",4
"87","KAR2","YBR",4
"88","LCB1","YBR",2
"89","LCB2","YBR",3
"90","LOS1","YBR",0
"91","LSB5","YBR",2
"92","LSP1","YBR",3
"93","MCM4","YBR",1
"94","MCM5","YBR",0
"95","MCM6","YBR",4
"96","MDL1","YBR",2
"97","MDN1","YBR",3
"98","MET18","YBR",1
"99","MIR1","YBR",9
"100","MNN5","YBR",3
"101","MON2","YBR",4
"102","MSC7","YBR",5
"103","MSN5","YBR",4
"104","MTR10","YBR",0
"105","NDE1","YBR",2
"106","NDI1","YBR",2
"107","NEW1","YBR",4
"108","NIP1","YBR",2
"109","NMA1","YBR",3
"110","NMD5","YBR",3
"111","NPA3","YBR",5
"112","NSR1","YBR",14
"113","NUP120","YBR",0
"114","NUP133","YBR",6
"115","NUP188","YBR",6
"116","NUP192","YBR",3
"117","OLA1","YBR",2
"118","OLE1","YBR",2
"119","PDC1","YBR",5
"120","PDR12","YBR",3
"121","PDR5","YBR",11
"122","PET9","YBR",13
"123","PFK1","YBR",0
"124","PFK2","YBR",0
"125","PGK1","YBR",2
"126","PHO81","YBR",6
"127","PHO84","YBR",10
"128","PHO91","YBR",3
"129","PIL1","YBR",1
"130","PMA1","YBR",75
"131","PMA2","YBR",0
"132","PMT2","YBR",2
"133","PRO3","YBR",8
"134","PRS1","YBR",3
"135","PRS5","YBR",3
"136","PSA1","YBR",3
"137","PSE1","YBR",1
"138","QRI1","YBR",2
"139","REG1","YBR",5
"140","RNA1","YBR",4
"141","RNR1","YBR",0
"142","RNR2","YBR",3
"143","RPB2","YBR",2
"144","RPG1","YBR",2
"145","RPL4A","YBR",2
"146","RPN1","YBR",0
"147","RPP0","YBR",3
"148","RPS3","YBR",7
"149","RPS31","YBR",5
"150","RPT5","YBR",3
"151","RSN1","YBR",2
"152","RTN1","YBR",9
"153","RVB1","YBR",3
"154","SAC1","YBR",2
"155","SAC6","YBR",2
"156","SAM1","YBR",6
"157","SCS2","YBR",2
"158","SEC17","YBR",2
"159","SEC18","YBR",2
"160","SEC2","YBR",0
"161","SEC21","YBR",0
"162","SEC23","YBR",2
"163","SEC26","YBR",0
"164","SEC27","YBR",0
"165","SEC61","YBR",2
"166","SEC63","YBR",4
"167","SEC7","YBR",7
"168","SER1","YBR",2
"169","SEY1","YBR",5
"170","SNF1","YBR",1
"171","SNF4","YBR",2
"172","SPF1","YBR",7
"173","SRO9","YBR",3
"174","SSA1","YBR",27
"175","SSA2","YBR",6
"176","SSB2","YBR",13
"177","SSC1","YBR",6
"178","SSE1","YBR",2
"179","SSP120","YBR",3
"180","SSZ1","YBR",2
"181","SUB2","YBR",2
"182","SUI3","YBR",2
"183","SVF1","YBR",0
"184","SXM1","YBR",0
"185","TAT1","YBR",2
"186","TCB3","YBR",2
"187","TCP1","YBR",5
"188","TDH3","YBR",9
"189","TEF1","YBR",10
"190","TIF1","YBR",5
"191","TOM1","YBR",13
"192","TPO1","YBR",2
"193","TPO3","YBR",3
"194","TRM3","YBR",6
"195","TRP5","YBR",2
"196","TUB1","YBR",6
"197","TUB2","YBR",10
"198","UFD4","YBR",5
"199","UGP1","YBR",8
"200","URA2","YBR",16
"201","URA7","YBR",4
"202","VAC8","YBR",4
"203","VMA1","YBR",7
"204","VMA2","YBR",14
"205","VMA6","YBR",2
"206","VTC3","YBR",2
"207","VTC4","YBR",4
"208","WRS1","YBR",3
"209","YBR287W","YBR",2
"210","YDJ1","YBR",9
"211","YEF3","YBR",6
"212","YHB1","YBR",1
"213","YHM2","YBR",2
"214","YHR020W","YBR",4
"215","YKL100C","YBR",2
"216","YMC1","YBR",2
"217","YOL098C","YBR",0
"218","YPK1","YBR",2
"219","YRB1","YBR",2
"220","ACS2","CONTROL",0
"221","ACT1","CONTROL",1
"222","ADE12","CONTROL",5
"223","ADE5,7","CONTROL",0
"224","ADH1","CONTROL",7
"225","ALA1","CONTROL",2
"226","ALG9","CONTROL",2
