"ORF","baseMean","log2FoldChange","lfcSE","pvalue","padj","orf_name","contrast","DE","SGD","DESCRIPTION"
"Q0045",13254.5133869547,1.11401478084291,0.281029560498019,6.09837673076172e-06,2.67608628900578e-05,"Q0045","KAN_vs_WT","up-regulated","S000007260","Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"
"Q0060",879.229523152597,1.31794399661838,0.687494126777048,0.00222885592511503,0.00625128299636125,"Q0060","KAN_vs_WT","up-regulated","S000007263","Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene"
"Q0060",879.229523152597,1.11990888531292,0.742025201905068,0.00437918023447647,0.0104462211784284,"Q0060","CRISPY.ATG_vs_WT","up-regulated","S000007263","Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene"
"Q0085",5136.71105655425,1.45733719775302,0.787801292446091,0.00232869066240426,0.00650242876523753,"Q0085","KAN_vs_WT","up-regulated","S000007268","Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia"
"Q0105",2627.83333395645,1.2721236265546,0.611534681854242,0.00174818550582495,0.00502126555059448,"Q0105","KAN_vs_WT","up-regulated","S000007270","Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p"
"YAL018C",121.845791946183,1.00193653273014,0.25612998171855,7.33442916305073e-06,2.88222996774363e-05,"YAL018C","CRISPY.ATG_vs_WT","up-regulated","S000000016","Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"
"YAL020C",167.393653134452,1.07468850910689,0.209340919660196,2.35889152816021e-08,1.24526612919335e-07,"YAL020C","CRISPY.ATG_vs_WT","up-regulated","S000000018","Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"
"YAL025C",550.022838083594,-1.33709133169014,0.137624246129507,2.11976690738994e-23,3.13695716341851e-22,"YAL025C","KAN_vs_WT","down-regulated","S000000023","Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
"YAL040C",1145.87911526253,-1.13787657859189,0.109175885078348,1.59519429787506e-26,2.56489383416603e-25,"YAL040C","CRISPY.ATG_vs_WT","down-regulated","S000000038","G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
"YAL062W",2922.62400585667,1.1066128154685,0.0524601644544828,9.15088504527278e-100,2.06515866432424e-97,"YAL062W","CRISPY.ATG_vs_WT","up-regulated","S000000058","NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
"YAL062W",2922.62400585667,-1.11947722436316,0.0576877381166145,6.61078225646147e-85,4.4439928807e-83,"YAL062W","KAN_vs_WT","down-regulated","S000000058","NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
"YAL068C",453.898236806063,3.31061335530151,0.144713931536308,5.47355949881147e-117,7.35902605808291e-115,"YAL068C","KAN_vs_WT","up-regulated","S000002142","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"YAR020C",344.656470604022,1.01535150537254,0.138931626426094,2.50946290419936e-14,2.12849611968265e-13,"YAR020C","CRISPY.ATG_vs_WT","up-regulated","S000000073","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"
"YAR020C",344.656470604022,1.01426017552966,0.140108483512053,4.68943859206382e-14,4.35772977400754e-13,"YAR020C","KAN_vs_WT","up-regulated","S000000073","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"
"YAR035W",269.963610221181,1.13721949938686,0.312579691530632,1.85161470773695e-05,6.83032886058948e-05,"YAR035W","CRISPY.ATG_vs_WT","up-regulated","S000000080","Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"
"YAR064W",70.8680836246522,1.35580229907951,0.310842210949293,8.81575811045922e-07,4.33178658631351e-06,"YAR064W","KAN_vs_WT","up-regulated","S000000089","Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication"
"YAR066W",69.8882402536272,1.391713799156,0.254911894683737,3.54294697069409e-09,2.23209191503648e-08,"YAR066W","KAN_vs_WT","up-regulated","S000002144","Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; YAR066W has a paralog, YHR214W, that arose from a segmental duplication"
"YAR068W",76.0389340595977,1.33611134109479,0.277134377615262,1.04477382551646e-07,5.71100848048317e-07,"YAR068W","KAN_vs_WT","up-regulated","S000000091","Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication"
"YBL039C",2727.03413246314,-1.4636494922119,0.0573544472145495,9.48325711504452e-145,1.49811754274916e-142,"YBL039C","KAN_vs_WT","down-regulated","S000000135","Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication"
"YBL039C",2727.03413246314,-1.02524840730788,0.0553902566309529,1.606410617746e-77,1.66408339238311e-75,"YBL039C","CRISPY.ATG_vs_WT","down-regulated","S000000135","Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication"
"YBL048W",290.86732682323,1.07901157582856,0.335404317457349,0.000100483939864093,0.000366181093426301,"YBL048W","KAN_vs_WT","up-regulated","S000000144","Protein of unknown function; identified in a screen for mutants with increased levels of rDNA transcription; dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data"
"YBL048W",290.86732682323,1.70447825168157,0.325799092407735,9.49792394013652e-09,5.18284813279125e-08,"YBL048W","CRISPY.ATG_vs_WT","up-regulated","S000000144","Protein of unknown function; identified in a screen for mutants with increased levels of rDNA transcription; dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data"
"YBL072C",13399.3300325905,-1.11028636300929,0.051494086300679,2.89656052796395e-104,7.95798520704532e-102,"YBL072C","CRISPY.ATG_vs_WT","down-regulated","S000000168","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8A has a paralog, RPS8B, that arose from the whole genome duplication"
"YBL075C",1736.0384583248,1.33361927713427,0.0883012466417344,1.36966750226214e-52,5.69403220183845e-51,"YBL075C","CRISPY.ATG_vs_WT","up-regulated","S000000171","ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm; SSA3 has a paralog, SSA4, that arose from the whole genome duplication"
