"","target_orf","target","source_orf","source","interactor","min_peps","min_prob","min_crap_expt","pma_int"
"230","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,1,"Not A PMA1 Interactor"
"374","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,1,"Not A PMA1 Interactor"
"1477","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,1,"Not A PMA1 Interactor"
"1716","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,1,"Not A PMA1 Interactor"
"1725","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,1,"Not A PMA1 Interactor"
"1740","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,1,"Not A PMA1 Interactor"
"2223","YPR156C","TPO3","YER145C","FTR1","Predicted",1,80,1,"Not A PMA1 Interactor"
"1","YBR080C","SEC18","YBL050W","SEC17","Literature",1,80,3,"Not A PMA1 Interactor"
"39","YDL100C","GET3","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"185","YDR508C","GNP1","YDL100C","GET3","Predicted",1,80,3,"Not A PMA1 Interactor"
"186","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"233","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,3,"Not A PMA1 Interactor"
"350","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,3,"Not A PMA1 Interactor"
"354","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"384","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,3,"Not A PMA1 Interactor"
"544","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,3,"PMA1 Interactor"
"546","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,3,"Not A PMA1 Interactor"
"547","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"906","YJR109C","CPA2","YER086W","ILV1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1042","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,80,3,"Not A PMA1 Interactor"
"1183","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,80,3,"Not A PMA1 Interactor"
"1197","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,80,3,"Not A PMA1 Interactor"
"1262","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,80,3,"Not A PMA1 Interactor"
"1265","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1474","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,80,3,"Not A PMA1 Interactor"
"1481","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1487","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1656","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1658","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,80,3,"Not A PMA1 Interactor"
"1710","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,3,"Not A PMA1 Interactor"
"1733","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,3,"Not A PMA1 Interactor"
"1745","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,3,"Not A PMA1 Interactor"
"1762","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,80,3,"Not A PMA1 Interactor"
"1799","YOL061W","PRS5","YKL181W","PRS1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1901","YOR151C","RPB2","YJR072C","NPA3","Predicted",1,80,3,"Not A PMA1 Interactor"
"2192","YPR156C","TPO3","YER145C","FTR1","Predicted",1,80,3,"Not A PMA1 Interactor"
"2216","YPR156C","TPO3","YDR141C","DOP1","Predicted",1,80,3,"Not A PMA1 Interactor"
"12","YBR080C","SEC18","YBL050W","SEC17","Literature",1,80,5,"Not A PMA1 Interactor"
"38","YDL100C","GET3","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"43","YDL185W","VMA1","YBR025C","OLA1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"99","YDR099W","BMH2","YDR062W","LCB2","Predicted",1,80,5,"Not A PMA1 Interactor"
"114","YDR190C","RVB1","YCR093W","CDC39","Predicted",1,80,5,"Not A PMA1 Interactor"
"125","YDR190C","RVB1","YBR287W","YBR287W","Predicted",1,80,5,"Not A PMA1 Interactor"
"157","YDR508C","GNP1","YDL100C","GET3","Predicted",1,80,5,"Not A PMA1 Interactor"
"173","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"215","YER086W","ILV1","YDR190C","RVB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"231","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,5,"Not A PMA1 Interactor"
"362","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"378","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"381","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,5,"Not A PMA1 Interactor"
"406","YHR020W","YHR020W","YEL022W","GEA2","Co-complex",1,80,5,"Not A PMA1 Interactor"
"408","YHR020W","YHR020W","YGR175C","ERG1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"450","YHR108W","GGA2","YGL206C","CHC1","Literature",1,80,5,"Not A PMA1 Interactor"
"451","YHR108W","GGA2","YGL206C","CHC1","Predicted",1,80,5,"Not A PMA1 Interactor"
"508","YIL142W","CCT2","YDR212W","TCP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"516","YIL142W","CCT2","YDR188W","CCT6","Co-complex",1,80,5,"Not A PMA1 Interactor"
"530","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"564","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,5,"PMA1 Interactor"
"566","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"847","YJR064W","CCT5","YDR212W","TCP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"848","YJR064W","CCT5","YIL142W","CCT2","Predicted",1,80,5,"Not A PMA1 Interactor"
"909","YJR109C","CPA2","YER086W","ILV1","Predicted",1,80,5,"Not A PMA1 Interactor"
"944","YJR109C","CPA2","YDR190C","RVB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1040","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1198","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,80,5,"Not A PMA1 Interactor"
"1201","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,80,5,"Not A PMA1 Interactor"
"1241","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,80,5,"Not A PMA1 Interactor"
"1245","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1298","YLR106C","MDN1","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1341","YLR153C","ACS2","YBR025C","OLA1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1346","YLR153C","ACS2","YLR106C","MDN1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1351","YLR347C","KAP95","YJL026W","RNR2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1372","YLR347C","KAP95","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1475","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1497","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1498","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,80,5,"Not A PMA1 Interactor"
"1652","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1670","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1717","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1722","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,5,"Not A PMA1 Interactor"
"1730","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,5,"Not A PMA1 Interactor"
"1761","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"1783","YOL061W","PRS5","YKL181W","PRS1","Predicted",1,80,5,"Not A PMA1 Interactor"
