"set","DE","n"
"corrected_B1_WT_vs_B1_ATG","Down",1687
"corrected_B1_WT_vs_B1_ATG","Up",1389
"corrected_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Down",15
"corrected_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Up",96
"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down",283
"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Up",378
"corrected_B2_WT_vs_B2_ATG","Down",57
"corrected_B2_WT_vs_B2_ATG","Up",148
"corrected_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Down",16
"corrected_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up",101
"corrected_Co_WT_vs_Co_ATG","Down",286
"corrected_Co_WT_vs_Co_ATG","Up",405
"raw_B1_WT_vs_B1_ATG","Down",1699
"raw_B1_WT_vs_B1_ATG","Up",1666
"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down",1647
"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Up",1368
"raw_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Down",15
"raw_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Up",94
"raw_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down",281
"raw_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Up",376
"raw_B1_WT_vs_B1_ATG_and_raw_B2_WT_vs_B2_ATG","Down",28
"raw_B1_WT_vs_B1_ATG_and_raw_B2_WT_vs_B2_ATG","Up",38
"raw_B1_WT_vs_B1_ATG_and_raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Down",11
"raw_B1_WT_vs_B1_ATG_and_raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Up",37
"raw_B1_WT_vs_B1_ATG_and_raw_Co_WT_vs_Co_ATG","Up",3
"raw_B2_WT_vs_B2_ATG","Down",76
"raw_B2_WT_vs_B2_ATG","Up",118
"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Down",31
"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up",42
"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down",20
"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up",63
"raw_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Down",30
"raw_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up",48
"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up",2
"raw_Co_WT_vs_Co_ATG","Up",3
"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up",3
"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up",2
"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up",2
