"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE","GO"
"BP","GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway",0.5,0.0017307026652821,0.0034587090653766,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up","BP_amino acid catabolic process to alcohol via Ehrlich pathway"
"BP","GO:0000955","amino acid catabolic process via Ehrlich pathway",0.5,0.00190377293181032,0.0038042504283915,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up","BP_amino acid catabolic process via Ehrlich pathway"
"BP","GO:0006113","fermentation",0.5,0.00259605399792316,0.00518581671040896,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up","BP_fermentation"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.5,0.0142707970762269,0.0283403870918492,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up","MF_oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.5,0.0151409676296554,0.0300552819579791,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up","MF_oxidoreductase activity, acting on CH-OH group of donors"
"BP","GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway",0.5,0.0017307026652821,0.0034587090653766,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_amino acid catabolic process to alcohol via Ehrlich pathway"
"BP","GO:0000955","amino acid catabolic process via Ehrlich pathway",0.5,0.00190377293181032,0.0038042504283915,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_amino acid catabolic process via Ehrlich pathway"
"BP","GO:0006113","fermentation",0.5,0.00259605399792316,0.00518581671040896,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_fermentation"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.5,0.0142707970762269,0.0283403870918492,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.5,0.0151409676296554,0.0300552819579791,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_oxidoreductase activity, acting on CH-OH group of donors"
"BP","GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway",0.5,0.0017307026652821,0.0034587090653766,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","BP_amino acid catabolic process to alcohol via Ehrlich pathway"
"BP","GO:0000955","amino acid catabolic process via Ehrlich pathway",0.5,0.00190377293181032,0.0038042504283915,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","BP_amino acid catabolic process via Ehrlich pathway"
"BP","GO:0006113","fermentation",0.5,0.00259605399792316,0.00518581671040896,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","BP_fermentation"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.5,0.0142707970762269,0.0283403870918492,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.5,0.0151409676296554,0.0300552819579791,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_oxidoreductase activity, acting on CH-OH group of donors"
"BP","GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway",0.5,0.0017307026652821,0.0034587090653766,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up","BP_amino acid catabolic process to alcohol via Ehrlich pathway"
"BP","GO:0000955","amino acid catabolic process via Ehrlich pathway",0.5,0.00190377293181032,0.0038042504283915,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up","BP_amino acid catabolic process via Ehrlich pathway"
"BP","GO:0006113","fermentation",0.5,0.00259605399792316,0.00518581671040896,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up","BP_fermentation"
