"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE"
"sce00620","Pyruvate metabolism",1,0.0246020260492041,0.024602026049204,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",1,0.0265315967197299,0.0265315967197298,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00350","Tyrosine metabolism",1,0.00627110467920888,0.00627110467920877,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00071","Fatty acid degradation",1,0.00964785335262904,0.00964785335262908,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00620","Pyruvate metabolism",1,0.0246020260492041,0.024602026049204,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",1,0.0265315967197299,0.0265315967197298,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
"sce00350","Tyrosine metabolism",1,0.00627110467920888,0.00627110467920877,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
"sce00071","Fatty acid degradation",1,0.00964785335262904,0.00964785335262908,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
"sce00620","Pyruvate metabolism",1,0.0246020260492041,0.024602026049204,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",1,0.0265315967197299,0.0265315967197298,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce00350","Tyrosine metabolism",1,0.00627110467920888,0.00627110467920877,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce00071","Fatty acid degradation",1,0.00964785335262904,0.00964785335262908,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce00620","Pyruvate metabolism",1,0.0246020260492041,0.024602026049204,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",1,0.0265315967197299,0.0265315967197298,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up"
"sce00350","Tyrosine metabolism",1,0.00627110467920888,0.00627110467920877,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up"
"sce00071","Fatty acid degradation",1,0.00964785335262904,0.00964785335262908,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up"
"sce00620","Pyruvate metabolism",1,0.0246020260492041,0.024602026049204,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",1,0.0265315967197299,0.0265315967197298,0.0331644958996623,0.00698199913677101,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up"
"sce00350","Tyrosine metabolism",1,0.00627110467920888,0.00627110467920877,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up"
"sce00071","Fatty acid degradation",1,0.00964785335262904,0.00964785335262908,0.0241196333815727,0.0050778175540153,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up"
"sce01110","Biosynthesis of secondary metabolites",0.5,0.168837433671008,0.00429108145449486,0.0457715355146118,0.0361354227746935,"YBR117C/YGL256W/YGR087C/YGR254W/YHR137W/YJL052W/YMR169C",7,"raw_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",0.357142857142857,0.0265315967197299,1.82671903531963e-05,0.000584550091302282,0.000461486914186012,"YGL256W/YGR087C/YGR254W/YJL052W/YMR169C",5,"raw_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00350","Tyrosine metabolism",0.142857142857143,0.00627110467920888,0.00316737163462995,0.0457715355146118,0.0361354227746935,"YGL256W/YHR137W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce03010","Ribosome",0.454545454545455,0.0829715388326097,9.29254474296249e-09,3.43824155489612e-07,3.03230407401934e-07,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",0.212121212121212,0.0265315967197299,1.5719834666641e-05,0.000290816941332858,0.000256481512982037,"YBR196C/YGL256W/YGR087C/YGR192C/YGR254W/YJL052W/YMR169C",7,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
"sce01110","Biosynthesis of secondary metabolites",0.5,0.168837433671008,0.00429108145449486,0.0457715355146118,0.0361354227746935,"YBR117C/YGL256W/YGR087C/YGR254W/YHR137W/YJL052W/YMR169C",7,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",0.357142857142857,0.0265315967197299,1.82671903531963e-05,0.000584550091302282,0.000461486914186012,"YGL256W/YGR087C/YGR254W/YJL052W/YMR169C",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce00350","Tyrosine metabolism",0.142857142857143,0.00627110467920888,0.00316737163462995,0.0457715355146118,0.0361354227746935,"YGL256W/YHR137W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up"
"sce04011","MAPK signaling pathway - yeast",0.4,0.0549927641099855,0.00140856332097734,0.0169027598517281,0.0148269823260773,"YBR083W/YGL089C/YKL178C/YPR119W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Down"
"sce03010","Ribosome",0.5,0.0829715388326097,1.73220759559022e-17,7.27527190147893e-16,6.38181745743766e-16,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up"
