"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE"
"sce01110","Biosynthesis of secondary metabolites",0.45045045045045,0.168837433671008,7.49240318446349e-13,4.87006206990127e-11,3.391298283494e-11,"YJL153C/YOL058W/YJL088W/YKR097W/YER069W/YNL117W/YER052C/YGR087C/YMR108W/YEL046C/YER065C/YBR249C/YMR120C/YNL104C/YLR142W/YGL009C/YOR108W/YER073W/YLR355C/YOL140W/YBL068W/YHR208W/YDR232W/YLR174W/YFL030W/YJL200C/YMR169C/YHR018C/YBR196C/YLR058C/YLR153C/YER091C/YIL125W/YLR432W/YLR377C/YLL041C/YOR136W/YJL137C/YGR088W/YPL262W/YJR016C/YNL241C/YDL066W/YMR062C/YMR118C/YHR033W/YGL012W/YNL277W/YOR095C/YKL181W",50,"batch2_wt_vs_del","Up"
"sce01230","Biosynthesis of amino acids",0.252252252252252,0.0602990834539315,8.973617241985e-12,2.91642560364512e-10,2.0308712705545e-10,"YOL058W/YJL088W/YER069W/YER052C/YMR108W/YEL046C/YBR249C/YNL104C/YGL009C/YOR108W/YLR355C/YOL140W/YBL068W/YHR208W/YLR174W/YJL200C/YHR018C/YLR058C/YER091C/YOR136W/YJR016C/YDL066W/YGL062W/YMR062C/YHR033W/YNL277W/YOR095C/YKL181W",28,"batch2_wt_vs_del","Up"
"sce01200","Carbon metabolism",0.198198198198198,0.0540279787747226,3.15504870504289e-08,5.1269541456947e-07,3.57018669254854e-07,"YKR097W/YNL117W/YER065C/YKL029C/YBL068W/YLR174W/YFL030W/YBR196C/YLR058C/YLR153C/YIL125W/YLR377C/YLL041C/YOR136W/YGR088W/YPL262W/YNL241C/YDL066W/YGL062W/YMR118C/YOR095C/YKL181W",22,"batch2_wt_vs_del","Up"
"sce01210","2-Oxocarboxylic acid metabolism",0.135135135135135,0.0168837433671008,4.41681593556976e-11,9.56976786040114e-10,6.66396790278946e-10,"YER069W/YER052C/YMR108W/YNL104C/YGL009C/YOR108W/YLR355C/YOL140W/YHR208W/YLR174W/YJL200C/YOR136W/YJR016C/YDL066W/YMR062C",15,"batch2_wt_vs_del","Up"
"sce00620","Pyruvate metabolism",0.108108108108108,0.0246020260492041,8.3416935234711e-06,9.03683465042702e-05,6.29285651770627e-05,"YKR097W/YNL117W/YNL104C/YOR108W/YER073W/YKL029C/YBL015W/YEL071W/YMR169C/YLR153C/YPL262W/YGL062W",12,"batch2_wt_vs_del","Up"
"sce00020","Citrate cycle (TCA cycle)",0.0810810810810811,0.014954172696575,1.95683262054759e-05,0.000158992650419492,0.000110715529846771,"YKR097W/YLR174W/YIL125W/YLL041C/YOR136W/YPL262W/YDL066W/YGL062W/YMR118C",9,"batch2_wt_vs_del","Up"
"sce00230","Purine metabolism",0.0720720720720721,0.0270139893873613,0.00863051952275412,0.0431525976137706,0.0300495821440022,"YNL141W/YMR120C/YBL068W/YIL066C/YLR432W/YMR217W/YGL248W/YKL181W",8,"batch2_wt_vs_del","Up"
"sce00770","Pantothenate and CoA biosynthesis",0.0630630630630631,0.0110950313555234,0.000125573615729321,0.000906920558045093,0.000631539821796583,"YMR108W/YER073W/YLR355C/YHR208W/YMR169C/YJR016C/YMR020W",7,"batch2_wt_vs_del","Up"
"sce00220","Arginine biosynthesis",0.0630630630630631,0.00820067534973468,1.30372956701272e-05,0.000121060602651181,8.43013103481908e-05,"YOL058W/YJL088W/YER069W/YOR375C/YOL140W/YHR018C/YMR062C",7,"batch2_wt_vs_del","Up"
"sce00290","Valine, leucine and isoleucine biosynthesis",0.0630630630630631,0.00578871201157742,6.64699212740577e-07,8.6410897656275e-06,6.0172770837568e-06,"YMR108W/YNL104C/YGL009C/YOR108W/YLR355C/YHR208W/YJR016C",7,"batch2_wt_vs_del","Up"
"sce00630","Glyoxylate and dicarboxylate metabolism",0.0540540540540541,0.0139893873613121,0.0035550005166024,0.0210068212344687,0.0146282317908041,"YNL117W/YER065C/YFL030W/YLR058C/YLR153C/YGR088W",6,"batch2_wt_vs_del","Up"
"sce00030","Pentose phosphate pathway",0.0540540540540541,0.0135069946936807,0.00294595451298581,0.0191487043344078,0.0133343204271989,"YBL068W/YBR196C/YLR377C/YNL241C/YOR095C/YKL181W",6,"batch2_wt_vs_del","Up"
"sce00330","Arginine and proline metabolism",0.045045045045045,0.0110950313555234,0.00623096063860172,0.033751036792426,0.02350274626841,"YLR142W/YER073W/YMR169C/YHR033W/YMR020W",5,"batch2_wt_vs_del","Up"
"sce03010","Ribosome",0.306818181818182,0.0829715388326097,3.78685293165316e-20,2.76440264010681e-18,2.63086624725378e-18,"YJR113C/YLR388W/YIL052C/YDL061C/YFR031C-A/YIL018W/YBR181C/YPL090C/YDL083C/YMR143W/YBR251W/YNL178W/YDL130W/YBR048W/YDR025W/YDR447C/YJL136C/YGR148C/YMR188C/YJR094W-A/YPR043W/YPL173W/YGL068W/YDR382W/YGL135W/YPL220W/YBL087C/YER117W/YGR118W/YPR132W/YMR194W/YDR041W/YJL189W/YGR027C/YOL039W/YDL075W/YDR500C/YML024W/YMR230W/YHL001W/YDR115W/YGL030W/YOR369C/YNL067W/YCR003W/YHR147C/YER074W/YIL069C/YKR057W/YDL133C-A/YDL184C/YOR167C/YFR032C-A/YPR166C",54,"batch2_wt_vs_del","Down"
