"orf_name","DE","n"
"YAL005C","Up",2
"YAL012W","Down",2
"YAL013W","Up",2
"YAL020C","Up",2
"YAR015W","Down",2
"YAR035W","Up",2
"YBR240C","Up",2
"YCL011C","Up",2
"YDL021W","Up",2
"YDL050C","Down",2
"YDL051W","Down",2
"YDR277C","Down",2
"YDR399W","Down",2
"YER064C","Down",2
"YER066C-A","Up",2
"YER067W","Up",2
"YER152C","Up",2
"YER152W-A","Up",2
"YFL013W-A","Up",2
"YFR018C","Up",2
"YGL126W","Up",2
"YGL162W","Down",2
"YGL255W","Up",2
"YGR035C","Down",2
"YGR052W","Down",2
"YGR234W","Down",2
"YGR254W","Up",2
"YHL046C","Down",2
"YIL040W","Down",2
"YIL101C","Down",2
"YIL154C","Up",2
"YJL052C-A","Up",2
"YJL052W","Up",2
"YJL115W","Up",2
"YJR115W","Down",2
"YJR155W","Up",2
"YKL050C","Up",2
"YKL202W","Up",2
"YKR093W","Down",2
"YLR040C","Down",2
"YLR041W","Down",2
"YLR058C","Down",2
"YLR134W","Down",2
"YLR168C","Down",2
"YLR180W","Down",2
"YML027W","Down",2
"YML058W","Down",2
"YML090W","Down",2
"YML091C","Down",2
"YMR020W","Up",2
"YMR051C","Down",2
"YMR120C","Down",2
"YMR145C","Down",2
"YMR189W","Down",2
"YMR290C","Down",2
"YMR300C","Down",2
"YMR316C-A","Up",2
"YMR316W","Up",2
"YNL148C","Up",2
"YNL151C","Up",2
"YNL183C","Down",2
"YNR057C","Up",2
"YOL016C","Up",2
"YOL055C","Up",2
"YOL110W","Up",2
"YOR023C","Down",2
"YOR053W","Up",2
"YOR161C","Down",2
"YPL061W","Down",2
"YPR064W","Up",2
