"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"sce03010","sce03010","Ribosome",172,-0.596616885298201,-9.85514343974981,2.80509193651944e-61,3.22585572699735e-59,2.33265539984248e-59,1459,"tags=89%, list=25%, signal=69%","YJL189W/YCR003W/YLR029C/YCR046C/YOL039W/YPL220W/YGL135W/YMR286W/YGR085C/YPR166C/YJR094W-A/YPR043W/YBR048W/YDR025W/YJL191W/YGR214W/YBR251W/YGL103W/YBL027W/YBR084C-A/YHR147C/YIL069C/YER074W/YDL130W/YMR230W/YGR148C/YLR333C/YGR118W/YPR132W/YLR287C-A/YOR182C/YKL156W/YNL301C/YOL120C/YHL015W/YOR063W/YIL052C/YDR237W/YJL190C/YDL075W/YDR500C/YIL148W/YKR094C/YKR094C/YIL148W/YIL069C/YER074W/YLR325C/YDR382W/YOR369C/YHR141C/YNL162W/YNL069C/YNL185C/YNL002C/YNR036C/YDR012W/YNL284C/YNL096C/YLR048W/YPL183W-A/YBR191W/YHR203C/YJR145C/YLR340W/YPL143W/YLR344W/YBL072C/YER102W/YDL136W/YDL191W/YPL249C-A/YLR406C/YLR185W/YDR471W/YOL120C/YNL301C/YER056C-A/YBR084C-A/YBL027W/YKL180W/YBL087C/YER117W/YML026C/YDR450W/YLR061W/YJL096W/YFR031C-A/YIL018W/YKL006W/YLR167W/YJR145C/YHR203C/YGR220C/YOL127W/YLR264W/YLL045C/YPL131W/YLR448W/YOR150W/YDR418W/YEL054C/YJL177W/YDL061C/YDR064W/YPL081W/YOL121C/YMR142C/YDL202W/YGL189C/YPL173W/YNL178W/YML073C/YDR450W/YML026C/YDL082W/YJL136C/YML063W/YDL083C/YMR143W/YER131W/YOR182C/YLR287C-A/YGL031C/YLR075W/YBR189W/YPL220W/YGL135W/YER102W/YBL072C/YBR181C/YPL090C/YIL018W/YFR031C-A/YPR043W/YJR094W-A/YBL092W/YLR009W/YOR293W/YCR031C/YHL033C/YOR234C/YPR132W/YGR118W/YDR447C/YDR418W/YEL054C/YHL004W/YPR102C/YNL067W/YGR027C/YMR194W/YLR388W/YHR010W/YGL123W/YFL034C-A/YER117W/YBL087C/YNL302C/YBR146W/YDL136W/YDL191W/YGR034W/YIL133C/YHR021C/YNL162W/YHR141C/YDL083C/YMR143W/YGL068W/YGL147C/YKR057W/YGL030W/YDR115W/YLR441C/YGL076C/YBR048W/YDR025W/YPL079W/YJR123W/YDR116C/YML024W/YFR032C-A/YPL090C/YBR181C/YLR367W/YOR096W/YPL198W"
"sce00190","sce00190","Oxidative phosphorylation",68,-0.394110863023786,-4.04821175072067,1.52409154942964e-11,8.76352640922045e-10,6.33701223183905e-10,2722,"tags=90%, list=47%, signal=48%","YEL027W/YJL045W/YDL185W/YGR020C/YBR127C/YLR447C/YOL077W-A/YGL008C/YKL148C/YER141W/YEL051W/YBR039W/YLL041C/YJR121W/YPR191W/YKL192C/YLL009C/YDL085W/YPL234C/YKL080W/YDR322C-A/YDR178W/YBL099W/YPL036W/YEL039C/YLR164W/YHR039C-A/YDR298C/YLR295C/YPL172C/YBL045C/YCL005W-A/YOR020W-A/YKL016C/YDL004W/YPL078C/YML120C/YML081C-A/YDR529C/YMR256C/YKL141W/YOR065W/YDL067C/YPL271W/YMR267W/YGR183C/YHR001W-A/YPL132W/YEL024W/YMR145C/YGL191W/YDR377W/YHR051W/YJL166W/YJR048W/YNL052W/YLR038C/YMR118C/YLR395C/YGL187C/YPR020W"
"sce03008","sce03008","Ribosome biogenesis in eukaryotes",74,-0.306901422059621,-3.33390392619503,3.52185334440578e-08,1.35004378202221e-06,9.7623303230897e-07,1497,"tags=65%, list=26%, signal=49%","YDR339C/YPL217C/YOR056C/YCL031C/YOR185C/YLR397C/YPL126W/YDR398W/YLR175W/YGR030C/YML093W/YHR170W/YOR310C/YMR093W/YJR002W/YJL069C/YHR072W-A/YLR293C/YPL043W/YGL099W/YDL014W/YNL075W/YLR129W/YLR197W/YLL034C/YPR016C/YER006W/YDR449C/YHR196W/YOL010W/YDR324C/YGR128C/YNR053C/YGR090W/YPL093W/YLR409C/YBL018C/YJL109C/YCR057C/YHR148W/YMR239C/YEL026W/YLR222C/YHR089C/YNL132W/YDL208W/YHR062C/YLR186W"
"sce04120","sce04120","Ubiquitin mediated proteolysis",51,0.431660699435783,2.73383183235168,5.46984395271535e-07,1.57258013640566e-05,1.13715176911714e-05,2100,"tags=72%, list=37%, signal=46%","YBR082C/YFL009W/YLR102C/YGL141W/YHR166C/YER100W/YPR180W/YPL046C/YGL058W/YDR328C/YKL022C/YKL010C/YLL039C/YIL046W/YOR249C/YDR054C/YDR409W/YOL013C/YGR003W/YOL133W/YDR030C/YDR260C/YDR390C/YGL003C/YNL172W/YER125W/YKL210W/YLR127C/YDR118W/YDL190C/YDR092W/YOR339C/YBL084C/YPR066W/YDR457W/YLL036C/YJR090C/YDR177W"
"sce04144","sce04144","Endocytosis",79,0.354290056853492,2.5469778270155,1.80614458850933e-06,4.15413255357147e-05,3.00390363141552e-05,2037,"tags=65%, list=35%, signal=42%","YLR206W/YDR388W/YCL008C/YNR006W/YHR012W/YOR089C/YDR486C/YER122C/YPL002C/YPR173C/YLR025W/YLR181C/YGL095C/YKL002W/YDL161W/YOR069W/YJR125C/YJR058C/YJL154C/YKR014C/YGL181W/YDR323C/YJL049W/YJL036W/YBL047C/YDR208W/YMR077C/YOR094W/YJR065C/YER103W/YPL065W/YLR370C/YOR181W/YFL005W/YER125W/YDR069C/YOR275C/YGL210W/YKL079W/YKL041W/YIL034C/YAL005C/YKL013C/YKR035W-A/YOR357C/YLR417W/YDL226C/YDR170C/YJR102C/YGL206C/YIL044C"
"sce03020","sce03020","RNA polymerase",31,-0.423229048416326,-3.02072696223023,2.16937046942139e-06,4.157960066391e-05,3.00667135235596e-05,2080,"tags=84%, list=36%, signal=54%","YHR143W-A/YDL150W/YNL113W/YKR025W/YOR207C/YPR190C/YOR224C/YOR210W/YOL005C/YNR003C/YDR404C/YNL151C/YPR187W/YKL144C/YJL011C/YPR010C/YOR116C/YOR341W/YPR110C/YDR156W/YBR154C/YJL148W/YNL248C/YOR340C/YDR045C/YJR063W"
"sce04138","sce04138","Autophagy - yeast",90,0.317674586489535,2.36733535585956,1.36271006937055e-05,0.000223873797110876,0.000161885857865073,3093,"tags=81%, list=54%, signal=38%","YMR159C/YPR185W/YLR211C/YGL212W/YDR080W/YNL006W/YCR068W/YGL095C/YDR022C/YDR173C/YBR128C/YPL045W/YNL098C/YNR007C/YMR197C/YPL120W/YLR423C/YFR021W/YPL166W/YFL033C/YER129W/YBR131W/YLR240W/YJR065C/YLR370C/YLR431C/YPL100W/YDR207C/YNL242W/YPL031C/YAL002W/YNL223W/YDR062W/YDR477W/YPR040W/YPR049C/YDR495C/YJL164C/YMR037C/YHR071W/YBR217W/YJL178C/YHR205W/YJR110W/YGL180W/YHR186C/YPL154C/YKL013C/YLR148W/YOR106W/YDR017C/YDL077C/YKL146W/YGL124C/YJR066W/YHR030C/YMR028W/YLR396C/YKL203C/YCL038C/YOR003W/YMR231W/YMR296C/YKL048C/YDL149W/YBL050W/YKL196C/YEL060C/YDL188C/YPL203W/YNR035C/YHR171W/YKL062W"
"sce00970","sce00970","Aminoacyl-tRNA biosynthesis",38,-0.324224300328378,-2.56749468743795,4.36966450065865e-05,0.000628139271969682,0.00045421512572636,3333,"tags=92%, list=58%, signal=39%","YPR033C/YCR024C/YHR019C/YDR341C/YLL018C/YBL013W/YER087W/YBL080C/YLR060W/YGL245W/YGR185C/YPL040C/YLR382C/YHR091C/YKL194C/YNL073W/YDR268W/YDR037W/YPL160W/YBL076C/YFL022C/YGR264C/YNL247W/YIL078W/YPL104W/YGR094W/YPL097W/YOR168W/YOL097C/YHR011W/YGR171C/YDR023W/YOL033W/YHR020W/YMR293C"
"sce03050","sce03050","Proteasome",36,0.420005804443436,2.38751791345703,6.79552547031649e-05,0.00086831714342933,0.000627890657491232,1702,"tags=67%, list=30%, signal=47%","YOR259C/YDL007W/YIL075C/YKL145W/YDL147W/YOR117W/YOL038W/YER094C/YLR421C/YDL097C/YFR004W/YHR200W/YDR394W/YGL011C/YPR103W/YGL048C/YOR362C/YOR261C/YMR314W/YHR027C/YPR108W/YGR253C/YFL007W/YDR427W"
"sce01200","sce01200","Carbon metabolism",110,-0.17401698952529,-2.33204362424291,8.6699749812899e-05,0.000997047122848338,0.00072097686686516,3105,"tags=77%, list=54%, signal=36%","YGR244C/YJL068C/YDR516C/YKL029C/YKL106W/YGR205W/YDR248C/YIL125W/YLR446W/YDL021W/YJL045W/YER086W/YNR034W/YHR163W/YKL181W/YFR053C/YOL126C/YPL262W/YKL148C/YNR001C/YFL053W/YGR043C/YHL011C/YCL064C/YLL041C/YLR304C/YJL121C/YKL085W/YOL056W/YMR205C/YDL078C/YDR111C/YGR240C/YPL028W/YGR248W/YDR178W/YBR221C/YOR142W/YDR148C/YGL253W/YER178W/YGR208W/YPR074C/YLR164W/YLR303W/YER065C/YBR196C/YGR192C/YGR088W/YAL038W/YNL009W/YPR006C/YIL074C/YLR354C/YPR001W/YHR174W/YGR256W/YAL054C/YKR097W/YKR009C/YLR174W/YJL052W/YBL068W/YKL152C/YBR117C/YKL141W/YLR153C/YER081W/YDR050C/YDR036C/YCR012W/YOL061W/YKL060C/YGR254W/YLR377C/YNL117W/YDR256C/YFL030W/YMR118C/YJR009C/YHR183W/YMR323W/YGL205W/YOR095C/YOR388C"
