"Gene","AFO01","AFO02","AFO03","AFO04","AFO05","AFO06","AFO07","AFO08","AFO09","AFO10","AFO11","AFO12","AFO13"
"PMA1",1,1,1,1,1,1,1,1,1,1,1,1,1
"PMA2",0,0,0,0,0,0,0,0,1,0,0,0,1
"CDC19",0,0,0,1,1,1,0,0,0,1,0,0,1
"SSA2",0,0,0,1,0,0,0,0,0,1,0,0,0
"SSA1",0,0,0,1,0,0,0,0,0,1,0,0,0
"GCN1",1,1,0,0,0,0,0,0,0,0,0,0,0
"URA2",0,1,0,0,0,0,0,0,0,0,0,0,0
"NSR1",0,0,0,0,1,1,0,0,0,1,1,1,0
"MDN1",1,0,0,0,0,0,0,0,0,0,0,0,0
"KAP123",0,0,1,0,0,0,0,0,0,0,0,0,1
"ADH1",0,0,0,0,0,1,0,0,0,0,1,1,0
"EFT1",0,0,0,1,0,0,0,0,0,0,0,0,1
"PET9",0,0,0,0,0,1,0,0,0,0,0,1,0
"SSB2",0,0,0,1,0,0,0,0,0,1,0,0,0
"PDR5",0,1,1,0,0,0,0,0,1,0,0,0,0
"BBC1",0,1,0,0,0,0,0,1,1,0,0,0,0
"TOM1",1,0,0,0,0,0,0,0,0,0,0,0,0
"YEF3",0,0,1,0,0,0,0,0,1,0,0,0,1
"SEC7",0,1,0,0,0,0,0,1,0,0,0,0,0
"TEF1",0,0,0,0,1,0,0,0,0,0,1,0,0
"RTN1",0,0,0,0,1,1,0,0,0,0,1,1,0
"ADE12",0,0,0,0,1,1,0,0,0,0,1,0,0
"VMA2",0,0,0,0,1,0,0,0,0,0,0,0,0
"CHC1",0,1,0,0,0,0,0,0,0,0,0,0,0
"GND1",0,0,0,0,1,0,0,0,0,0,1,0,0
"VMA1",0,0,0,1,0,0,0,0,0,0,0,0,0
"ALR1",0,0,0,0,0,0,0,0,0,1,0,0,1
"PFK1",0,0,0,0,0,0,0,0,0,0,0,0,1
"TDH3",0,0,0,0,0,1,0,0,0,0,0,1,0
"RNR1",0,0,0,0,0,0,0,0,0,0,0,0,1
"ILS1",0,0,1,0,0,0,0,0,0,0,0,0,1
"RPS3",0,0,0,0,0,1,0,0,0,0,0,1,0
"HMG1",0,0,0,0,0,0,0,0,0,0,0,1,1
"HSC82",0,0,0,1,0,0,0,0,0,0,0,0,0
"YDJ1",0,0,0,0,1,0,0,0,0,0,1,0,0
"DED81",0,0,0,1,1,0,0,0,0,1,0,0,0
"UGP1",0,0,0,0,1,0,0,0,0,1,0,0,0
"KAR2",0,0,0,1,0,0,0,0,0,1,0,0,0
"EMW1",0,0,0,0,0,0,0,0,0,0,0,0,1
"CDC48",0,0,0,0,0,0,0,0,0,0,0,0,1
"ARO1",0,1,0,0,0,0,0,0,0,0,1,0,0
"HSP60",0,0,0,1,1,0,0,0,0,1,0,0,0
"ENA5",0,0,1,0,0,0,0,0,0,0,0,0,1
"GCD6",0,0,0,1,0,0,0,0,0,0,0,0,1
"MSN5",0,0,1,0,0,0,0,0,0,0,0,0,0
"SNF1",0,0,0,1,0,0,0,0,0,1,0,0,0
"NIP1",0,0,0,1,0,0,0,0,0,0,0,0,1
"NUP133",0,0,1,0,0,0,0,0,0,0,0,0,0
"GUA1",0,0,0,0,1,0,0,0,0,1,0,0,0
"RPG1",0,0,1,0,0,0,0,0,0,0,0,0,0
"SPF1",0,1,1,0,0,0,0,0,0,0,0,0,0
"SEC26",0,0,0,0,0,0,0,0,0,0,0,0,1
"IST2",0,0,0,1,0,0,0,0,0,0,0,0,1
"MCM4",1,0,0,0,0,0,0,0,0,0,0,0,1
"FKS1",0,1,0,0,0,0,0,0,0,0,0,0,0
"GDE1",0,0,1,1,0,0,0,0,0,0,0,0,0
"NDE1",0,0,0,0,1,0,0,0,0,1,0,0,0
"CDC60",0,0,1,0,0,0,0,0,0,0,0,0,0
"GEA2",0,1,0,0,0,0,0,0,0,0,0,0,0
