"Gene","peptide_cnts_control","peptide_cnts_test","log10p","fdr","lfc","contrast","raw_lfc","norm_lfc","test_overlap","DESCRIPTION"
"GCN1",0,163,-15.364179253463,6.07431165858605e-13,10.0960131166008,"YBR_vs_Control",Inf,Inf,1,"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"MON2",0,58,-7.90536773502437,5.82354364263853e-06,8.60765033011914,"YBR_vs_Control",Inf,Inf,1,"Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"
"NUP188",0,49,-6.87455354011384,3.12587447191087e-05,8.36505831674876,"YBR_vs_Control",Inf,Inf,1,"Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188"
"NUP192",0,46,-6.60108553562269,4.40048760083021e-05,8.27419576795977,"YBR_vs_Control",Inf,Inf,0,"Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205"
"NUP133",0,42,-6.03307887223113,0.000118359948317526,8.14339498362408,"YBR_vs_Control",Inf,Inf,0,"Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133"
"SPF1",0,42,-6.03307887223113,0.000118359948317526,8.14339498362408,"YBR_vs_Control",Inf,Inf,0,"P-type ATPase, ion transporter of the ER membrane; required to maintain normal lipid composition of intracellular compartments and proper targeting of mitochondrial outer membrane tail-anchored proteins; involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1"
"DOP1",0,39,-5.73784605017852,0.000183527960481102,8.03687221310622,"YBR_vs_Control",Inf,Inf,0,"Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies"
"KAP95",0,39,-5.73784605017852,0.000183527960481102,8.03687221310622,"YBR_vs_Control",Inf,Inf,0,"Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p"
"LAA1",0,33,-5.962838455685,0.000127542998381405,7.79686255355997,"YBR_vs_Control",Inf,Inf,0,"AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene"
"GEA2",0,31,-5.61910765796446,0.000225152828515228,7.70708323966085,"YBR_vs_Control",Inf,Inf,0,"Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA2 has a paralog, GEA1, that arose from the whole genome duplication"
