Systematic Name,NCBI code,Gene Name,Uniprot ID,Annotation,Predicted Number of Zinc Ions Per Monomer,Subcellular Location,Zinc ligands,Structural Zn-site classification,Zinc Function,Zn-binding domain,EC number,Enzyme Class
YOL086C,NP_014555 ,ADH1,P00330,NP_014555.1 alcohol dehydrogenase ADH1 [Saccharomyces cerevisiae S288c],2,cytosol,"C44, H67, E68, C98, C101, C104, C112","ZincNecklaces,  NoCluster","Catalytic,Structural",ADH_N,1.1.1.1,oxidoreductase
YKL060C,NP_012863 ,FBA1,P14540,NP_012863.1 fructose-bisphosphate aldolase FBA1 [Saccharomyces cerevisiae S288c],1,cytosol,"D110, H111, D145, E173, E175, E182, H227, H265, K285, G266, S268",NoCluster,Catalytic,F_bP_aldolase,4.1.2.13,lyase
YKL156W,NP_012766 ,RPS27A,P35997,NP_012766.1 ribosomal 40S subunit protein S27A [Saccharomyces cerevisiae S288c],1,cytosol,"C37, C56, C59",ZincRibbon,Structural,Ribosomal_S27e,,
YDR524C,NP_012628,RPL43A,P0CX25,NP_012628.3 ribosomal 60S subunit protein L43B [Saccharomyces cerevisiae S288c],1,cytosol,"C39, C42, C57, C60",TrebleClef,Structural,C4-type,,
YLR388W,NP_013492,RPS29A,P41057,NP_013492.3 ribosomal 40S subunit protein S29A [Saccharomyces cerevisiae S288c],1,cytosol,"C21, C24, C39, C42",TrebleClef,Structural,Ribosomal_S14,,
YGL189C,NP_011326 ,RPS26A,P39938,NP_011326.1 ribosomal 40S subunit protein S26A [Saccharomyces cerevisiae S288c],1,cytosol,"C23, C26, C74, C77",TrebleClef,Structural,Ribosomal_S26e,,
YDR500C,NP_010788,RPL37B,P51402,NP_010788.1 ribosomal 60S subunit protein L37B [Saccharomyces cerevisiae S288c],1,cytosol,"C19, C22, C34, C37",ZincRibbon,Structural,C4-type,,
YNL162W,NP_012010,RPL42A,P0CX27,NP_012010.1 ribosomal 60S subunit protein L42B [Saccharomyces cerevisiae S288c],1,cytosol,"C12, C17, H20, H23, C74, C77, C88",ZincRibbon,Structural,Ribosomal_L44 (Pfam),,
YDL061C,NP_010222,RPS29B,P41058,NP_010222.1 ribosomal 40S subunit protein S29B [Saccharomyces cerevisiae S288c],1,cytosol,"C21, C24, C39, C42",TrebleClef,Structural,Ribosomal_S14,,
YLR167W,NP_013268 ,RPS31,P05759,NP_013268.1 ubiquitin-ribosomal 40S subunit protein S31 fusion protein [Saccharomyces cerevisiae S288c],1,cytosol,"C121, C126, C141, C144",ZincRibbon,Structural,Ribosomal_S27,,
YLR185W,NP_013286,RPL37A,P49166,NP_013286.1 ribosomal 60S subunit protein L37A [Saccharomyces cerevisiae S288c],1,cytosol,"C19, C22, C34, C37",ZincRibbon,Structural,C4-type,,
YJR104C,NP_012638 ,SOD1,P00445,NP_012638.1 superoxide dismutase SOD1 [Saccharomyces cerevisiae S288c],1,cytosol,"H47, H49, H64, H72, H81, D84, H121",NoCluster,Structural,Sod_Cu,1.15.1.1,oxidoreductase
YER091C,NP_011015 ,MET6,P05694,NP_011015.3 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase [Saccharomyces cerevisiae S288c],1,cytosol,"H655, C657, E677, C737",ZincRafts,Catalytic,Meth_synt_2,2.1.1.14,transferase
YOL154W,NP_014488 ,ZPS1,Q12512,NP_014488.1 Zps1p [Saccharomyces cerevisiae S288c],N/A,cell wall,,,Transport,,,
YIL148W,NP_012118 ,RPL40A,P0CH08,NP_012118.1 ubiquitin-ribosomal 60S subunit protein L40A fusion protein [Saccharomyces cerevisiae S288c],1,cytosol,"C96, C99, C110, C115",ZincRibbon,Structural,Ribosomal_L40e,,
YDL182W,NP_010099 ,LYS20,P48570,NP_010099.1 homocitrate synthase LYS20 [Saccharomyces cerevisiae S288c],1,nucleus,"E32, H212, H214",ZincRafts,Catalytic,HMGL-like,2.3.3.14,transferase
YHR020W,NP_011884 ,YHI0,P38708,NP_011884.1 proline--tRNA ligase [Saccharomyces cerevisiae S288c],1,cytosol,"C620, C625, C671, C674",TrebleClef,Structural,ProRS-C_1,6.1.1.15,ligase
YIL078W,NP_116578 ,THS1,P04801,NP_116578.3 threonine--tRNA ligase THS1 [Saccharomyces cerevisiae S288c],2,cytosol,"C268, H272, C420, H471, H599, H151, H155",ZincRafts,Catalytic,"tRNA-synt_2b,tRNA_SAD",6.1.1.3,ligase
YCL030C,NP_009900 ,HIS4,P00815,NP_009900.2 trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase [Saccharomyces cerevisiae S288c],1,cytosol,"Q618, H621, D721, H780",NoCluster,Catalytic,Histidinol_dh,"3.5.4.19, 3.6.1.31, 1.1.1.23","hydrolase, oxidoreductase"
YPR041W,NP_015366 ,TIF5,P38431,NP_015366.1 translation initiation factor eIF5 [Saccharomyces cerevisiae S288c],1,cytosol,"C99, C102, C121, C124",ZincRibbon,Structural,eIF-5_eIF-2B,,
