Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
A2P1G9|A2P1G9_MOUSE,A2P1G9,A2P1G9|A2P1G9_MOUSE Kappa light chain (Fragment) OS=Mus musculus OX=10090 GN=Igkc PE=1 SV=1,Igkc,219,OS=Mus musculus,1,0.999,17,1308,1306,1308,1,2,6,8,27,159,23,15,2,5,5,6,50,78,30,16,1,2,5,4,26,141,23,9,1,3,5,5,18,89,16,10,1,1,4,9,35,190,19,10,1,1,2,4,47,176,8,9,
O14467|TX=559292,O14467,"O14467|TX=559292 OS=Yeast S288c GN=MBF1 TA=NM_001184346.3,YOR298C-A_mRNA PA=O14467,NP_014942.4,YOR298C-A_mRNA",MBF1,151,OS=Yeast,1,0.9939,5,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P00330|TX=559292,P00330,"P00330|TX=559292 OS=Yeast S288c GN=ADH1 TA=YOL086C_mRNA,NM_001183340.1 PA=P00330,NP_014555.1,YOL086C_mRNA",ADH1,348,OS=Yeast,1,0.999,15,238,128,238,3,4,8,21,23,0,0,0,2,12,6,13,14,0,0,0,1,7,10,12,17,0,1,0,0,7,9,5,6,0,0,0,0,1,8,13,13,0,0,0,0,0,5,5,12,0,0,0,
P00358|TX=559292,P00358,"P00358|TX=559292 OS=Yeast S288c GN=TDH2 TA=YJR009C_mRNA,NM_001181666.1 PA=NP_012542.1,YJR009C_mRNA,P00358",TDH2,332,OS=Yeast,1,0.999,14,366,21,366,4,11,17,27,26,3,4,0,2,17,10,13,22,2,2,2,1,11,13,9,24,2,2,0,1,11,9,6,16,2,1,0,1,2,10,12,29,2,3,0,2,1,7,4,18,3,2,0,
P00360|TX=559292,P00360,"P00360|TX=559292 OS=Yeast S288c GN=TDH1 TA=YJL052W_mRNA,NM_001181485.3 PA=YJL052W_mRNA,P00360,NP_012483.3",TDH1,332,OS=Yeast,1,0.9989,5,52,20,52,0,1,2,4,6,0,1,0,0,1,1,1,6,0,1,0,0,2,4,1,5,0,0,0,0,2,1,0,2,0,0,0,0,1,1,1,6,0,0,0,0,0,0,0,2,0,0,0,
P00498|TX=559292,P00498,"P00498|TX=559292 OS=Yeast S288c GN=YER055C,HIS1 TA=YER055C_mRNA,NM_001178946.3 PA=YER055C_mRNA,P00498,NP_010975.3","YER055C,HIS1",297,OS=Yeast,1,0.9968,5,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,
P00546|TX=559292,P00546,"P00546|TX=559292 OS=Yeast S288c GN=CDC28 TA=YBR160W_mRNA,NM_001178508.3 PA=YBR160W_mRNA,NP_009718.3,P00546",CDC28,298,OS=Yeast,1,0.9989,7,35,25,35,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,
P00549|TX=559292,P00549,"P00549|TX=559292 OS=Yeast S288c GN=CDC19 TA=YAL038W_mRNA,NM_001178183.1 PA=P00549,YAL038W_mRNA,NP_009362.1",CDC19,500,OS=Yeast,1,0.999,32,540,475,540,5,9,18,59,15,7,6,0,1,20,23,40,10,0,5,0,4,18,17,39,12,4,3,0,3,17,16,28,9,0,6,0,4,2,18,51,10,4,5,0,7,3,13,16,10,2,1,0,
P00560|TX=559292,P00560,"P00560|TX=559292 OS=Yeast S288c GN=YCR012W,PGK1 TA=YCR012W_mRNA,NM_001178725.1 PA=YCR012W_mRNA,NP_009938.2,P00560","YCR012W,PGK1",416,OS=Yeast,1,0.999,19,342,342,342,2,6,18,34,14,1,6,0,3,18,7,19,11,0,3,0,1,12,16,21,14,0,4,0,0,11,19,13,7,0,1,0,0,2,9,23,11,1,0,0,3,0,13,8,11,0,0,0,
P00830|TX=559292,P00830,"P00830|TX=559292 OS=Yeast S288c GN=ATP2,YJR121W TA=NM_001181779.3,YJR121W_mRNA PA=NP_012655.3,P00830,YJR121W_mRNA","ATP2,YJR121W",511,OS=Yeast,1,0.999,9,158,158,158,0,2,4,12,4,0,2,6,3,3,1,12,1,0,2,0,0,2,5,10,4,0,2,0,2,2,8,13,3,3,1,3,0,0,4,13,5,2,0,3,0,0,0,12,5,4,0,0,
