"Gene","peptide_cnts_control","peptide_cnts_test","log10p","fdr","lfc","contrast","raw_lfc","norm_lfc","test_overlap","DESCRIPTION"
"GCN1",0,124,-13.2470340025921,7.94371525671612e-11,9.71466494694319,"YBR_vs_Control",Inf,Inf,1,"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"NMD5",0,69,-9.07123590268332,2.97688307572775e-07,8.87036106365344,"YBR_vs_Control",Inf,Inf,1,"Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog"
"MON2",0,54,-7.53001837851941,8.28074265727526e-06,8.51758015765802,"YBR_vs_Control",Inf,Inf,1,"Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"
"YOL098C",0,51,-7.14142692959582,1.44721382100669e-05,8.43534954685941,"YBR_vs_Control",Inf,Inf,0,"Putative metalloprotease; overproduction suppresses lethality due to expression of the dominant PET9 allele AAC2-A128P"
"RPN1",0,50,-7.14142692959582,1.44721382100669e-05,8.40686374334754,"YBR_vs_Control",Inf,Inf,1,"Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle"
"NUP188",0,43,-6.3207062112347,4.17559365907369e-05,8.18996411031189,"YBR_vs_Control",Inf,Inf,1,"Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188"
"NUP192",0,43,-6.3207062112347,4.17559365907369e-05,8.18996411031189,"YBR_vs_Control",Inf,Inf,0,"Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205"
"CRM1",0,38,-6.61891480961231,3.37398277760956e-05,8.01227675667424,"YBR_vs_Control",Inf,Inf,0,"Major karyopherin; involved in export of proteins, RNAs, and ribosomal subunits from the nucleus; exportin"
"DOP1",0,37,-6.61891480961231,3.37398277760956e-05,7.97395362189868,"YBR_vs_Control",Inf,Inf,0,"Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies"
"NUP133",0,36,-6.45861781773986,4.17559365907369e-05,7.93458464321742,"YBR_vs_Control",Inf,Inf,0,"Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133"
"KAP95",0,35,-6.29589052024216,4.17559365907369e-05,7.89411113282423,"YBR_vs_Control",Inf,Inf,0,"Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p"
"SPF1",0,35,-6.29589052024216,4.17559365907369e-05,7.89411113282423,"YBR_vs_Control",Inf,Inf,0,"P-type ATPase, ion transporter of the ER membrane; required to maintain normal lipid composition of intracellular compartments and proper targeting of mitochondrial outer membrane tail-anchored proteins; involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1"
"KAP122",0,33,-5.962838455685,8.0438805796941e-05,7.80958974682581,"YBR_vs_Control",Inf,Inf,1,"Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"
"LAA1",0,33,-5.962838455685,8.0438805796941e-05,7.80958974682581,"YBR_vs_Control",Inf,Inf,1,"AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene"
"MTR10",0,30,-5.61910765796446,0.000168624244701174,7.67272914316853,"YBR_vs_Control",Inf,Inf,0,"Nuclear import receptor; mediates the nuclear localization of proteins involved in mRNA-nucleus export; promotes dissociation of mRNAs from the nucleus-cytoplasm mRNA shuttling protein Npl3p; required for retrograde import of mature tRNAs; relocalizes from cytoplasm to the nuclear periphery upon DNA replication stress"
"ENA2",0,29,-5.44301639890878,0.000229942151865237,7.62406333400015,"YBR_vs_Control",Inf,Inf,0,"P-type ATPase sodium pump; involved in Na+ efflux to allow salt tolerance; likely not involved in Li+ efflux"
"HIS7",0,29,-5.44301639890878,0.000229942151865237,7.62406333400015,"YBR_vs_Control",Inf,Inf,0,"Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase that catalyzes the fifth step of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor"
"PSE1",0,27,-5.08189913646145,0.000505162028546884,7.52151145205944,"YBR_vs_Control",Inf,Inf,0,"Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p"
"GEA2",0,26,-4.8966644979659,0.000741620850419891,7.46736563204444,"YBR_vs_Control",Inf,Inf,0,"Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA2 has a paralog, GEA1, that arose from the whole genome duplication"
"ARO1",0,25,-4.70816398092839,0.000808006348539322,7.41110815383238,"YBR_vs_Control",Inf,Inf,0,"Pentafunctional arom protein; catalyzes steps 2 through 6 in the biosynthesis of chorismate, which is a precursor to aromatic amino acids"
"ERG5",0,25,-4.70816398092839,0.000808006348539322,7.41110815383238,"YBR_vs_Control",Inf,Inf,0,"C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs"
"MES1",0,25,-4.70816398092839,0.000808006348539322,7.41110815383238,"YBR_vs_Control",Inf,Inf,0,"Methionyl-tRNA synthetase; forms a complex with glutamyl-tRNA synthetase (Gus1p) and Arc1p, which increases the catalytic efficiency of both tRNA synthetases; also has a role in nuclear export of tRNAs; mutations in human ortholog MARS are associated with pediatric pulmonary alveolar proteinosis"
"TOM70",0,25,-4.70816398092839,0.000808006348539322,7.41110815383238,"YBR_vs_Control",Inf,Inf,0,"Component of the TOM (translocase of outer membrane) complex; involved in the recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins; TOM70 has a paralog, TOM71, that arose from the whole genome duplication"
"GET3",0,24,-4.70816398092839,0.000808006348539322,7.35256760264477,"YBR_vs_Control",Inf,Inf,0,"Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress"
"MSC7",0,24,-4.70816398092839,0.000808006348539322,7.35256760264477,"YBR_vs_Control",Inf,Inf,0,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; msc7 mutants are defective in directing meiotic recombination events to homologous chromatids"
"SEC17",0,24,-4.70816398092839,0.000808006348539322,7.35256760264477,"YBR_vs_Control",Inf,Inf,0,"Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP"
"STE24",0,24,-4.70816398092839,0.000808006348539322,7.35256760264477,"YBR_vs_Control",Inf,Inf,0,"Highly conserved zinc metalloprotease; functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; cleaves both isoprenylated and non-prenylated oligopeptides; contains multiple transmembrane spans; human homolog ZMPSTE24 implicated in mandibuloacral dysplasia (MAD), and can complement yeast null mutant"
"RKR1",0,23,-4.51627845468948,0.00118707105526147,7.29155080547105,"YBR_vs_Control",Inf,Inf,0,"RING domain E3 ubiquitin ligase; involved in ubiquitin-mediated degradation of non-stop proteins and translationally stalled ER membrane proteins; component of ribosome-bound RQC (ribosome quality control) complex; degrades products of mRNAs lacking a termination codon regardless of a poly(A) tail; functional connections to chromatin modification; homolog of mouse Listerin, mutations in which reported to cause neurodegeneration"
"ERG20",0,21,-4.12184158331176,0.00246460674180547,7.16118302620347,"YBR_vs_Control",Inf,Inf,0,"Farnesyl pyrophosphate synthetase; has both dimethylallyltranstransferase and geranyltranstransferase activities; catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis"
"KAP104",0,21,-4.12184158331176,0.00246460674180547,7.16118302620347,"YBR_vs_Control",Inf,Inf,0,"Transportin or cytosolic karyopherin beta 2; functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-binding proteins Nab2p and Hrp1p; regulates asymmetric protein synthesis in daughter cells during mitosis"
"STT3",0,21,-4.12184158331176,0.00246460674180547,7.16118302620347,"YBR_vs_Control",Inf,Inf,0,"Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis"
"UFD2",0,21,-4.12184158331176,0.00246460674180547,7.16118302620347,"YBR_vs_Control",Inf,Inf,0,"Ubiquitin chain assembly factor (E4); cooperates with a ubiquitin-activating enzyme (E1), a ubiquitin-conjugating enzyme (E2), and a ubiquitin protein ligase (E3) to conjugate ubiquitin to substrates; also functions as an E3"
"LOS1",0,20,-3.91901607100884,0.00321095619792856,7.09129759070542,"YBR_vs_Control",Inf,Inf,0,"Nuclear pore protein; involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm; deletion mutation extends replicative lifespan, as does exclusion of Los1p from the nucleus in response to caloric restriction"
"PGM1",0,20,-3.91901607100884,0.00321095619792856,7.09129759070542,"YBR_vs_Control",Inf,Inf,0,"Phosphoglucomutase, minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; PGM1 has a paralog, PGM2, that arose from the whole genome duplication"
"PMC1",0,20,-3.91901607100884,0.00321095619792856,7.09129759070542,"YBR_vs_Control",Inf,Inf,0,"Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a"
"VID27",0,20,-3.91901607100884,0.00321095619792856,7.09129759070542,"YBR_vs_Control",Inf,Inf,0,"Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mutants exhibit normal growth; contains two PH-like domains"
