"Gene","peptide_cnts_control","peptide_cnts_test","log10p","fdr","lfc","contrast","raw_lfc","norm_lfc","test_overlap","DESCRIPTION"
"NMD5",0,39,-8.37636085966596,1.01451027936429e-06,8.51318078182401,"YBR_vs_Control",Inf,Inf,1,"Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog"
"GCN1",0,33,-7.38636747111986,7.43551585032265e-06,8.27289044527055,"YBR_vs_Control",Inf,Inf,1,"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"LAA1",0,29,-6.77685380632354,2.42055388742574e-05,8.08712052919379,"YBR_vs_Control",Inf,Inf,1,"AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene"
"YPQ1",0,27,-6.29589052024216,6.10515642146341e-05,7.98441996675545,"YBR_vs_Control",Inf,Inf,1,"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; YPQ1 has a paralog, RTC2, that arose from the whole genome duplication"
"MON2",0,24,-5.79235107414732,0.000166835878309801,7.81520687923496,"YBR_vs_Control",Inf,Inf,1,"Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"
"SEC7",0,21,-5.26398075920632,0.000438041540436192,7.62347660329647,"YBR_vs_Control",Inf,Inf,1,"Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi, intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles"
"DOP1",0,16,-4.12184158331176,0.00455738519160655,7.23344365093936,"YBR_vs_Control",Inf,Inf,0,"Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies"
"KAP122",0,16,-4.12184158331176,0.00455738519160655,7.23344365093936,"YBR_vs_Control",Inf,Inf,1,"Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"
"ENA2",0,14,-3.71225599218671,0.00936248888143282,7.04216752091175,"YBR_vs_Control",Inf,Inf,0,"P-type ATPase sodium pump; involved in Na+ efflux to allow salt tolerance; likely not involved in Li+ efflux"
"RPN1",0,13,-3.50140262687181,0.0126783703602736,6.93609410129431,"YBR_vs_Control",Inf,Inf,1,"Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle"
"ARE2",0,11,-2.84254034164639,0.0346798307926758,6.69722651175321,"YBR_vs_Control",Inf,Inf,1,"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication"
"ORM1",0,11,-2.84254034164639,0.0346798307926758,6.69722651175321,"YBR_vs_Control",Inf,Inf,1,"Protein that mediates sphingolipid homeostasis; evolutionarily conserved, required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; ORM1 has a paralog, ORM2, that arose from the whole genome duplication"
"STE24",0,11,-2.84254034164639,0.0346798307926758,6.69722651175321,"YBR_vs_Control",Inf,Inf,0,"Highly conserved zinc metalloprotease; functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; cleaves both isoprenylated and non-prenylated oligopeptides; contains multiple transmembrane spans; human homolog ZMPSTE24 implicated in mandibuloacral dysplasia (MAD), and can complement yeast null mutant"
"ALG2",0,10,-2.61351300740292,0.0503683256750763,6.5611126183644,"YBR_vs_Control",Inf,Inf,1,"Mannosyltransferase in the N-linked glycosylation pathway; catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol; human ALG2 complements the temperature sensitivity and dolichol-linked oligosaccharide biosynthesis defect of the alg2-1 mutant, but mutant form from a patient with CDG-Ii fails to complement"
"ERG5",0,9,-2.37942980136955,0.0702813846628976,6.41080614629545,"YBR_vs_Control",Inf,Inf,0,"C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs"
"ERV29",0,9,-2.37942980136955,0.0702813846628976,6.41080614629545,"YBR_vs_Control",Inf,Inf,1,"Protein localized to COPII-coated vesicles; involved in vesicle formation and incorporation of specific secretory cargo; protein abundance increases in response to DNA replication stress"
"NIP1",0,9,-2.37942980136955,0.0702813846628976,6.41080614629545,"YBR_vs_Control",Inf,Inf,1,"eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3); involved in the assembly of preinitiation complex and start codon selection; eIF3 is also involved in programmed stop codon readthrough"
