"","gene","pep_cnt","pep_cov","ORF","SGD","DESCRIPTION","degree","pep_cnt_n","pep_cov_n","degree_n","score"
"62","GCN1",39,0.0283333333333333,"YGL195W","S000003163","Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA",85,1,0.2125,0.894736842105263,2.10723684210526
"139","PRO3",8,0.133333333333333,"YER023W","S000000825","Delta 1-pyrroline-5-carboxylate reductase; catalyzes the last step in proline biosynthesis",36,0.205128205128205,1,0.378947368421053,1.58407557354926
"218","VMA2",14,0.0825,"YBR127C","S000000331","Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress; human homolog ATP6V1B1, implicated in autosomal-recessive distal renal tubular acidosis (RTA) with sensorineural deafness, complements yeast null mutant",54,0.358974358974359,0.61875,0.568421052631579,1.54614541160594
"213","URA2",16,0.015,"YJL130C","S000003666","Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase; catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP",89,0.41025641025641,0.1125,0.936842105263158,1.45959851551957
"143","PSA1",3,0.0333333333333333,"YDL055C","S000002213","GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase); synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure",95,0.0769230769230769,0.25,1,1.32692307692308
"210","TUB2",10,0.062,"YFL037W","S000001857","Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria",55,0.256410256410256,0.465,0.578947368421053,1.30035762483131
"19","BMH2",7,0.11,"YDR099W","S000002506","14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; abundance relative to Bmh1p increases during sporulation",26,0.179487179487179,0.825,0.273684210526316,1.2781713900135
"50","ENO2",9,0.06,"YHR174W","S000001217","Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication",49,0.230769230769231,0.45,0.515789473684211,1.19655870445344
"209","TUB1",6,0.06,"YML085C","S000004550","Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog, TUB3, that arose from the whole genome duplication",55,0.153846153846154,0.45,0.578947368421053,1.18279352226721
"78","HSC82",6,0.0225,"YMR186W","S000004798","Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication",80,0.153846153846154,0.16875,0.842105263157895,1.16470141700405
"162","RVB1",3,0.0333333333333333,"YDR190C","S000002598","ATP-dependent DNA helicase, also known as pontin; member of the AAA+ and RuvB-like protein families; similar to Rvb2p; conserved component of multiple complexes including the INO80 complex, the Swr1 complex, and the R2TP complex (Rvb1-Rvb2-Tah1-Pih1); involved in multiple processes such as chromatin remodeling, box C/D snoRNP assembly, and RNA polymerase II assembly",73,0.0769230769230769,0.25,0.768421052631579,1.09534412955466
"204","TOM1",13,0.00666666666666667,"YDR457W","S000002865","E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase",65,0.333333333333333,0.05,0.684210526315789,1.06754385964912
"147","RNA1",4,0.065,"YMR235C","S000004848","GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport",43,0.102564102564103,0.4875,0.452631578947368,1.04269568151147
