"","GENENAME","ENTREZID","ENSEMBL","DESCRIPTION","min_peps","min_prob","min_crap_expt","orf_name","status","pma_int"
"40","ARO2","852729","YGL148W","Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress","1","80","1","YGL148W","Interaction Data Present","Not A PMA1 Interactor"
"140","CCC1","850917","YLR220W","Vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation; relative distribution to the vacuole decreases upon DNA replication stress","1","80","1","YLR220W","Interaction Data Present","Not A PMA1 Interactor"
"310","ERG5","855029","YMR015C","C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs","1","80","1","YMR015C","Interaction Data Present","Not A PMA1 Interactor"
"327","ERG9","856597","YHR190W","Farnesyl-diphosphate farnesyl transferase (squalene synthase); joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway","1","80","1","YHR190W","Interaction Data Present","Not A PMA1 Interactor"
"353","FTR1","856888","YER145C","High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress","1","80","1","YER145C","Interaction Data Present","Not A PMA1 Interactor"
"472","GGA2","856508","YHR108W","Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication","1","80","1","YHR108W","Interaction Data Present","Not A PMA1 Interactor"
"502","GPA1","856394","YHR005C","Subunit of the G protein involved in pheromone response; GTP-binding alpha subunit of the heterotrimeric G protein; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome; protein abundance increases in response to DNA replication stress","1","80","1","YHR005C","Interaction Data Present","Not A PMA1 Interactor"
"514","GPD1","851539","YDL022W","NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import","1","80","1","YDL022W","Interaction Data Present","Not A PMA1 Interactor"
"531","GYP5","855827","YPL249C","GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication","1","80","1","YPL249C","Interaction Data Present","Not A PMA1 Interactor"
"546","HIP1","853104","YGR191W","High-affinity histidine permease; also involved in the transport of manganese ions","1","80","1","YGR191W","Interaction Data Present","PMA1 Interactor"
