Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
A2P1G9|A2P1G9_MOUSE,A2P1G9,A2P1G9|A2P1G9_MOUSE Kappa light chain (Fragment) OS=Mus musculus OX=10090 GN=Igkc PE=1 SV=1,Igkc,219,OS=Mus musculus,1,0.999,4,13,13,13,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,
O13297|TX=559292,O13297,"O13297|TX=559292 OS=Yeast S288c GN=CET1 TA=YPL228W_mRNA,NM_001184042.1 PA=YPL228W_mRNA,O13297,NP_015096.1",CET1,549,OS=Yeast,1,0.999,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,
O13516|TX=559292,O13516,"O13516|TX=559292 OS=Yeast S288c GN=RPS9A TA=YPL081W_mRNA,NM_001183895.1 PA=YPL081W_mRNA,O13516,NP_015244.1",RPS9A,197,OS=Yeast,1,0.99,9,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,P05755|TX=559292
O13535|TX=559292,O13535,"O13535|TX=559292 OS=Yeast S288c GN=YHR214C-B TA=NM_001181431.1 PA=NP_012086.1,O13535",YHR214C-B,1793,OS=Yeast,1,0.9986,3,10,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,1,"O74302|TX=559292, P0C2I2|TX=559292, P0C2I3|TX=559292, P0C2I4|TX=559292, P0C2I5|TX=559292, P0C2I6|TX=559292, P0C2I8|TX=559292, P0C2I9|TX=559292, P0C2J0|TX=559292, P0C2J1|TX=559292, P0CX57|TX=559292, P0CX59|TX=559292, P0CX65|TX=559292, P0CX70|TX=559292, P0CX74|TX=559292, P47098|TX=559292, P47099|TX=559292, P47100|TX=559292, Q03434|TX=559292, Q03612|TX=559292, Q03619|TX=559292, Q03855|TX=559292, Q03856|TX=559292, Q04670|TX=559292, Q04706|TX=559292, Q04711|TX=559292, Q07793|TX=559292, Q12085|TX=559292, Q12088|TX=559292, Q12141|TX=559292, Q12193|TX=559292, Q12217|TX=559292, Q12269|TX=559292, Q12316|TX=559292, Q12414|TX=559292, Q12441|TX=559292, Q12470|TX=559292, Q12485|TX=559292, Q6Q5H1|TX=559292, Q92393|TX=559292, Q99231|TX=559292, Q99337|TX=559292"
O14455|TX=559292,O14455,"O14455|TX=559292 OS=Yeast S288c GN=RPL36B TA=NM_001184312.1,YPL249C-A_mRNA PA=NP_015074.1,YPL249C-A_mRNA,O14455",RPL36B,100,OS=Yeast,1,0.9989,5,30,0,30,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,5,1,0,0,0,1,1,1,6,P05745|TX=559292
P00330|TX=559292,P00330,"P00330|TX=559292 OS=Yeast S288c GN=ADH1 TA=YOL086C_mRNA,NM_001183340.1 PA=P00330,NP_014555.1,YOL086C_mRNA",ADH1,348,OS=Yeast,1,0.999,19,252,133,252,0,0,0,2,8,19,3,0,0,0,1,2,8,7,14,0,0,0,2,5,14,38,12,1,0,0,0,0,18,54,36,8,
P00359|TX=559292,P00359,"P00359|TX=559292 OS=Yeast S288c GN=TDH3 TA=NM_001181321.3,YGR192C_mRNA PA=NP_011708.3,YGR192C_mRNA,P00359",TDH3,332,OS=Yeast,1,0.999,23,318,8,318,1,2,3,5,3,6,18,2,1,1,3,2,4,4,29,3,1,4,3,7,4,38,31,4,1,0,4,5,4,7,111,7,
P00360|TX=559292,P00360,"P00360|TX=559292 OS=Yeast S288c GN=TDH1 TA=YJL052W_mRNA,NM_001181485.3 PA=YJL052W_mRNA,P00360,NP_012483.3",TDH1,332,OS=Yeast,1,0.9986,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
P00401|TX=559292,P00401,"P00401|TX=559292 OS=Yeast S288c GN=COX1 TA=Q0045_mRNA,NM_001184352.1 PA=Q0045_mRNA,P00401",COX1,534,OS=Yeast,1,0.999,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
P00410|TX=559292,P00410,"P00410|TX=559292 OS=Yeast S288c GN=COX2 TA=NM_001184373.1,Q0250_mRNA PA=P00410,Q0250_mRNA",COX2,251,OS=Yeast,1,0.999,3,14,14,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,
