"orf_name","row","column","cor","num_obs","gene1","gene2","SGD","ENTREZID","GENENAME","ENSEMBL","DESCRIPTION"
"YOR002W","chr2_614024","chr15_329417",0.87484259087554,1986,"YBR196C-A","YOR002W","S000005528","854163","ALG6","YOR002W","Alpha 1,3 glucosyltransferase; involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; C998T transition in human ortholog ALG6 causes carbohydrate-deficient glycoprotein syndrome type-Ic; wild-type human ortholog ALG6 can partially complement yeast alg6 mutant"
"YBR196C-B","chr2_614024","chr2_614526",0.861811949431444,935,"YBR196C-A","YBR196C-B","S000028816","1466448",NA,"YBR196C-B","Putative protein of unknown function; identified by expression profiling and mass spectrometry"
"YPL028W","chr2_614024","chr16_498096",0.861512032156874,1986,"YBR196C-A","YPL028W","S000005949","856079","ERG10","YPL028W","Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase); cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis; human ACAT1 functionally complements the growth defect caused by repression of ERG10 expression"
"YOR099W","chr2_614024","chr15_511825",0.853504310178897,1986,"YBR196C-A","YOR099W","S000005625","854266","KTR1","YOR099W","Alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; type II membrane protein; member of the KRE2/MNT1 mannosyltransferase family; relocalizes from vacuole to cytoplasm upon DNA replication stress"
"YDR349C","chr2_614024","chr4_1172386",0.850518916063726,1986,"YBR196C-A","YDR349C","S000002757","851950","YPS7","YDR349C","Putative GPI-anchored aspartic protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; located in the cytoplasm and endoplasmic reticulum"
"YHR130C","chr2_614024","chr8_364965",0.850359180190138,1937,"YBR196C-A","YHR130C","S000001172","856531",NA,NA,"Putative protein of unknown function; conserved among S. cerevisiae strains; YHR130C is not an essential gene"
"YPR146C","chr2_614024","chr16_825347",0.84782760695536,1985,"YBR196C-A","YPR146C","S000006350",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YBR283C","chr2_614024","chr2_768943",0.846281812843883,1986,"YBR196C-A","YBR283C","S000000487","852586","SSH1","YBR283C","Subunit of the Ssh1 translocon complex; Sec61p homolog involved in co-translational pathway of protein translocation; not essential"
"YDL125C","chr2_614024","chr4_239019",0.843748730015372,1986,"YBR196C-A","YDL125C","S000002283","851432","HNT1","YDL125C","Adenosine 5'-monophosphoramidase; interacts physically and genetically with Kin28p, a CDK and TFIIK subunit, and genetically with CAK1; member of histidine triad (HIT) superfamily of nucleotide-binding proteins; protein abundance increases in response to DNA replication stress; human homolog HINT1 can complement yeast hnt1 mutant"
"YNL101W","chr2_614024","chr14_434999",0.843073520637777,1986,"YBR196C-A","YNL101W","S000005045","855622","AVT4","YNL101W","Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs)"
