"gene","GENENAME","transcript","rho","classification","ENTREZID","DESCRIPTION","coex_rank","pep_cnt","pep_cov","SGD","degree","pep_cnt_n","pep_cov_n","degree_n","score","coip_rank","ER_related","mito_related","vac_related","transport_related"
"YBR196C-A",NA,"chr2_614024",1,"transient","1466447","Putative protein of unknown function; identified by fungal homology and RT-PCR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YOR002W","ALG6","chr15_329417",0.896956005220677,"conserved","854163","Alpha 1,3 glucosyltransferase; involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; C998T transition in human ortholog ALG6 causes carbohydrate-deficient glycoprotein syndrome type-Ic; wild-type human ortholog ALG6 can partially complement yeast alg6 mutant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YOR270C","VPH1","chr15_828052",0.872302432606841,"conserved","854444","Subunit a of vacuolar-ATPase V0 domain; one of two isoforms (Vph1p and Stv1p); Vph1p is located in V-ATPase complexes of the vacuole while Stv1p is located in V-ATPase complexes of the Golgi and endosomes; relative distribution to the vacuolar membrane decreases upon DNA replication stress; human homolog ATP6V0A4 implicated in renal tubular acidosis, can complement yeast null mutant",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
"YNL268W","LYP1","chr14_138550",0.870076153213571,"conserved","855453","Lysine permease; one of three amino acid permeases (Alp1p, Can1p, Lyp1p) responsible for uptake of cationic amino acids",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YBR283C","SSH1","chr2_768943",0.866950431076004,"conserved","852586","Subunit of the Ssh1 translocon complex; Sec61p homolog involved in co-translational pathway of protein translocation; not essential",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YGR106C","VOA1","chr7_698989",0.862611084051701,"conserved","852998","ER protein that functions in assembly of the V0 sector of V-ATPase; functions with other assembly factors; null mutation enhances the vacuolar ATPase (V-ATPase) deficiency of a vma21 mutant impaired in endoplasmic reticulum (ER) retrieval",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"YLR242C","ARV1","chr12_622918",0.857837308319852,"conserved","850943","Cortical ER protein; implicated in the membrane insertion of tail-anchored C-terminal single transmembrane domain proteins; may function in transport of glycosylphosphatidylinositol intermediates into the ER lumen; required for normal intracellular sterol distribution; human ARV1, required for normal cholesterol and bile acid homeostasis, can complement yeast arv1 null mutant; human variant causing early onset epileptic encephalopathy is unable to rescue the yeast null",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
"YDR349C","YPS7","chr4_1172386",0.857462559309509,"conserved","851950","Putative GPI-anchored aspartic protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; located in the cytoplasm and endoplasmic reticulum",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"YOR099W","KTR1","chr15_511825",0.855946504280806,"conserved","854266","Alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; type II membrane protein; member of the KRE2/MNT1 mannosyltransferase family; relocalizes from vacuole to cytoplasm upon DNA replication stress",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
"YGR096W","TPC1","chr7_676621",0.855509073313699,"conserved","852988","Mitochondrial membrane transporter; mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria; expression appears to be regulated by carbon source; member of the mitochondrial carrier family",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"YFL045C","SEC53","chr6_43628",0.855429831505189,"conserved","850499","Phosphomannomutase; involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"YER056C","FCY2","chr5_266512",0.852733425557347,"conserved","856783","Purine-cytosine permease; mediates purine (adenine, guanine, and hypoxanthine) and cytosine accumulation; relative distribution to the vacuole increases upon DNA replication stress",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
"YBR004C","GPI18","chr2_244366",0.850554582024797,"conserved","852289","Functional ortholog of human PIG-V; PIG-V is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic, non-tagged protein was localized to mitochondria",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"YHR026W","VMA16","chr8_160844",0.849180283880386,"conserved","856421","Subunit c'' of the vacuolar ATPase; v-ATPase functions in acidification of the vacuole; one of three proteolipid subunits of the V0 domain",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
"YCR017C","CWH43","chr3_144773",0.848749252575778,"conserved","850376","GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YBR036C","CSG2","chr2_309081",0.846995407244623,"conserved","852324","Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YDR249C",NA,"chr4_958681",0.846688894641566,"conserved","851836","Putative protein of unknown function",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YNR055C","HOL1","chr14_728426",0.84562775068088,"conserved","855792","Putative transporter in the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; mutations in membrane-spanning domains permit cation and histidinol uptake",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE
"YLR100W","ERG27","chr12_341810",0.844197321149116,"conserved","850790","3-keto sterol reductase; catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs; mutation is functionally complemented by human HSD17B7",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YHR039C","MSC7","chr8_184875",0.843654640685025,"conserved","856434","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; msc7 mutants are defective in directing meiotic recombination events to homologous chromatids",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"YMR149W","SWP1","chr13_560996",0.84212373281539,"conserved","855180","Delta subunit of the oligosaccharyl transferase glycoprotein complex; complex is required for N-linked glycosylation of proteins in the endoplasmic reticulum",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"YMR243C","ZRC1","chr13_754838",0.841712922586944,"conserved","855284","Vacuolar membrane zinc transporter; transports zinc from cytosol to vacuole for storage; also has role in resistance to zinc shock resulting from sudden influx of zinc into cytoplasm; human ortholog SLC30A10 functions as a Mn transporter and mutations in SLC30A10 cause neurotoxic accumulation of Mn in liver and brain; ZRC1 has a paralog, COT1, that arose from the whole genome duplication",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
"YDR072C","IPT1","chr4_589761",0.84161262961106,"conserved","851644","Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YIL043C","CBR1","chr9_274072",0.841522303187332,"conserved","854768","Cytochrome b reductase; not essential for viability; also detected in mitochondria; mutation in conserved NADH binding domain of the human ortholog results in type I methemoglobinemia",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"YDR352W","YPQ2","chr4_1181801",0.840214157756201,"conserved","851954","Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
"YGR216C","GPI1","chr7_922633",0.836969064170666,"conserved","853130","Membrane protein involved in the synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; human and mouse GPI1p are functional homologs",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"YBL082C","ALG3","chr2_69751",0.836952850673772,"conserved","852196","Dolichol-P-Man dependent alpha(1-3) mannosyltransferase; involved in synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins; G353A missense mutation in human ortholog ALG3 implicated in carbohydrate deficient glycoprotein syndrome type IV, which is characterized by microcephaly, severe epilepsy, minimal psychomotor development, partial deficiency of sialic acids in serum glycoproteins; wild-type human ALG3 can complement yeast alg3 mutant",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
