Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
A0A0A7NYF6_YEAST,A0A0A7NYF6,A0A0A7NYF6 A0A0A7NYF6_YEAST Cytochrome c oxidase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX1 PE=3 SV=1,COX1,534,OS=Saccharomyces,1,0.9984,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,P00401
A0A0A7NYF9_YEAST,A0A0A7NYF9,A0A0A7NYF9 A0A0A7NYF9_YEAST Cytochrome c oxidase subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX2 PE=3 SV=1,COX2,251,OS=Saccharomyces,1,0.9989,3,14,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,P00410
CET1_YEAST,O13297,O13297 CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CET1 PE=1 SV=2,CET1,549,OS=Saccharomyces,1,0.9989,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,
RS9A_YEAST,O13516,O13516 RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3,RPS9A,197,OS=Saccharomyces,1,0.986,8,21,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,P05755
YH11B_YEAST,O13535,O13535 YH11B_YEAST Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-H PE=3 SV=1,TY1B-H,1793,OS=Saccharomyces,1,0.9984,3,11,0,11,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,1,"O74302, P0C2I2, P0C2I3, P0C2I4, P0C2I5, P0C2I6, P0C2I7, P0C2I8, P0C2I9, P0C2J0, P0C2J1, P0CX57, P0CX58, P0CX59, P0CX60, P0CX65, P0CX66, P0CX67, P0CX68, P0CX69, P0CX70, P0CX71, P0CX72, P0CX73, P0CX74, P0CX75, P0CX76, P47098, P47099, P47100, Q03434, Q03612, Q03619, Q03855, Q03856, Q04670, Q04706, Q04711, Q07793, Q12085, Q12088, Q12141, Q12193, Q12217, Q12269, Q12316, Q12414, Q12441, Q12470, Q12485, Q6Q5H1, Q92393, Q99231, Q99337"
RL36B_YEAST,O14455,O14455 RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3,RPL36B,100,OS=Saccharomyces,1,0.999,4,22,0,22,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,3,0,0,0,0,1,1,1,5,P05745
ADH1_YEAST,P00330,P00330 ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,ADH1,348,OS=Saccharomyces,1,0.999,19,266,143,266,0,0,0,2,8,22,7,0,0,0,1,2,8,12,14,0,0,0,2,5,14,40,12,0,0,0,0,0,18,54,37,8,
G3P3_YEAST,P00359,P00359 G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3,TDH3,332,OS=Saccharomyces,1,0.999,23,324,8,324,0,1,3,5,3,7,24,4,1,1,3,4,4,7,29,3,1,4,4,7,4,37,31,3,1,0,4,5,4,7,109,4,
G3P1_YEAST,P00360,P00360 G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3,TDH1,332,OS=Saccharomyces,1,0.9985,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
COX6_YEAST,P00427,"P00427 COX6_YEAST Cytochrome c oxidase subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX6 PE=1 SV=1",COX6,148,OS=Saccharomyces,1,0.9762,3,8,8,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,
