!
!Date: 11/09/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
ZAP1	YJL056C	ACB1	YGR037C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	ADE17	YMR120C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ADE17	YMR120C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	ADH1	YOL086C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	ADH4	YGL256W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ADH4	YGL256W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	AHP1	YLR109W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	AKR2	YOR034C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
ZAP1	YJL056C	ALD2	YMR170C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	ALD3	YMR169C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	ALD6	YPL061W		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
