Mutant,T2,A55,T15,T21,C72,YBR_Translation,YBR_Protein,micro_peptide1,micro_peptide2,TATA,Conserved
WT,0,0,0,0,0,0,0,0,0,0,0
ATG1,1,0,0,0,0,1,1,0,1,0,0
ATG12,1,1,0,0,0,1,1,0,0,0,0
STOP1,0,0,1,0,0,0,1,0,1,1,1
STOP1C,0,0,1,0,0,0,0,0,0,1,1
STOP2,0,0,0,1,0,0,1,0,1,0,0
STOP2C,0,0,0,1,0,0,0,0,0,0,0
STOP3,0,0,0,0,1,0,1,1,0,0,0
STOP3C,0,0,0,0,1,0,0,0,0,0,0
STOP123,0,0,1,1,1,0,1,0,0,1,0
STOP123C,0,0,1,1,1,0,0,0,0,1,0
STOP23,0,0,0,1,1,0,1,1,0,0,0
STOP23C,0,0,0,1,1,0,0,0,0,0,0
DEL,1,1,1,1,1,1,1,0,0,1,0
