"gene2","gene1","row","column","cor","num_obs","Gene_1","Gene_2"
"YBR196C-A","YBR160W","chr2_560078","chr2_614024",0.725917800336249,1986,"CDC28","YBR196C-A"
"YDR141C","YBR049C","chr2_334386","chr4_734901",0.720475369155519,3916,"REB1","DOP1"
"YDR170C","YDR141C","chr4_734901","chr4_796193",0.935037849878044,3916,"DOP1","SEC7"
"YDR170C","YBR049C","chr2_334386","chr4_796193",0.788275415466714,3916,"REB1","SEC7"
"YDR238C","YBR049C","chr2_334386","chr4_937895",0.799495786758805,3916,"REB1","SEC26"
"YDR238C","YDR141C","chr4_734901","chr4_937895",0.885475892553233,3916,"DOP1","SEC26"
"YDR238C","YDR170C","chr4_796193","chr4_937895",0.783547672385322,3916,"SEC7","SEC26"
"YDR238C","YBR196C-A","chr2_614024","chr4_937895",0.758662933100924,1986,"YBR196C-A","SEC26"
"YDR395W","YDR141C","chr4_734901","chr4_1263324",0.775396915754829,3916,"DOP1","SXM1"
"YDR395W","YDR170C","chr4_796193","chr4_1263324",0.827655528050692,3916,"SEC7","SXM1"
"YDR395W","YDR238C","chr4_937895","chr4_1263324",0.871047861029496,3916,"SEC26","SXM1"
"YEL009C","YBR196C-A","chr2_614024","chr5_138918",0.817232130257376,1986,"YBR196C-A","GCN4"
"YER110C","YDR395W","chr4_1263324","chr5_378762",0.878477110956131,3916,"SXM1","KAP123"
"YGL016W","YDR238C","chr4_937895","chr7_461666",0.869413387194148,3916,"SEC26","KAP122"
"YGL016W","YER110C","chr5_378762","chr7_461666",0.894861359761968,3916,"KAP123","KAP122"
"YGL016W","YDR141C","chr4_734901","chr7_461666",0.78887846824916,3916,"DOP1","KAP122"
"YGL016W","YDR170C","chr4_796193","chr7_461666",0.882484551868772,3916,"SEC7","KAP122"
"YGL016W","YDR395W","chr4_1263324","chr7_461666",0.92163360642375,3916,"SXM1","KAP122"
"YGL073W","YDR463W","chr4_1386642","chr7_368753",0.872578424950933,3914,"STP1","HSF1"
"YGL195W","YDR238C","chr4_937895","chr7_131525",0.75548548352466,3916,"SEC26","GCN1"
"YGL195W","YDR170C","chr4_796193","chr7_131525",0.810902810647662,3916,"SEC7","GCN1"
"YGL195W","YER110C","chr5_378762","chr7_131525",0.779562523168916,3916,"KAP123","GCN1"
"YGL195W","YGL016W","chr7_461666","chr7_131525",0.923815652996947,3916,"KAP122","GCN1"
"YGL195W","YDR395W","chr4_1263324","chr7_131525",0.852115098025175,3916,"SXM1","GCN1"
"YGL195W","YDR141C","chr4_734901","chr7_131525",0.850193109222998,3916,"DOP1","GCN1"
"YHR027C","YGL016W","chr7_461666","chr8_161730",0.725739450010297,3916,"KAP122","RPN1"
"YHR027C","YDR170C","chr4_796193","chr8_161730",0.742120099954491,3916,"SEC7","RPN1"
"YHR027C","YBR049C","chr2_334386","chr8_161730",0.842384591212992,3916,"REB1","RPN1"
"YHR027C","YBR196C-A","chr2_614024","chr8_161730",0.706887487299289,1986,"YBR196C-A","RPN1"
"YHR027C","YDR395W","chr4_1263324","chr8_161730",0.709339494098078,3916,"SXM1","RPN1"
"YHR027C","YDR463W","chr4_1386642","chr8_161730",0.707253163644805,3916,"STP1","RPN1"
"YHR027C","YDR238C","chr4_937895","chr8_161730",0.787605477855279,3916,"SEC26","RPN1"
"YHR027C","YGL073W","chr7_368753","chr8_161730",0.745503827949362,3914,"HSF1","RPN1"
"YHR027C","YDR141C","chr4_734901","chr8_161730",0.864810235912796,3916,"DOP1","RPN1"
"YIL036W","YHR027C","chr8_161730","chr9_285666",0.777880404312284,3916,"RPN1","CST6"
"YIL036W","YDR463W","chr4_1386642","chr9_285666",0.815848155099371,3916,"STP1","CST6"
"YIL036W","YBR049C","chr2_334386","chr9_285666",0.731640033007918,3916,"REB1","CST6"
"YIL036W","YGL073W","chr7_368753","chr9_285666",0.819142608902823,3914,"HSF1","CST6"
"YIL131C","YDR170C","chr4_796193","chr9_100781",0.700993541343799,3916,"SEC7","FKH1"
"YIL131C","YDR238C","chr4_937895","chr9_100781",0.716148084640039,3916,"SEC26","FKH1"
"YIL131C","YBR049C","chr2_334386","chr9_100781",0.752021746242872,3916,"REB1","FKH1"
"YIL131C","YDR395W","chr4_1263324","chr9_100781",0.716916705120003,3916,"SXM1","FKH1"
"YIR018W","YGL073W","chr7_368753","chr9_384609",0.792581946096512,3899,"HSF1","YAP5"
"YIR018W","YDR463W","chr4_1386642","chr9_384609",0.832831767047015,3900,"STP1","YAP5"
"YIR018W","YHR027C","chr8_161730","chr9_384609",0.730211022628549,3900,"RPN1","YAP5"
"YIR018W","YIL036W","chr9_285666","chr9_384609",0.816846086394481,3900,"CST6","YAP5"
"YJL207C","YGL195W","chr7_131525","chr10_41389",0.903680097571884,3916,"GCN1","LAA1"
"YJL207C","YBR049C","chr2_334386","chr10_41389",0.712215178105117,3916,"REB1","LAA1"
"YJL207C","YDR141C","chr4_734901","chr10_41389",0.888830326070648,3916,"DOP1","LAA1"
"YJL207C","YDR238C","chr4_937895","chr10_41389",0.896160444532836,3916,"SEC26","LAA1"
"YJL207C","YHR027C","chr8_161730","chr10_41389",0.793179547276864,3916,"RPN1","LAA1"
"YJL207C","YDR170C","chr4_796193","chr10_41389",0.94706370919893,3916,"SEC7","LAA1"
"YJL207C","YER110C","chr5_378762","chr10_41389",0.777473807921678,3916,"KAP123","LAA1"
"YJL207C","YDR395W","chr4_1263324","chr10_41389",0.8638084282082,3916,"SXM1","LAA1"
"YJL207C","YGL016W","chr7_461666","chr10_41389",0.870843486066003,3916,"KAP122","LAA1"
"YJR060W","YBR049C","chr2_334386","chr10_548759",0.727981985537691,3915,"REB1","CBF1"
"YJR060W","YHR027C","chr8_161730","chr10_548759",0.729596143637809,3915,"RPN1","CBF1"
"YJR132W","YDR141C","chr4_734901","chr10_669522",0.780581003323814,3916,"DOP1","NMD5"
"YJR132W","YJL207C","chr10_41389","chr10_669522",0.860169302816393,3916,"LAA1","NMD5"
"YJR132W","YDR395W","chr4_1263324","chr10_669522",0.915419657210642,3916,"SXM1","NMD5"
"YJR132W","YGL195W","chr7_131525","chr10_669522",0.875141249210537,3916,"GCN1","NMD5"
"YJR132W","YHR027C","chr8_161730","chr10_669522",0.737938844966484,3916,"RPN1","NMD5"
"YJR132W","YDR238C","chr4_937895","chr10_669522",0.866113655135942,3916,"SEC26","NMD5"
"YJR132W","YGL016W","chr7_461666","chr10_669522",0.889261579408971,3916,"KAP122","NMD5"
"YJR132W","YDR170C","chr4_796193","chr10_669522",0.845486175765154,3916,"SEC7","NMD5"
"YJR132W","YER110C","chr5_378762","chr10_669522",0.855696415086747,3916,"KAP123","NMD5"
"YKL112W","YDR238C","chr4_937895","chr11_226570",0.723754961156878,3916,"SEC26","ABF1"
"YKL112W","YHR027C","chr8_161730","chr11_226570",0.75745049200592,3916,"RPN1","ABF1"
"YKL112W","YIL131C","chr9_100781","chr11_226570",0.743583155183052,3916,"FKH1","ABF1"
"YKL112W","YBR049C","chr2_334386","chr11_226570",0.886523036514608,3916,"REB1","ABF1"
"YKL112W","YJR060W","chr10_548759","chr11_226570",0.725217512964492,3915,"CBF1","ABF1"
"YKL112W","YDR170C","chr4_796193","chr11_226570",0.706191016297261,3916,"SEC7","ABF1"
"YLR176C","YHR027C","chr8_161730","chr12_507797",0.800274520883477,3916,"RPN1","RFX1"
"YLR176C","YDR463W","chr4_1386642","chr12_507797",0.796091824769176,3916,"STP1","RFX1"
"YLR176C","YIL036W","chr9_285666","chr12_507797",0.899286420734944,3916,"CST6","RFX1"
"YLR176C","YGL073W","chr7_368753","chr12_507797",0.840334064461829,3914,"HSF1","RFX1"
"YLR176C","YBR049C","chr2_334386","chr12_507797",0.708049188915024,3916,"REB1","RFX1"
