"","orf_name","row","column","cor","num_obs","gene1","gene2","SGD","ENTREZID","GENENAME","ENSEMBL","DESCRIPTION"
"1","YDR452W","chr4_94133","chr4_1362878",0.846448686890169,2238,NA,"YDR452W","S000002860","852063","PPN1","YDR452W","Dual endo- and exopolyphosphatase with a role in phosphate metabolism; acts as both an endopolyphosphatase cleaving long chains of polyphosphate distributively to generate shorter polymer chains and as an exopolyphosphatase catalyzing the hydrolysis of terminal phosphate from polyphosphate; localizes to the vacuole, nucleus and cytosol; functions as a homodimer; relocalizes from vacuole to cytoplasm upon DNA replication stress"
"2","YLR206W","chr4_94133","chr12_554578",0.840679236432612,2238,NA,"YLR206W","S000004196","850903","ENT2","YLR206W","Epsin-like protein required for endocytosis and actin patch assembly; functionally redundant with Ent1p; contains clathrin-binding motif at C-terminus; ENT2 has a paralog, ENT1, that arose from the whole genome duplication"
"3","YDR388W","chr4_94133","chr4_1250186",0.831526787719384,2238,NA,"YDR388W","S000002796","851996","RVS167","YDR388W","Calmodulin-binding actin-associated protein; roles in endocytic membrane tabulation and constriction, and exocytosis; N-BAR domain protein that interacts with Rvs161p to regulate actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin"
"4","YHR161C","chr4_94133","chr8_420373",0.827899702993129,2238,NA,"YHR161C","S000001204","856566","YAP1801","YHR161C","Protein of the AP180 family, involved in clathrin cage assembly; binds Pan1p and clathrin; YAP1801 has a paralog, YAP1802, that arose from the whole genome duplication"
"5","YNL294C","chr4_94133","chr14_78659",0.814953951879513,2238,NA,"YNL294C","S000005238","855422","RIM21","YNL294C","pH sensor molecule, component of the RIM101 pathway; has a role in cell wall construction and alkaline pH response; is glycosylated and phosphorylated; interacts with Dfg16p and Rim9p to form a pH-sensing complex; localization to the plasma membrane is dependent on Dfg16p and Rim9p; has similarity to A. nidulans PalH"
"6","YFL046W","chr4_94133","chr6_42815",0.810187980575563,2238,NA,"YFL046W","S000001848","850498","FMP32","YFL046W","Putative assembly factor for cytochrome c oxidase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; has similarity to human MCUR1/CCDC90A"
"7","YFR016C","chr4_94133","chr6_177042",0.80630657809447,2238,NA,"YFR016C","S000001912","850570",NA,"YFR016C","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFR016C is not an essential gene"
"8","YDR214W","chr4_94133","chr4_892875",0.806125183124397,2238,NA,"YDR214W","S000002622","851800","AHA1","YDR214W","Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress"
"9","YHR105W","chr4_94133","chr8_324766",0.80423787889616,2237,NA,"YHR105W","S000001147","856505","YPT35","YHR105W","Endosomal protein of unknown function; contains a phox (PX) homology domain; binds to both phosphatidylinositol-3-phosphate (PtdIns(3)P) and proteins involved in ER-Golgi or vesicular transport"
"10","YMR106C","chr4_94133","chr13_478301",0.80389959684374,2238,NA,"YMR106C","S000004712","855132","YKU80","YMR106C","Subunit of telomeric Ku complex (Yku70p-Yku80p); involved in telomere length maintenance, structure and telomere position effect; required for localization of telomerase ribonucleoprotein via interaction with TLC1 guide RNA; relocates to sites of double-strand cleavage to promote nonhomologous end joining during DSB repair; colocalizes with quiescent cell telomere hyperclusters"
"11","YIL135C","chr4_94133","chr9_95065",0.803585330896924,2238,NA,"YIL135C","S000001397","854671","VHS2","YIL135C","Regulator of septin dynamics; involved in the regulation of septin dynamics at bud neck after mitotic entry, likely by stabilizing septin structure; regulated at post-translational level by cell cycle dependent phosphorylation; likely phosphorylated by Cdc28p and dephosphorylated by Cdc14p before cytokinesis; high-copy suppressor of synthetic lethality of sis2 sit4 double mutant; VHS2 has a paralog, MLF3, that arose from the whole genome duplication"
"12","YKR048C","chr4_94133","chr11_525387",0.802231264746733,2238,NA,"YKR048C","S000001756","853922","NAP1","YKR048C","Histone chaperone; involved in histone exchange by removing and replacing histone H2A-H2B dimers or histone variant dimers from assembled nucleosomes; involved in the transport of H2A and H2B histones to the nucleus; required for the regulation of microtubule dynamics during mitosis; interacts with mitotic cyclin Clb2p; controls bud morphogenesis; phosphorylated by CK2; protein abundance increases in response to DNA replication stress"
"13","YNL133C","chr4_94133","chr14_374171",0.801437321065533,2238,NA,"YNL133C","S000005077","855589","FYV6","YNL133C","Protein of unknown function; required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining"
"14","YKL105C","chr4_94133","chr11_239185",0.800703895222794,2238,NA,"YKL105C","S000001588","853756","SEG2","YKL105C","Eisosome component; likely plays only a minor role in eisosome assembly; shown to interact with Seg1p by affinity purification and mass spec; SWAT-GFP and mCherry fusion proteins localize to the cell periphery; similar to <i>A. gossypii</i> SEG gene which is important for stabilizing eisosomes; SEG2 has a paralog, SEG1, that arose from the whole genome duplication"
"15","YFR029W","chr4_94133","chr6_210937",0.799969723666846,2238,NA,"YFR029W","S000001925","850587","PTR3","YFR029W","Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p, Ptr3p, and Ssy5p"
"16","YDR068W","chr4_94133","chr4_583713",0.797671304930253,2238,NA,"YDR068W","S000002475","851640","DOS2","YDR068W","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
"17","YJR017C","chr4_94133","chr10_466521",0.797583133486955,2238,NA,"YJR017C","S000003778","853475","ESS1","YJR017C","Peptidylprolyl-cis/trans-isomerase (PPIase); specific for phosphorylated S/T residues N-terminal to proline; regulates phosphorylation of RNAPII large subunit (Rpo21p) C-terminal domain (CTD) at Ser7; associates with phospho-Ser5 form of RNAPII in vivo; present along entire coding length of genes; represses initiation of CUTs; required for efficient termination of mRNA transcription, trimethylation of histone H3; human ortholog PIN1 can complement yeast null and ts mutants"
"18","YKL023W","chr4_94133","chr11_393721",0.796401926812594,2235,NA,"YKL023W","S000001506","853845",NA,"YKL023W","Putative protein of unknown function; predicted by computational methods to be involved in mRNA degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
"19","YCL008C","chr4_94133","chr3_105696",0.793561813826277,2238,NA,"YCL008C","S000000514","850349","STP22","YCL008C","Component of the ESCRT-I complex; ESCRT-I is involved in ubiquitin-dependent sorting of proteins into the endosome; prevents polyubiquitination of the arrestin-related protein Rim8p, thereby directing its monoubiquitination by Rsp5p; homologous to the mouse and human Tsg101 tumor susceptibility gene; mutants exhibit a Class E Vps phenotype;"
"20","YGL128C","chr4_94133","chr7_269293",0.793187021410398,2237,NA,"YGL128C","S000003096","852749","CWC23","YGL128C","Component of a complex containing Cef1p; putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p"
"21","YMR159C","chr4_94133","chr13_574476",0.792728261357233,2235,NA,"YMR159C","S000004769","855194","ATG16","YMR159C","Conserved protein involved in autophagy; interacts with Atg12p-Atg5p conjugates to form Atg12p-Atg5p-Atg16p multimers, which binds to membranes and localizes to the pre-autophagosomal structure and are required for autophagy; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"
