"Gene","peptide_cnts_control","peptide_cnts_test","log10p","fdr","lfc","contrast","raw_lfc","norm_lfc","test_overlap","DESCRIPTION"
"GCN1",0,91,-8.71532505647664,2.32863405443519e-06,9.05923642626594,"YBR_vs_Control",Inf,Inf,1,"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"YOL098C",0,47,-5.73784605017852,0.000552739192011235,8.10856020750935,"YBR_vs_Control",Inf,Inf,1,"Putative metalloprotease; overproduction suppresses lethality due to expression of the dominant PET9 allele AAC2-A128P"
"NUP192",0,39,-4.96395346138579,0.0021893822312902,7.84044538700468,"YBR_vs_Control",Inf,Inf,1,"Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205"
"RPN1",0,37,-4.63898462954516,0.00277614196643545,7.76483674007988,"YBR_vs_Control",Inf,Inf,1,"Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle"
"NUP133",0,36,-4.63898462954516,0.00277614196643545,7.72549262081907,"YBR_vs_Control",Inf,Inf,1,"Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133"
"NUP188",0,36,-4.63898462954516,0.00277614196643545,7.72549262081907,"YBR_vs_Control",Inf,Inf,1,"Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188"
"CRM1",0,35,-4.47297962228622,0.00369874161318222,7.68504538394747,"YBR_vs_Control",Inf,Inf,1,"Major karyopherin; involved in export of proteins, RNAs, and ribosomal subunits from the nucleus; exportin"
"KAP95",0,32,-4.13364699071131,0.00683653368253969,7.55641944622218,"YBR_vs_Control",Inf,Inf,1,"Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p"
"MON2",0,30,-3.78417606990723,0.0124202474463562,7.4638208966246,"YBR_vs_Control",Inf,Inf,1,"Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"
"NMD5",0,30,-3.78417606990723,0.0124202474463562,7.4638208966246,"YBR_vs_Control",Inf,Inf,1,"Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog"
