Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
A2P1G9_MOUSE,A2P1G9,A2P1G9 A2P1G9_MOUSE Kappa light chain (Fragment) OS=Mus musculus OX=10090 GN=Igkc PE=1 SV=1,Igkc,219,OS=Mus musculus,1,0.999,17,1290,1288,1290,1,1,6,9,27,169,26,15,3,5,5,6,53,46,30,14,1,2,5,4,25,139,23,9,1,3,5,5,17,92,14,10,1,1,4,8,34,186,32,11,0,1,2,4,36,175,15,9,
MBF1_YEAST,O14467,O14467 MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBF1 PE=1 SV=2,MBF1,151,OS=Saccharomyces,1,0.9966,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADH1_YEAST,P00330,P00330 ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,ADH1,348,OS=Saccharomyces,1,0.999,15,241,132,241,3,0,9,21,25,0,0,0,2,11,7,13,14,0,0,0,1,7,11,12,17,0,1,0,0,8,8,4,7,0,0,0,0,1,8,13,13,0,0,0,1,0,6,6,12,0,0,0,
G3P2_YEAST,P00358,P00358 G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3,TDH2,332,OS=Saccharomyces,1,0.999,15,361,7,361,3,4,16,26,26,3,5,0,7,17,11,13,22,1,3,0,1,11,13,12,23,2,2,0,1,11,10,6,14,2,1,0,1,2,9,11,27,2,3,0,3,2,8,5,16,3,3,0,
G3P1_YEAST,P00360,P00360 G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3,TDH1,332,OS=Saccharomyces,1,0.9988,5,54,21,54,0,0,2,4,6,0,1,0,1,1,1,1,7,0,1,0,0,2,4,1,5,0,1,0,0,2,1,0,2,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,2,0,0,0,
HIS1_YEAST,P00498,P00498 HIS1_YEAST ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS1 PE=1 SV=1,HIS1,297,OS=Saccharomyces,1,0.9971,5,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
CDK1_YEAST,P00546,P00546 CDK1_YEAST Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1,CDC28,298,OS=Saccharomyces,1,0.9979,7,33,23,33,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,
KPYK1_YEAST,P00549,P00549 KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,CDC19,500,OS=Saccharomyces,1,0.999,34,558,490,558,5,0,18,63,15,6,6,0,9,20,28,38,10,0,6,0,5,18,17,43,12,4,4,0,2,17,16,29,9,0,5,0,2,4,18,51,15,4,5,0,7,5,12,15,10,2,3,0,
PGK_YEAST,P00560,P00560 PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,PGK1,416,OS=Saccharomyces,1,0.999,19,340,340,340,2,1,17,34,16,1,6,0,6,17,8,19,11,0,3,0,0,14,16,20,14,0,4,0,0,9,19,11,7,0,1,0,0,4,9,23,11,2,1,0,1,1,13,8,10,0,1,0,
ATPB_YEAST,P00830,"P00830 ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",ATP2,511,OS=Saccharomyces,1,0.999,9,154,154,154,0,1,4,12,4,0,2,6,4,3,1,12,1,0,2,0,0,2,5,9,4,0,2,0,0,2,7,13,3,3,1,3,0,0,4,13,5,2,1,3,0,0,0,12,5,3,0,0,
