"","Gene.Systematic.Name","Gene.Name","Description","ybr_interactor"
"1","YJR005W","APL1","Beta-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport; similar to mammalian beta-chain of the clathrin associated protein complex","No"
"2","YKL135C","APL2","Beta-adaptin subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting; protein abundance increases in response to DNA replication stress","No"
"3","YBL037W","APL3","Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport","No"
"4","YPR029C","APL4","Gamma-adaptin; large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in vesicle mediated transport","No"
"5","YPL195W","APL5","Delta adaptin-like subunit of the clathrin associated protein complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; suppressor of loss of casein kinase 1 function; the clathrin associated protein complex is also known as AP-3","No"
"6","YGR261C","APL6","Beta3-like subunit of the yeast AP-3 complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; exists in both cytosolic and peripherally associated membrane-bound pools","No"
"7","YFL007W","BLM10","Proteasome activator; binds the core proteasome (CP) and stimulates proteasome-mediated protein degradation by inducing gate opening; required for sequestering CP into proteasome storage granule (PSG) during quiescent phase and for nuclear import of CP in proliferating cells; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200","No"
"8","YNL271C","BNI1","Formin; polarisome component; nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; recruited to the division site in a Glc7p/Ref2p dependent manner following release of Bnr1p; functionally redundant with BNR1","No"
"9","YIL159W","BNR1","Formin; nucleates the formation of linear actin filaments; involved in processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; activity is regulated by Hof1p and by the Bud14p-Kel1p-Kel2p complex; dephosphorylated and delocalized from the division site in a Glc7p/Ref2p-dependent manner; functionally redundant with BNI1","No"
"10","YNL288W","CAF40","Component of the CCR4-NOT transcriptional complex; evolutionarily conserved; involved in controlling mRNA initiation, elongation, and degradation; binds Cdc39p","No"
"11","YOR112W","CEX1","Component of COPI-mediated trafficking and tRNA nuclear export; enables Rna1p to access and activate Gsp1p-GTP bound to the export receptor tRNA complex during aminoacylation-dependent tRNA export; copurifies with tRNA export receptors; interacts with COPI coat proteins and regulates Golgi-to-ER trafficking; membrane fraction associated; mutations in members of the homologous human SCY1-like (SCYL) family of pseudokinases are linked to peripheral neuropathy, cerebellar atrophy, ataxia and ALS","No"
