Visible?,Starred?,Identified Proteins (219/221),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,AFO01,AFO02,AFO03,AFO04,AFO05,AFO06,AFO07,AFO08,AFO09,AFO10,AFO11,AFO12,AFO13
TRUE,Empty,PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2,P05030,,100 kDa,TRUE,unknown,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TRUE,Empty,PMA2_YEAST Plasma membrane ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA2 PE=1 SV=3,P19657,,102 kDa,TRUE,unknown,0,0,0,48%,0,14%,28%,0,99%,0,55%,58%,100%
TRUE,Empty,KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,P00549,,55 kDa,TRUE,unknown,0,92%,75%,100%,100%,100%,65%,88%,63%,100%,99%,35%,98%
TRUE,Empty,HSP72_YEAST Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3,P10592,,69 kDa,TRUE,unknown,0,0,63%,100%,0,0,63%,0,0,100%,0,25%,0
TRUE,Empty,HSP71_YEAST Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA1 PE=1 SV=4,P10591,,70 kDa,TRUE,unknown,12%,66%,74%,100%,31%,50%,39%,26%,0,100%,66%,78%,60%
TRUE,Empty,GCN1_YEAST Translational activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1,P33892,,297 kDa,,unknown,100%,100%,81%,68%,80%,95%,97%,98%,98%,32%,88%,98%,86%
TRUE,Empty,PYR1_YEAST Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5,P07259,,245 kDa,TRUE,unknown,81%,100%,93%,79%,88%,95%,97%,99%,99%,99%,97%,98%,71%
TRUE,Empty,NSR1_YEAST Nuclear localization sequence-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSR1 PE=1 SV=1,P27476,,45 kDa,,unknown,0,0,0,50%,100%,100%,33%,0,0,100%,100%,98%,57%
TRUE,Empty,MDN1_YEAST Midasin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDN1 PE=1 SV=1,Q12019,,559 kDa,,unknown,100%,100%,100%,96%,45%,94%,100%,99%,99%,80%,95%,99%,94%
TRUE,Empty,IMB4_YEAST Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP123 PE=1 SV=1,P40069,,123 kDa,,unknown,0,89%,100%,94%,0,59%,37%,70%,78%,0,15%,61%,100%
TRUE,Empty,ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,P00330,,37 kDa,TRUE,unknown,45%,0,0,8%,72%,100%,62%,0,0,81%,100%,100%,29%
TRUE,Empty,EF2_YEAST Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1,P32324,,93 kDa,,unknown,37%,70%,79%,100%,54%,0,83%,92%,94%,21%,98%,0,100%
TRUE,Empty,"ADT2_YEAST ADP,ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET9 PE=1 SV=2",P18239,,34 kDa,TRUE,unknown,95%,0,24%,48%,70%,100%,67%,95%,76%,22%,83%,100%,70%
TRUE,Empty,HSP76_YEAST Heat shock protein SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2,P40150,,67 kDa,TRUE,unknown,32%,87%,0,100%,63%,0,0,61%,0,100%,0,93%,0
TRUE,Empty,PDR5_YEAST Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR5 PE=1 SV=1,P33302,,170 kDa,TRUE,unknown,36%,100%,100%,91%,53%,70%,89%,59%,100%,98%,41%,87%,37%
TRUE,Empty,BBC1_YEAST Myosin tail region-interacting protein MTI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BBC1 PE=1 SV=2,P47068,,128 kDa,,unknown,0,100%,93%,10%,7%,0,72%,100%,100%,61%,69%,27%,80%
TRUE,Empty,TOM1_YEAST E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM1 PE=1 SV=1,Q03280,,374 kDa,,unknown,100%,76%,49%,23%,98%,51%,100%,93%,77%,83%,39%,87%,94%
TRUE,Empty,EF3A_YEAST Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4,P16521,,116 kDa,TRUE,unknown,27%,44%,100%,18%,97%,86%,94%,0,100%,53%,0,36%,100%
TRUE,Empty,SEC7_YEAST Protein transport protein SEC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC7 PE=1 SV=2,P11075,,227 kDa,,unknown,31%,100%,67%,86%,86%,74%,97%,100%,69%,80%,82%,0,0
TRUE,Empty,EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,P02994,,50 kDa,,unknown,16%,0,0,0,100%,0,71%,90%,54%,76%,100%,48%,0
TRUE,Empty,RTN1_YEAST Reticulon-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTN1 PE=1 SV=1,Q04947,,33 kDa,,unknown,64%,0,0,0,100%,100%,0,26%,0,0,100%,100%,0
TRUE,Empty,PURA_YEAST Adenylosuccinate synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE12 PE=1 SV=3,P80210,,48 kDa,,unknown,0,0,0,0,100%,100%,0,32%,0,0,100%,0,0
TRUE,Empty,VATB_YEAST V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA2 PE=1 SV=2,P16140,,58 kDa,,unknown,70%,0,59%,91%,100%,0,89%,0,62%,59%,93%,82%,90%
TRUE,Empty,CLH_YEAST Clathrin heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHC1 PE=1 SV=1,P22137,,187 kDa,,unknown,93%,100%,84%,0,12%,73%,59%,40%,0,35%,31%,61%,31%
TRUE,Empty,"6PGD1_YEAST 6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GND1 PE=1 SV=1",P38720,,54 kDa,TRUE,unknown,0,53%,0,0,100%,0,93%,51%,79%,0,100%,0,14%
TRUE,Empty,VATA_YEAST V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA1 PE=1 SV=3,P17255,,119 kDa,,unknown,27%,90%,85%,100%,16%,43%,94%,52%,95%,79%,97%,89%,0
TRUE,Empty,ALR1_YEAST Magnesium transporter ALR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALR1 PE=1 SV=1,Q08269,,96 kDa,TRUE,unknown,0,73%,78%,82%,0,71%,96%,0,58%,96%,87%,94%,100%
TRUE,Empty,PFKA1_YEAST ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1,P16861,,108 kDa,,unknown,98%,98%,98%,94%,0,0,97%,53%,73%,81%,89%,0,100%
TRUE,Empty,G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3,P00359,,36 kDa,TRUE,unknown,27%,0,39%,14%,35%,100%,59%,0,0,54%,0,100%,19%
TRUE,Empty,RIR1_YEAST Ribonucleoside-diphosphate reductase large chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR1 PE=1 SV=2,P21524,,100 kDa,TRUE,unknown,60%,79%,92%,0,0,82%,98%,23%,0,0,27%,76%,100%
TRUE,Empty,"SYIC_YEAST Isoleucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILS1 PE=1 SV=1",P09436,,123 kDa,,unknown,78%,0,100%,55%,15%,42%,60%,0,100%,24%,55%,0,100%
TRUE,Empty,RS3_YEAST 40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS3 PE=1 SV=5,P05750,,27 kDa,,unknown,66%,33%,47%,33%,0,100%,0,28%,0,76%,67%,100%,24%
TRUE,Empty,HMDH1_YEAST 3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMG1 PE=1 SV=1,P12683,,116 kDa,TRUE,unknown,98%,86%,91%,62%,91%,34%,0,88%,84%,88%,47%,98%,100%
TRUE,Empty,HSC82_YEAST ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSC82 PE=1 SV=4,P15108,,81 kDa,,unknown,61%,0,99%,100%,0,87%,99%,67%,60%,49%,92%,40%,0
TRUE,Empty,MAS5_YEAST Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDJ1 PE=1 SV=1,P25491,,45 kDa,,unknown,58%,62%,18%,0,100%,48%,0,0,0,0,100%,0,55%
TRUE,Empty,"SYNC_YEAST Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED81 PE=1 SV=1",P38707,,62 kDa,,unknown,38%,12%,0,100%,100%,0,0,60%,20%,100%,92%,86%,25%
TRUE,Empty,UGPA1_YEAST UTP--glucose-1-phosphate uridylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UGP1 PE=1 SV=1,P32861,,56 kDa,,unknown,21%,0,0,20%,100%,57%,53%,58%,51%,100%,39%,0,0
TRUE,Empty,GRP78_YEAST 78 kDa glucose-regulated protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAR2 PE=1 SV=1,P16474,,74 kDa,TRUE,unknown,0,62%,60%,100%,8%,23%,76%,71%,27%,100%,26%,71%,60%
TRUE,Empty,EMW1_YEAST Essential for maintenance of the cell wall protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMW1 PE=1 SV=1,P42842,,102 kDa,,unknown,18%,57%,86%,21%,0,84%,0,84%,62%,0,92%,65%,100%
TRUE,Empty,CDC48_YEAST Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3,P25694,,92 kDa,,unknown,72%,83%,76%,9%,84%,33%,0,23%,35%,0,58%,79%,100%
TRUE,Empty,ARO1_YEAST Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO1 PE=1 SV=1,P08566,,175 kDa,,unknown,16%,100%,78%,73%,69%,52%,99%,78%,38%,11%,93%,67%,88%
TRUE,Empty,"HSP60_YEAST Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1",P19882,,61 kDa,,unknown,41%,82%,0,100%,100%,81%,88%,36%,0,100%,93%,42%,37%
TRUE,Empty,ATN5_YEAST Sodium transport ATPase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENA5 PE=1 SV=1,Q12691,,120 kDa,,unknown,75%,85%,100%,0,20%,22%,90%,91%,27%,0,79%,76%,100%
TRUE,Empty,EI2BE_YEAST Translation initiation factor eIF-2B subunit epsilon OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD6 PE=1 SV=1,P32501,,81 kDa,,unknown,0,0,50%,100%,32%,12%,72%,71%,89%,94%,52%,85%,94%
TRUE,Empty,MSN5_YEAST Protein MSN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSN5 PE=1 SV=1,P52918,,142 kDa,,unknown,27%,88%,100%,73%,16%,68%,68%,59%,78%,0,71%,89%,0
TRUE,Empty,SNF1_YEAST Carbon catabolite-derepressing protein kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF1 PE=1 SV=1,P06782,,72 kDa,,unknown,60%,41%,0,100%,29%,31%,89%,51%,83%,100%,46%,92%,0
TRUE,Empty,EIF3C_YEAST Eukaryotic translation initiation factor 3 subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIP1 PE=1 SV=2,P32497,,93 kDa,,unknown,28%,0,58%,100%,18%,57%,0,91%,40%,0,0,86%,100%
TRUE,Empty,NU133_YEAST Nucleoporin NUP133 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP133 PE=1 SV=1,P36161,,133 kDa,,unknown,69%,82%,100%,0,88%,0,72%,0,0,0,0,99%,45%
TRUE,Empty,GUAA_YEAST GMP synthase [glutamine-hydrolyzing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUA1 PE=1 SV=4,P38625,,58 kDa,,unknown,49%,0,62%,0,100%,48%,0,0,0,100%,31%,0,0
TRUE,Empty,EIF3A_YEAST Eukaryotic translation initiation factor 3 subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPG1 PE=1 SV=1,P38249,,110 kDa,,unknown,85%,78%,100%,0,60%,61%,97%,37%,95%,79%,66%,89%,98%
TRUE,Empty,ATC6_YEAST Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPF1 PE=1 SV=1,P39986,,135 kDa,,unknown,56%,96%,100%,33%,22%,89%,88%,68%,68%,52%,0,93%,73%
TRUE,Empty,COPB_YEAST Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC26 PE=1 SV=2,P41810,,109 kDa,,unknown,0,86%,75%,63%,0,54%,40%,89%,94%,92%,48%,62%,100%
TRUE,Empty,IST2_YEAST Increased sodium tolerance protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IST2 PE=1 SV=2,P38250,,106 kDa,,unknown,99%,75%,80%,100%,36%,0,0,36%,0,63%,46%,68%,100%
TRUE,Empty,MCM4_YEAST DNA replication licensing factor MCM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM4 PE=1 SV=2,P30665,,105 kDa,TRUE,unknown,95%,0,29%,70%,63%,62%,100%,96%,91%,83%,0,63%,100%
TRUE,Empty,"FKS1_YEAST 1,3-beta-glucan synthase component FKS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FKS1 PE=1 SV=2",P38631,,215 kDa,TRUE,unknown,0,100%,48%,88%,0,91%,93%,49%,53%,78%,95%,47%,80%
TRUE,Empty,GDE1_YEAST Glycerophosphodiester phosphodiesterase GDE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDE1 PE=1 SV=1,Q02979,,138 kDa,,unknown,85%,25%,100%,99%,27%,69%,91%,95%,98%,76%,16%,31%,0
