Gene names,Systematic Name,Full Name,Uniprot ID,Zn Protein?,Zap1 Protein?,Unique sequence coverage [%],Log 2 LFQ intensity WT 0 hr 1,Log 2 LFQ intensity WT 0 hr 2,Log 2 LFQ intensity WT 0 hr 3,Log 2 LFQ intensity WT 0 hr 4,WT 0 CV (%),Log 2 LFQ intensity WT 4 hr 1,Log 2 LFQ intensity WT 4 hr 2,Log 2 LFQ intensity WT 4 hr 3,Log 2 LFQ intensity WT 4 hr 4,CV WT 4 (%),Log 2 LFQ intensity WT 8 hr 1,Log 2 LFQ intensity WT 8 hr 2,Log 2 LFQ intensity WT 8 hr 3,Log 2 LFQ intensity WT 8 hr 4,CV WT 8 (%),Log 2 LFQ intensity WT 12 hr 1,Log 2 LFQ intensity WT 12 hr 2,Log 2 LFQ intensity WT 12 hr 3,Log 2 LFQ intensity WT 12 hr 4,CV WT 12 (%),Log 2 LFQ intensity WT 16 hr 1,Log 2 LFQ intensity WT 16 hr 3,Log 2 LFQ intensity WT 16 hr 4,CV WT 16 (%),Fold Change 4 hrs,p-value 4 hrs,Fold Change 8 hrs,p-value 8 hrs,Fold Change 12 hrs,p-value 12 hrs,Fold Change 16 hrs,p-value 16 hrs,Copy number WT 0 hr 1,Copy number WT 0 hr 2,Copy number WT 0 hr 3,Concentration [nM] WT 0 hr 4,Copy number WT 4 hr 1,Copy number WT 4 hr 2,Copy number WT 4 hr 3,Copy number WT 4 hr 4,Copy number WT 8 hr 1,Copy number WT 8 hr 2,Copy number WT 8 hr 3,Copy number WT 8 hr 4,Copy number WT 12 hr 1,Copy number WT 12 hr 2,Copy number WT 12 hr 3,Copy number WT 12 hr 4,Copy number WT 16 hr 1,Copy number WT 16 hr 3,Copy number WT 16 hr 4,Average Copy Number 0 hr,Average Copy Number 4 hr,Average Copy Number 8 hr,Average Copy Number 12 hr,Average Copy Number 16 hr,,
ZRT3,YKL175W,Zinc-regulated transporter 3,P34240,Yes,Yes,22.1,26.93145585,24.54921969,26.45208511,25.98897552,55.95609112,28.84968642,28.66516018,28.30999349,28.40482785,17.2137023,29.92578056,29.71420647,29.49948663,29.87395111,12.86507179,30.0015553,29.57771322,29.91783728,29.75840303,12.69495325,29.88572125,29.79728638,30.08739874,10.47962868,2.576982941,0.002787859,3.772922151,0.000360457,3.833443164,0.000328968,3.943034747,0.001347997,1033,198,741,36,3904,3435,2686,2868,8231,7108,6125,7940,8674,6466,8185,7329,8005,7529,9206,502,3223,7351,7664,8247,,
ZRT1,YGL255W,Zinc-regulated transporter 1,P32804,Yes,Yes,26.1,31.15852257,31.3648932,31.68687346,31.12558665,18.72736221,32.42637416,33.00046438,33.0051244,32.91787283,17.43351891,33.13346274,33.26080431,33.20322126,33.10363661,4.919107952,32.79849972,33.30552122,32.96959588,32.95438715,15.42593708,32.5423858,33.44665237,33.17856147,29.90144808,1.503489975,0.000211555,1.841312261,9.1373E-06,1.673032026,5.82018E-05,1.721897577,0.001434844,25772,29736,37171,1706,62060,92392,92691,87251,101314,110663,106333,99241,80322,114147,90436,89488,67257,125878,104531,23596,83599,104388,93598,99222,,
ZRC1,YMR243C,Zinc/cadmium resistance protein,P20107,Yes,Yes,24.9,29.97650906,30.30083874,29.52783288,29.94768041,21.40611883,30.45100826,30.36191657,30.37129558,30.46801007,3.759098098,31.02808608,31.15840219,31.275698,31.09377105,7.395230213,31.19419199,31.06104479,31.15575117,31.16895781,3.970009775,31.31040528,31.19981814,31.26041176,3.830792106,0.474842351,0.025514314,1.200774059,0.000366625,1.20677117,0.000293004,1.318663124,0.000940649,9770,12233,7158,649,13574,12762,12845,13735,20251,22165,24042,21194,22722,20719,22124,22328,24628,22811,23789,7452,13229,21913,21973,23743,,
ZPS1,YOL154W,Protein ZPS1,Q12512,Yes,Yes,41.8,33.63687696,30.77321154,31.72910851,30.82759817,106.8787858,34.20914657,34.22122727,34.20805651,34.09733922,3.944452833,34.80275189,35.08274371,34.75289413,34.89152524,10.35586022,35.18585907,35.28709173,35.2084563,35.12501693,4.66438446,35.6054297,35.60832455,35.60106267,0.253331957,2.442243598,0.010719559,3.140779946,0.003432907,3.459907211,0.002078781,3.863240179,0.004541598,216630,29762,57733,2093,322098,324807,321855,298079,486051,590157,469540,516898,633882,679959,643889,607705,847836,849539,845273,76555,316710,515662,641359,847549,,
ZPR1,YGR211W,Zinc finger protein ZPR1,P53303,Yes,No,46.1,28.916642,29.64941632,29.09722932,29.36880047,22.49730559,28.65078624,29.38387159,29.00230672,29.14824168,20.64094951,28.91786572,28.74435556,29.04186917,28.92070758,8.368645321,28.77426462,28.59534013,28.54591033,28.92246672,12.12344089,28.47010673,28.70186906,28.59519783,8.008672213,-0.211720469,0.376746795,-0.351822523,0.08601977,-0.548526581,0.023548969,-0.668964156,0.01956777,4114,6837,4662,381,3422,5687,4366,4830,4117,3651,4487,4125,3727,3293,3182,4131,3019,3545,3292,3999,4576,4095,3583,3285,,
ZIM17,YNL310C,Mitochondrial protein import protein ZIM17,P42844,Yes,No,32.8,25.62975926,26.20060172,,,27.61924378,25.96417638,26.07271521,25.8490958,26.37635157,16.3229384,,,,,,,,,,,,,,,0.150404254,0.570500051,,,,,,,1169,1737,,,1474,1589,1361,1962,,,,,,,,,,,,1453,1597,,,,,
ZAP1,YJL056C,Zinc-responsive transcriptional regulator ZAP1,P47043,Yes,Yes,17.8,,25.65157336,24.54604285,,51.68072617,26.63381053,25.02610024,26.40628041,26.48766072,39.10857421,25.83137258,25.5758575,,25.738537,8.850857242,,25.68749764,25.45431486,24.96837957,24.18017609,25.06122252,25.40093362,24.27077723,36.56746187,1.039654871,0.187595232,0.616447592,0.24119866,0.271255921,0.621502924,-0.187830313,0.773702973,,238,111,,471,155,402,426,270,226,,253,,244,208,148,158,200,92,175,363,250,200,150,,
YTA12,YMR089C,Mitochondrial respiratory chain complexes assembly protein YTA12,P40341,Yes,No,24,26.69405027,27.75595457,27.43555327,27.62971758,28.58928346,27.76534418,27.17750151,27.58132772,27.22066527,19.88863297,27.7242938,27.74995901,27.81720394,27.5655083,7.226302673,27.63713184,27.77931499,27.68210808,27.73013757,4.250460388,27.37393155,27.42005144,27.36252284,2.12202167,0.057390744,0.842661126,0.335422339,0.217505176,0.328354197,0.219517983,0.006683022,0.981977,520,1086,870,67,1094,728,963,750,1063,1082,1134,952,1001,1104,1032,1067,834,861,827,636,883,1058,1051,841,,
YSH1,YLR277C,Endoribonuclease YSH1,Q06224,Yes,No,6.8,,,,,,,,24.52456371,24.56342952,1.904810713,,23.84508035,,,,,,,23.9611098,,,,,,,,,,,,,,,,,,,,123,126,,77,,,,,,83,,,,,125,77,83,,,
YME1,YPR024W,Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1,P32795,Yes,No,37.9,27.38853895,28.14340821,27.83611288,27.78631231,20.95874083,27.68652286,27.71240357,27.92229657,27.94770827,9.461087554,27.34274056,27.77070936,27.0933555,27.70905404,21.36551053,27.87014842,27.75563629,27.49975272,27.73266254,10.44773632,27.72630933,27.5408212,27.44126441,10.15663344,0.028639734,0.871297093,-0.309628222,0.21325711,-0.074043093,0.684171655,-0.219128107,0.314897473,961,1621,1310,86,1181,1202,1391,1415,931,1252,783,1200,1341,1239,1038,1219,1214,1068,996,994,1297,1041,1209,1093,,
YIL108W,YIL108W,Putative zinc metalloproteinase YIL108W,P40483,Yes,No,45.7,30.22481029,31.15001072,29.65201806,29.53049573,56.55391166,29.4740201,30.291867,30.60080798,30.66940741,32.36383459,30.52682605,30.09597273,30.4160894,30.36525832,12.19444644,30.53741844,30.63478004,30.80931282,30.88591031,10.97854202,30.53398907,30.39458198,30.18989904,11.84161025,0.119691923,0.803419064,0.211702928,0.598068998,0.577521701,0.177239661,0.233489668,0.622166501,7247,13762,4872,303,4307,7592,9405,9863,8935,6628,8274,7988,9000,9629,10867,11460,8979,8152,7074,6546,7791,7956,10239,8068,,
