"Gene","peptide_cnts_control","peptide_cnts_test","log10p","fdr","lfc","contrast","raw_lfc","norm_lfc","test_overlap","DESCRIPTION"
"GCN1",0,124,-13.2470340025921,7.94371525671612e-11,9.71466494694319,"YBR_vs_Control",Inf,Inf,1,"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"NMD5",0,69,-9.07123590268332,2.97688307572775e-07,8.87036106365344,"YBR_vs_Control",Inf,Inf,1,"Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog"
"MON2",0,54,-7.53001837851941,8.28074265727526e-06,8.51758015765802,"YBR_vs_Control",Inf,Inf,1,"Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"
"RPN1",0,50,-7.14142692959582,1.44721382100669e-05,8.40686374334754,"YBR_vs_Control",Inf,Inf,1,"Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle"
"NUP188",0,43,-6.3207062112347,4.17559365907369e-05,8.18996411031189,"YBR_vs_Control",Inf,Inf,1,"Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188"
"KAP122",0,33,-5.962838455685,8.0438805796941e-05,7.80958974682581,"YBR_vs_Control",Inf,Inf,1,"Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"
"LAA1",0,33,-5.962838455685,8.0438805796941e-05,7.80958974682581,"YBR_vs_Control",Inf,Inf,1,"AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene"
"CCC1",0,17,-3.50140262687181,0.00680364566677325,6.8586981698677,"YBR_vs_Control",Inf,Inf,1,"Vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation; relative distribution to the vacuole decreases upon DNA replication stress"
"SEC5",0,16,-3.28628725991442,0.00974683154942632,6.77201204732041,"YBR_vs_Control",Inf,Inf,1,"Essential 107kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; involved in assembly of the exocyst complex; required with Sec3p for ER inheritance where it promotes anchoring of the cortical ER at the bud tip"
"BGL2",0,15,-3.06673030707765,0.0135187755413117,6.67978241890068,"YBR_vs_Control",Inf,Inf,1,"Endo-beta-1,3-glucanase; major protein of the cell wall, involved in cell wall maintenance; involved in incorporation of newly synthesized mannoprotein molecules into the cell wall"
"GRX7",0,15,-3.06673030707765,0.0135187755413117,6.67978241890068,"YBR_vs_Control",Inf,Inf,1,"Cis-golgi localized monothiol glutaredoxin; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; does not bind metal ions; GRX7 has a paralog, GRX6, that arose from the whole genome duplication"
"YBR287W",0,7,-1.38759144256009,0.176588772013808,5.59624019455978,"YBR_vs_Control",Inf,Inf,1,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER; YBR287W is not an essential gene"
"KAP123",2,130,-11.8240460432253,7.01278255699053e-10,5.42096911011715,"YBR_vs_Control",6.02236781302845,5.60931843311946,1,"Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1"
"ARE2",1,57,-6.93977478451199,2.0146188795359e-05,5.16507137265209,"YBR_vs_Control",5.83289001416474,5.41984063425575,1,"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication"
"RPT5",1,27,-3.45775493729609,0.00729840452354956,4.09120736233114,"YBR_vs_Control",4.75488750216347,4.34183812225447,1,"ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1"
"THS1",1,24,-3.13105802518568,0.0129690946217179,3.92226351291647,"YBR_vs_Control",4.58496250072116,4.17191312081216,1,"Threonyl-tRNA synthetase; essential cytoplasmic protein; human homolog TARS can complement yeast null mutant"
"SMF3",1,21,-2.6262014427721,0.0291983830603322,3.73087893647517,"YBR_vs_Control",4.39231742277876,3.97926804286977,1,"Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress"
"SXM1",1,15,-1.74806461752898,0.108487842786313,3.24947832917239,"YBR_vs_Control",3.90689059560852,3.49384121569952,1,"Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1"
"HMG1",6,62,-4.37261921070211,0.00160781744412424,2.8171848971875,"YBR_vs_Control",3.36923380966572,2.95618442975673,1,"HMG-CoA reductase; catalyzes conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; one of two isozymes; localizes to nuclear envelope; overproduction induces formation of karmellae; forms foci at nuclear periphery upon DNA replication stress; HMG1 has a paralog, HMG2, that arose from the whole genome duplication; human homolog HMGCR can complement yeast hmg1 mutant"
"ERG1",5,49,-3.71459919685242,0.00485974690483805,2.73681590769971,"YBR_vs_Control",3.29278174922785,2.87973236931885,1,"Squalene epoxidase; catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine; human SQLE functionally complements the lethality of the erg1 null mutation"
"ELO2",2,19,-1.83906872703768,0.091545282570489,2.65606564690198,"YBR_vs_Control",3.24792751344359,2.83487813353459,1,"Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway; ELO2 has a paralog, ELO1, that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7"
"SAR1",2,18,-1.67877222226148,0.12236762959571,2.57868147082824,"YBR_vs_Control",3.16992500144231,2.75687562153332,1,"ARF family GTPase; component of the COPII vesicle coat; required for transport vesicle formation during ER to Golgi protein transport; lowers membrane rigidity aiding vesicle formation; localizes to ER-mitochondrial contact sites where it enhances membrane curvature, thereby reducing contact size via its N-terminal amphipathic helix; regulates mitochondrial fission and fusion dynamics"
"CDC39",7,60,-3.95037010828924,0.00321095619792856,2.55105858407527,"YBR_vs_Control",3.09953567355091,2.68648629364192,1,"Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p, resulting in processing body disassembly"
"GPN3",1,8,-1.03480464651361,0.284288800501872,2.35484859456473,"YBR_vs_Control",3,2.58695062009101,1,"Putative GTPase with a role in biogenesis of RNA pol II and polIII; may be involved in assembly of RNA polymerases II and III and in their transport into the nucleus; may have a role in sister chromatid cohesion; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; contains a Gly-Pro-Asn motif in the G domain; similar to Npa3p and Gpn2p"
"ACC1",12,81,-3.76162401049307,0.00449821180219276,2.2141714857897,"YBR_vs_Control",2.75488750216347,2.34183812225447,1,"Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication"
"RTN2",5,33,-2.16166966420892,0.0577415312066868,2.16860151127927,"YBR_vs_Control",2.72246602447109,2.3094166445621,1,"Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p, Yip3p, and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress"
"ERG4",3,19,-1.49090184761397,0.162387135198219,2.09468450067054,"YBR_vs_Control",2.66296501272243,2.24991563281344,1,"C-24(28) sterol reductase; catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol"
"GNP1",6,36,-2.12021373611124,0.0600994736608478,2.03538861952715,"YBR_vs_Control",2.58496250072116,2.17191312081216,1,"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"
"RPN2",9,53,-2.85254324064482,0.0199616278932187,2.01460928123701,"YBR_vs_Control",2.55799545312089,2.14494607321189,1,"Subunit of the 26S proteasome; substrate of the N-acetyltransferase Nat1p; protein abundance increases in response to DNA replication stress"
"ALG5",5,27,-1.84223434137671,0.091545282570489,1.88052321651289,"YBR_vs_Control",2.43295940727611,2.01991002736711,1,"UDP-glucose:dolichyl-phosphate glucosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum; human ortholog ALG5 can partially complement yeast alg5 mutant"
"NPA3",10,53,-2.4122851744289,0.0427471635210706,1.86422771715425,"YBR_vs_Control",2.40599235967584,1.99294297976684,1,"Member of the conserved GPN-loop GTPase family; has a role in transport of RNA polymerase II to the nucleus; exhibits GTP-dependent binding to PolII; has ATPase activity; involved in sister chromatid cohesion; phosphorylated by the Pcl1p-Pho85p kinase complex; human homolog XAB1 interacts with human RNA polymerase II; protein abundance increases in response to DNA replication stress"
"SEC7",20,99,-2.92759760466513,0.0178228485960872,1.7711186293557,"YBR_vs_Control",2.30742852519225,1.89437914528325,1,"Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi, intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles"
"CPA2",14,68,-2.41302170868966,0.0427471635210706,1.74163632140997,"YBR_vs_Control",2.28010791919274,1.86705853928374,1,"Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor"
"POM33",5,24,-1.46966936899791,0.163604823753474,1.71157936709822,"YBR_vs_Control",2.26303440583379,1.8499850259248,1,"Transmembrane nucleoporin; involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p; protein abundance increases in response to DNA replication stress"
